e6c5cc380e4e7c70adfedf86f56beecd82d40bc2cb0b7c1ab430c5d06a8b439c,29f9286c51d3ee8181b3c9a2cf57aab0d8a27005bfc01be7097b945e8bff2592,7f51e93c9840e757637ff1b5816884b2b581850e360368ae21bf36eef2e6c308,b7b10509a7ee7e13d5e5681c18ca166f3a0df45a8a92fc5c36ebf515e1a4d6ac,1b2259428ea35f005193b109df0eb5f926f5176b9fe53d6103bbb850137d26ea,7d8b88de8317cd1dc6a2716dfc3e813ad5704fde9ae48646c3886216d534dd2e
"1","99001001","1","11001001","15","1001"
"2","99001001","10","91002","8","0"
"3","99001002","1","11001002","15","1001"
"4","99001002","10","91002","8","0"
"5","99001003","1","11001003","15","1002"
"6","99001003","20","91002","8","0"
"7","99001004","1","11001004","15","1003"
"8","99001004","30","91002","8","0"
"9","99001005","1","11001005","15","1001"
"10","99001005","10","91002","8","0"
"11","99001006","1","11001006","15","1001"
"12","99001006","10","91002","8","0"
"13","99001007","1","11001007","15","1002"
"14","99001007","20","91002","8","0"
"15","99001008","1","11001008","15","1003"
"16","99001008","30","91002","8","0"
"17","99001009","1","11001009","15","1001"
"18","99001009","10","91002","8","0"
"19","99001010","1","11001010","15","1001"
"20","99001010","10","91002","8","0"
"21","99001011","1","11001011","15","1002"
"22","99001011","20","91002","8","0"
"23","99001012","1","11001012","15","1003"
"24","99001012","30","91002","8","0"
"33","99001017","1","11001017","15","1001"
"34","99001017","30","91002","8","0"
"35","99001018","1","11001018","15","1001"
"36","99001018","30","91002","8","0"
"37","99001019","1","11001019","15","1002"
"38","99001019","30","91002","8","0"
"39","99001020","1","11001020","15","1003"
"40","99001020","30","91002","8","0"
"41","99001021","0","11001021","15","1001"
"42","99001022","0","11001022","15","1002"
"43","99001023","1","11001023","15","1001"
"44","99001023","30","91002","8","0"
"45","99001024","1","11001024","15","1001"
"46","99001024","30","91002","8","0"
"47","99001025","1","11001025","15","1002"
"48","99001025","30","91002","8","0"
"49","99001026","1","11001026","15","1003"
"50","99001026","30","91002","8","0"
"51","99001027","1","11001027","15","1001"
"52","99001027","30","91002","8","0"
"53","99001028","1","11001028","15","1001"
"54","99001028","30","91002","8","0"
"55","99001029","1","11001029","15","1002"
"56","99001029","30","91002","8","0"
"57","99001030","1","11001030","15","1003"
"58","99001030","30","91002","8","0"
"59","99001031","1","11001031","15","1001"
"60","99001031","30","91002","8","0"
"61","99001032","1","11001032","15","1001"
"62","99001032","30","91002","8","0"
"63","99001033","1","11001033","15","1002"
"64","99001033","30","91002","8","0"
"65","99001034","1","11001034","15","1003"
"66","99001034","30","91002","8","0"
"75","99001039","0","11001039","15","1001"
"76","99001040","0","11001040","15","1002"
"77","99001041","0","11001041","15","1003"
"78","99001042","1","11001042","15","1001"
"79","99001042","30","91002","8","0"
"80","99001043","1","11001043","15","1001"
"81","99001043","30","91002","8","0"
"82","99001044","1","11001044","15","1002"
"83","99001044","30","91002","8","0"
"84","99001045","1","11001045","15","1003"
"85","99001045","30","91002","8","0"
"86","99001046","1","11001046","15","1001"
"87","99001046","1","11001050","15","1001"
"88","99001046","30","91002","8","0"
"89","99001047","1","11001047","15","1001"
"90","99001047","30","91002","8","0"
"91","99001048","1","11001048","15","1002"
"92","99001048","30","91002","8","0"
"93","99001049","1","11001049","15","1003"
"94","99001049","30","91002","8","0"
"95","99001051","1","11001051","15","1001"
"96","99001051","30","91002","8","0"
"97","99001052","1","11001052","15","1001"
"98","99001052","30","91002","8","0"
"99","99001053","1","11001053","15","1002"
"100","99001053","30","91002","8","0"
"101","99001054","1","11001054","15","1003"
"102","99001054","30","91002","8","0"
"103","99001055","1","11001055","15","1001"
"104","99001055","30","91002","8","0"
"105","99001056","1","11001056","15","1001"
"106","99001056","30","91002","8","0"
"107","99001057","1","11001057","15","1002"
"108","99001057","30","91002","8","0"
"109","99001058","1","11001058","15","1003"
"110","99001058","30","91002","8","0"
"111","99001059","1","11001059","15","1001"
"112","99001059","30","91002","8","0"
"113","99001060","1","11001060","15","1001"
"114","99001060","30","91002","8","0"
"115","99001061","1","11001061","15","1002"
"116","99001061","30","91002","8","0"
"117","99001062","1","11001062","15","1003"
"118","99001062","30","91002","8","0"
"119","99001063","1","11001063","15","1001"
"120","99001063","30","91002","8","0"
"121","99001064","1","11001064","15","1001"
"122","99001064","30","91002","8","0"
"123","99001065","1","11001065","15","1002"
"124","99001065","30","91002","8","0"
"125","99001066","1","11001066","15","1003"
"126","99001066","30","91002","8","0"
"127","99001067","1","11001067","15","1001"
"128","99001067","30","91002","8","0"
"129","99001068","1","11001068","15","1001"
"130","99001068","30","91002","8","0"
"131","99001069","1","11001069","15","1002"
"132","99001069","30","91002","8","0"
"133","99001070","1","11001070","15","1003"
"134","99001070","30","91002","8","0"
"135","99001071","0","11001071","15","1001"
"136","99001072","0","11001072","15","1002"
"137","99001073","0","11001073","15","1003"
"138","99001074","1","11001074","15","1001"
"139","99001074","30","91002","8","0"
"140","99001075","1","11001075","15","1001"
"141","99001075","30","91002","8","0"
"142","99001076","1","11001076","15","1002"
"143","99001076","30","91002","8","0"
"144","99001077","1","11001077","15","1003"
"145","99001077","30","91002","8","0"
"146","99001078","1","11001078","15","1001"
"147","99001078","30","91002","8","0"
"148","99001079","1","11001079","15","1001"
"149","99001079","30","91002","8","0"
"150","99001080","1","11001080","15","1002"
"151","99001080","30","91002","8","0"
"152","99001081","1","11001081","15","1003"
"153","99001081","30","91002","8","0"
"154","99001082","1","11001082","15","1001"
"155","99001082","30","91002","8","0"
"156","99001083","1","11001083","15","1001"
"157","99001083","30","91002","8","0"
"158","99001084","1","11001084","15","1002"
"159","99001084","30","91002","8","0"
"160","99001085","1","11001085","15","1003"
"161","99001085","30","91002","8","0"
"162","99001086","0","11001086","15","1001"
"163","99001087","0","11001087","15","1002"
"164","99001088","0","11001088","15","1002"
"165","99001089","0","11001089","15","1002"
"166","99001090","0","11001090","15","1003"
"167","99001091","1","11001091","15","1001"
"168","99001091","30","91002","8","0"
"169","99001092","1","11001092","15","1001"
"170","99001092","30","91002","8","0"
"171","99001093","1","11001093","15","1002"
"172","99001093","30","91002","8","0"
"173","99001094","1","11001094","15","1003"
"174","99001094","30","91002","8","0"
"175","99001095","1","11001095","15","1001"
"176","99001095","30","91002","8","0"
"177","99001096","1","11001096","15","1001"
"178","99001096","30","91002","8","0"
"179","99001097","1","11001097","15","1002"
"180","99001097","30","91002","8","0"
"181","99001098","1","11001098","15","1003"
"182","99001098","30","91002","8","0"
"183","99001099","1","11001099","15","1001"
"184","99001099","30","91002","8","0"
"185","99001100","1","11001100","15","1001"
"186","99001100","30","91002","8","0"
"187","99001101","1","11001101","15","1002"
"188","99001101","30","91002","8","0"
"189","99001102","1","11001102","15","1003"
"190","99001102","30","91002","8","0"
"191","99001103","1","11001103","15","1001"
"192","99001103","30","91002","8","0"
"193","99001104","1","11001104","15","1001"
"194","99001104","30","91002","8","0"
"195","99001105","1","11001105","15","1002"
"196","99001105","30","91002","8","0"
"197","99001106","1","11001106","15","1003"
"198","99001106","30","91002","8","0"
"199","99001107","1","11001107","15","1001"
"200","99001107","30","91002","8","0"
"201","99001108","1","11001108","15","1001"
"202","99001108","30","91002","8","0"
"203","99001109","1","11001109","15","1002"
"204","99001109","30","91002","8","0"
"205","99001110","1","11001110","15","1003"
"206","99001110","30","91002","8","0"
"207","99001111","1","11001111","15","1001"
