6e3ff264757e6db7e0aaf3c6912a90315863a4842cfede0ab71a71284acb4e17,86693df391eca5b6358b304132c74eab6abd1633d62d942ad306e51f83e46642,427c456955fd9b7404a3312e2341797ec8f35e7c92855f6b7c5a0c7a46d19040,b2d31decb5172606991ee582e787e0b68815c0f66a90c40228b01d9d652e8947,c470ee6becfa360eb23d1afff2ec05fad1b3195990c27ffcad27a99c4a8cdf97,6afb41b900bb977aae043b12305cf6b1450aeeb91fe8df79248e746a819d4d48,96b527eea23003e3bdd1d242bca49968ff26842a05c1ce856863be8f3f13b550,37f05de4fdb4135c66c20bb7dee9d088ebaf484f04d840e4649e23d6825c54f2,6ed0332e198e7f57278a26e12572cd9d0d9a552ace6eb0271cd571572b6e96dd
"","0","1.6","610201101","1","0","0","1","50"
"","0","1.8","610201151","1","0","200","1","-75"
"","0","1.6","610201201","1","0","0","1","50"
"","0","1.6","610201202","1","0","0","1","50"
"","0","1.6","610201203","1","0","0","1","50"
"","0","1.65","610201251","1","0","200","1","-75"
"","0","1.8","610201252","1","0","200","1","-75"
"","0","1.8","610201253","1","0","200","1","-75"
"","0","1.6","610201301","1","0","0","1","50"
"","0","1.6","610201302","1","0","0","1","50"
"","0","1.6","610201303","1","0","0","1","50"
"","0","1.65","610201351","1","0","200","1","-75"
"","0","1.8","610201352","1","0","200","1","-75"
"","0","1.8","610201353","1","0","200","1","-75"
"","1","1","610201401","2","0","0","0","0"
"","1","1","610201402","3","0","0","0","0"
"","1","1","610201403","4","0","0","0","0"
"","0","0.78","610201451","2","-200","0","0","0"
"","0","0.78","610201452","3","-140","0","0","0"
"","0","0.78","610201453","4","-60","0","0","0"
"","1","1","610201501","2","0","0","0","0"
"","1","1","610201502","3","0","0","0","0"
"","1","1","610201503","4","0","0","0","0"
"","0","0.78","610201551","2","-200","0","0","0"
"","0","0.78","610201552","3","-140","0","0","0"
"","0","0.78","610201553","4","-60","0","0","0"
"","0","1.7","610202101","1","0","190","1","-45"
"","0","1.4","610202201","1","0","190","1","-55"
"","0","1.7","610202202","1","0","190","1","-45"
"","0","1.7","610202203","1","0","190","1","-45"
"","0","1.4","610202301","1","0","190","1","-55"
"","0","1.7","610202302","1","0","190","1","-45"
"","0","1.7","610202303","1","0","190","1","-45"
"","0","1","610202401","2","-200","0","0","0"
"","0","1","610202402","3","-140","0","0","0"
"","0","1","610202403","4","-60","0","0","0"
"","0","1","610202404","5","-60","0","0","0"
"","0","1","610202501","2","-200","0","0","0"
"","0","1","610202502","3","-140","0","0","0"
"","0","1","610202503","4","-60","0","0","0"
"","0","1","610202504","5","-60","0","0","0"
