b343deba0fa64a19ffd38c5d2101d608b8e166c493716bbaae69219bb972b5a3,9e446b2bd8a7aaff6e6fc973b1a62cea3031bee389b62e228c5e3fa5ca440440,340afb5e1a666ec210f0ee876d0eb86f5ad61b148ee490f1d74ee6f74698a31f,d25fee09f71ad389243b329e2200abfc6a71776c74ca7e5055e86b14c496eec2,ee96161b0745643430723124f33db775020e12999bb61f05b5a152cd224fe79f,e84161342d257ea907c3cd063d07be1292c4f31b3c74262decd7966e37066bd6,0c808a3b6d7f7beabe1097ee06d4fb0b983a2b9493c74dfd0881bd7236f67ab5,3139b1e9fc302af8831fc518380e7187b74d7321216008c747275d3c02a61a8f,0d4f8402832bad2042911eb7236cfba861b0cbdbdafbf1c31e5fd4d309997ebe,208497ddf715fa7060627f1b1fcc322635fdd9a0e3867419725e28910cdc4f47,d6a6cdb46c8c54e42357299fcdca8ccfc6e583736ae66594c61c552fc65326b6,ac5cbf71dd4daad9b9b37d7c870c1179d767f16a3a57b0acc98112cd8ac812bd
"0","1007001","0","0","0","100700101","0.8","1","0","0","1","4"
"vo_svd","1007001","vo_svd_0101","0","0","100700102","0","0","0","0","2","2"
"0","1007001","0","300","1","100700103","0","0","0","1.684","3","1"
"0","1007001","0","0","0","100700104","1.949","1","0","0","4","4"
"0","1007001","0","327","2","100700105","0","0","15","1.363","5","1"
"0","1007001","0","0","0","100700106","3.027","1","0","0","6","4"
"vo_svd","1007001","vo_svd_0102","0","0","100700107","0","0","0","0","7","2"
"0","1007001","0","441","3","100700108","0","0","0","1.69","8","1"
"0","1007001","0","0","0","100700109","1.7","1","0","0","9","4"
"0","1007001","0","478","4","100700110","0","0","0","1.446","10","1"
"0","1007001","0","0","0","100700111","1.722","1","0","0","11","4"
"0","1007001","0","478","5","100700112","0","0","0","1.245","12","1"
"0","1007001","0","0","0","100700113","0.417","1","0","0","13","4"
"0","1007001","0","478","5","100700114","0","0","478","0.864","14","1"
"0","1007001","0","0","0","100700115","2.482","1","0","0","15","4"
"vo_svd","1007001","vo_svd_0103","0","0","100700116","0","0","0","0","16","2"
"0","1007001","0","420","6","100700117","0","0","0","2.352","17","1"
"0","1007001","0","0","0","100700118","1.694","1","0","0","18","4"
"0","1007001","0","268","7","100700119","0","0","0","0.953","19","1"
"0","1007001","0","0","0","100700120","2.5","1","0","0","20","4"
"0","1007002","0","0","0","100700201","0.8","1","0","0","1","4"
"vo_svd","1007002","vo_svd_0201","0","0","100700202","0","0","0","0","2","2"
"0","1007002","0","237","1","100700203","0","0","0","0.865","3","1"
"0","1007002","0","0","0","100700204","1.516","1","0","0","4","4"
"0","1007002","0","314","2","100700205","0","0","0","1.013","5","1"
"0","1007002","0","0","0","100700206","0.973","1","0","0","6","4"
"0","1007002","0","314","2","100700207","0","0","314","0.755","7","1"
"0","1007002","0","0","0","100700208","2.018","1","0","0","8","4"
"vo_svd","1007002","vo_svd_0202","0","0","100700209","0","0","0","0","9","2"
"0","1007002","0","76","3","100700210","0","0","0","0.541","10","1"
"0","1007002","0","0","0","100700211","0.517","1","0","0","11","4"
"0","1007002","0","330","3","100700212","0","0","76","0.992","12","1"
"0","1007002","0","0","0","100700213","0.792","1","0","0","13","4"
"0","1007002","0","0","4","100700214","0","0","0","0.751","14","1"
"0","1007002","0","0","0","100700215","1.887","1","0","0","15","4"
