03af197746baccc89c2de41a4414c85684411e090cf0bd2275c669ff749be422,8cdea6cb878a47fd546a527552b90947e8cc4bd25a1b40eace4581b712aecaae,797eaf546e52cd104b0577e5a207bc9572b2e402e01058c3b7fdeadddba743fa,fa76d8f73b617a658ada3a11f710b18ec5cdabf54eb6f9f8b8ff3854707b981e,c6c41fdb7d21c6cc5be5934dfe1b90e0d61eb0de6578e8b13bd3189143c017c2,5e8256a5f4840724045cec6fa861994633c7c6dd492ebf18086b50f163861b80,c41ae08a492c727a63a243b4ef87b7992072c3855b53c68e14ea4bb03784d530,449356a3535b55e1396512a475ee4e12751f6c6081572ca30a5ff3b8e15c58b9,5dfe3cbc416a91d8a5ce139abb589e0eb52f67e414d2fa8100f01d0e0e885091,96872e68eedcfbbc7b3a44de24e14ad2e30ed44540c0f79992f19a4a95344bfe,a8e9afb18a31405ae15e7e53c39770ecc7b02ee9ad371526c18fcd361c978fa4
"20000","10","0","新手衝刺登入活動","2016/09/01 15:00:00","530100","0","2","0","0","2023/08/01 04:59:59"
"20001","10","0","新手衝刺登入活動","2023/08/01 05:00:00","530100","0","2","0","0","2099/01/01 23:59:00"
"30000","15","0","登入獎勵","2016/04/01 15:00:00","0","0","3","0","0","2099/01/01 23:59:00"
"40001","10","0","半周年紀念登入活動","2019/01/30 05:00:00","500160","1","4","0","0","2019/02/14 04:59:59"
"40009","10","0","偶像大師復刻合作紀念","2021/08/09 05:00:00","40009","2","4","0","0","2021/08/26 04:59:59"
"40011","6","0","主線劇情第3部開幕紀念登入活動","2023/06/15 05:00:00","531200","3","4","0","0","2023/06/21 04:59:59"
"40013","1","0","七夕情人節快樂！","2024/08/10 05:00:00","40013","3","4","0","0","2024/08/26 04:59:59"
"40015","5","0","老玩家回歸登入獎勵","2024/12/10 05:00:00","40015","3","4","0","0","2099/01/01 23:59:00"
"49001","10","0","巴哈姆特金賞紀念登入獎勵","2019/04/04 05:00:00","500160","0","4","0","0","2019/04/19 04:59:59"
"49002","10","0","暑期繽紛登入獎","2019/07/01 05:00:00","500160","0","4","0","0","2019/07/15 04:59:00"
"49003","10","0","1周年倒數登入獎勵","2019/07/17 05:00:00","500160","0","4","0","0","2019/08/01 04:59:00"
"49004","8","0","真步真步王國開服一周年紀念","2019/12/16 05:00:00","500160","0","4","0","0","2019/12/31 04:59:00"
"49005","10","0","迎接1.5周年紀念","2020/01/10 05:00:00","500160","0","4","0","0","2020/01/21 15:59:00"
"49006","5","0","春節小禮物","2020/04/01 05:00:00","500160","0","4","0","0","2020/04/06 04:59:59"
"49007","10","0","動畫播放紀念禮物","2020/04/06 05:00:00","40006","0","4","0","0","2020/04/16 04:59:59"
"49008","10","0","2周年紀念登入獎勵（前半）","2020/08/03 05:00:00","80002","4","4","0","0","2020/08/18 04:59:59"
"49009","10","0","2周年紀念登入獎勵（後半）","2020/08/18 05:00:00","80002","4","4","0","0","2020/08/31 04:59:59"
"49010","10","0","感謝的禮物-每日登入獎勵寶石","2020/11/02 05:00:00","500160","0","4","0","0","2020/11/15 04:59:00"
"49011","10","0","歡慶聖誕","2020/12/24 05:00:00","500160","0","4","0","0","2021/01/06 04:59:00"
"49012","10","0","2.5周年預熱","2021/01/13 05:00:00","500160","0","4","0","0","2021/01/25 04:59:00"
"49013","10","0","歡慶IP合作","2021/04/16 05:00:00","40007","2","4","0","0","2021/04/28 04:59:00"
"49014","10","0","歡慶中秋","2021/09/17 05:00:00","500160","2","4","0","0","2021/10/01 04:59:00"
"49015","10","0","秋季贈禮","2021/10/18 05:00:00","500160","2","4","0","0","2021/11/01 04:59:00"
"49016","10","0","歡慶聖誕&迎接新年到來","2021/12/24 05:00:00","500160","2","4","0","0","2022/01/06 04:59:00"
"49017","10","0","秋季贈禮","2022/10/17 05:00:00","500160","2","4","0","0","2022/11/01 04:59:00"
"49018","10","0","歡慶聖誕&迎接新年到來","2022/12/24 05:00:00","500160","2","4","0","0","2023/01/06 04:59:59"
"49019","10","0","迎接春節來到","2023/01/21 05:00:00","500160","2","4","0","0","2023/02/06 04:59:59"
"49020","10","0","每日登入獎勵","2023/05/06 05:00:00","501470","2","4","0","0","2023/06/05 04:59:59"
"49021","1","0","迎接2024特別禮物","2023/12/31 05:00:00","500160","2","4","0","0","2024/01/02 04:59:59"
"60000","7","0","公主祭典紀念登入抽籤","2019/05/07 05:00:00","500160","0","6","0","1","2019/05/17 04:59:59"
"60001","7","0","謹賀新年 新年登入獎勵","2020/05/05 05:00:00","500553","0","6","0","1","2020/05/15 04:59:59"
"60002","7","0","謹賀新年 新年登入獎勵","2021/05/04 05:00:00","500553","0","6","0","1","2021/05/14 04:59:59"
"60003","7","0","謹賀新年 新年登入獎勵","2022/05/03 05:00:00","500553","0","6","0","1","2022/05/13 04:59:59"
"60004","7","0","謹賀新年 新年登入獎勵","2023/05/02 05:00:00","500553","0","6","0","1","2023/05/14 04:59:59"
