3fd3936eac602abced879777a595387c38f30cbb3750b8595b0b0805df975985,36708f6b6915ea67e6796fdf598e987bcfcd569931cad16131ed8b5d7b39a37b,91bd8360703044123c3c450b36d4498a6575edfe2079fff5a727991b05a621e4,7b977bc385ddd1a29e79bff629de226b4b4c3d1cd6cf44ab3fa612ce6fb3ec71,9525e8668a0dd93cb7a76c790bcb880e1d2fec44d5b566aef504f99e215e2003,cd751a87fa10d58d9a7c74b34629730690063abf8bc3b43437732ef61e90adf2,48a660b0b25319c86b2aa521c8120b9f23aff7e8b0c287bb75bd48f579ccd219,4828d131561e6509146be7e4a101bcf2455de75fa7d8b0a3edd5e1bc80f10173,8f4b7d2641c0700bf97e1b7b41bb22eec63da81cf289bb023b4e5bf6d8262df4,34ee1863e8524193f24461231b1bf27bf877061f85a4102b4eb6ede7c1ef38ad,0a3b7b81ae4dc705c44205193d997b1c0d2d9a10ad7fc01f24636168e4b1beeb,77bf0e4bb892bde3ce9d4cdf70404155ef2342e898ac8a09fcadfc884f71e821,36e374012d83d16e73c497127aa89c4259e97a3323a53e6f270074f432e89182,d8d4d95310a447890304215a3996c511a1c7070b61eed20d154b4b7c0506e446,8207e5fb4d365fb539e0181119662411ec9ae7ad057ae3b045c9bbcf42d15807,3ca686fda162377c4e77452c6d7c899879b500d5d80820500d9980719f8ee2f0,a40906d1cf4a13d7b64d703a53aa446ba666eebeb24545f5076c4cfd03326865,39a7cf01f819df6c00916739e38b0fa69c168195512ae6e86c274ee552ea1de0,faee9b412d3f2cf35051f3f10786b577667a84ed6ef5303e2e1359b4fcdd4b8a,7ed141a84eb7e99fe49d186977b33f09c18fba0df79afdde843403ae58cf19ff,5b91fdfa7ff6f2433686ee4f2aef643506486b8c2232ab26f0e44efa46cea880,70ea622bfe3fccde4f45af46dad609915b0e4830b7786b3035d85ce4a5f32dc1,572ad2156dfa443a61f5d6fe4da999cf49b86b4e36c8597b3e0f0f0d56966b94,f49bb8dfdb8e7cd030cce4ae50d8eb7a7c80928f9e1f05e6b5b9956d9ea8c169,5cb21866de91dbf3ef1e9c0ed0d0601bdfb0c69bcc900c1782817a29398e6415,3803b3acb6c3f518560735bb7349f1e34a9d53490e2f3413754f666b278552bd,b49c530ced5db6d7b5a83e3b2d5eb3a6bb646e856ef9402e3f4b867f558a4759
"94002","0","0","2","2","6001","2500","20002","23001","10001","12","5","10062","5035003","1","0","5","0","0","8008","請看活動劇情前篇第3話。","0","0","0","0","1","0"
"94002","0","0","2","2","6001","5000","20002","23001","10002","12","5","10062","5035005","1","0","5","0","0","8008","請看活動劇情前篇的結局。","0","0","0","0","1","0"
"94002","0","0","2","2","6005","7500","20002","23001","10003","12","5","10062","10062201","3","0","5","0","0","9004","請通關3次活動前篇的HARD冒險1-1。","0","0","0","0","1","0"
"91002","0","0","2","2","6007","50","31126","20002","10004","8","1","10062","1006202","3","0","5","0","0","9011","請打倒3次活動前篇的HARD Boss。","0","0","0","0","1","0"
"94002","0","0","2","2","6003","10000","20002","23001","20001","12","10","10063","5036001","1","0","5","0","0","8008","請看活動劇情後篇第1話。","0","0","0","0","2","0"
"94002","0","0","2","2","6002","12500","20002","23001","20002","12","10","10063","0","1","0","5","0","0","9006","請重置1次討伐證交換。","0","0","0","0","2","0"
"94002","0","0","2","2","6005","15000","20002","23001","20003","12","10","10063","10063201","3","0","5","0","0","9004","請通關3次活動後篇的HARD冒險1-1。","0","0","0","0","2","0"
"91002","0","0","2","2","6007","75","31126","20002","20004","8","2","10063","1006302","3","0","10","0","0","9011","請打倒3次活動後篇的HARD Boss。","0","0","0","0","2","0"
"94002","0","0","2","2","6003","17500","20003","23001","30001","12","10","10063","5036003","1","0","5","0","0","8008","請看活動劇情後篇第3話。","0","0","0","0","3","0"
"94002","0","0","2","2","501","20000","20003","23001","30002","12","10","0","112601","2","0","5","0","0","6011","請將未央（NGs）的★提升到2。","0","0","0","0","3","0"
"94002","0","0","2","2","6002","22500","20003","23001","30003","12","10","10063","0","3","0","5","0","0","9006","請重置3次討伐證交換。","0","0","0","0","3","0"
"91002","0","112601","2","2","6007","100","31126","20003","30004","8","2","10063","1006302","1","0","5","0","0","10000","請將未央（NGs）編入隊伍，打倒活動後篇的HARD Boss。","0","0","1","0","3","0"
"94002","0","0","2","2","6003","25000","20004","23001","40001","12","15","10063","5036005","1","0","5","0","0","8008","請看活動劇情後篇的結局。","0","0","0","0","4","0"
"94002","0","0","2","2","6002","27500","20004","23001","40002","12","15","10063","0","5","0","5","0","0","9006","請重置5次討伐證交換。","0","0","0","0","4","0"
"94002","0","0","2","2","6010","30000","20004","23001","40003","12","20","10062","1006203","1","0","5","0","0","9011","請打倒活動前篇的VERY HARD Boss。","0","0","0","0","4","0"
"91002","0","0","2","2","6010","125","31126","20004","40004","8","4","10063","1006303","1","0","20","0","0","9011","請打倒活動後篇的VERY HARD Boss。","0","0","0","0","4","0"
