6cd92dda5326dd2eba7ec147f4a6ed7b89732a89d93939311d92c445400f7582,79c385cc7916de8c6ab3db1f15c2318b25899f586c84b8bc4bc374db5d2f43e1,c0d640abe36360e09a3272064e1251292e34370646d41246f3b39b0cf16a2365,3fc0b2857b5fb74b2172a2a3a9eeac0fd01b0ea2241b5967d080bb87d4201a33,260bd0b24f322b389f5e8022c5d6d85fe29210dad6a88b66814f4ef34c19a995,d004cdbe8d69a70b07cbeec869c5d7bd898b144e2f337cebeec6f29140535aa7,9ed921589a907b5bc2243846ec87751783f95b96d66d76d9d9262e00de5547fb,be951f48a2083f045ad2f898bb460c83f0ef04f197f8e10bcdc808382010d7da,567257d991162c1134b7270192ddefe9f2fecfd79cb471a57b6a0460e4e7e5bd,9bbf7ccfa02d0191debffa7ee0c49e6aafb9b5fce89b7d4b77f596aac926cbc9,3a14afbe02f6fafbf170c574838d82fcce37235b71a6de94c6a7a1571785712c,7c20b4517e702bdbfa859f7800f2f4fc3a7057d017b704896aac99f6838b9bbe
"1","0","515406201","0.8","4","1","0","0","0","0","0","5154062"
"2","0","515406202","0","2","0","0","vo_abd","0","0","vo_abd_0101","5154062"
"3","2","515406203","0","1","0","0","0","300","1","0","5154062"
"4","0","515406204","2.1","4","1","0","0","0","0","0","5154062"
"5","0","515406205","0","2","0","0","vo_abd","0","0","vo_abd_0102","5154062"
"6","2.05","515406206","0","1","0","0","0","400","2","0","5154062"
"7","0","515406207","3.2","4","1","0","0","0","0","0","5154062"
"8","0","515406208","0","2","0","0","vo_abd","0","0","vo_abd_0103","5154062"
"9","1","515406209","0","1","0","0","0","60","3","0","5154062"
"10","0","515406210","1.4","4","1","0","0","0","0","0","5154062"
"11","2.5","515406211","0","1","0","60","0","430","3","0","5154062"
"12","0","515406212","3.3","4","1","0","0","0","0","0","5154062"
"13","0","515406213","0","2","0","0","vo_abd","0","0","vo_abd_0104","5154062"
"14","0.2","515406214","0","1","0","0","0","39","4","0","5154062"
"15","0","515406215","0.5","4","1","0","0","0","0","0","5154062"
"16","0.2","515406216","0","1","0","39","0","77","4","0","5154062"
"17","0","515406217","0.6","4","1","0","0","0","0","0","5154062"
"18","0.8","515406218","0","1","0","77","0","205","4","0","5154062"
"19","0","515406219","1.2","4","1","0","0","0","0","0","5154062"
"20","1.8","515406220","0","1","0","205","0","410","4","0","5154062"
"21","0","515406221","2.2","4","1","0","0","0","0","0","5154062"
"22","0","515406222","0","2","0","0","vo_abd","0","0","vo_abd_0105","5154062"
"23","0.6","515406223","0","1","0","0","0","69","5","0","5154062"
"24","0","515406224","1","4","1","0","0","0","0","0","5154062"
"25","0.7","515406225","0","1","0","69","0","195","5","0","5154062"
"26","0","515406226","1.5","4","1","0","0","0","0","0","5154062"
"27","0.8","515406227","0","1","0","195","0","315","5","0","5154062"
"28","0","515406228","1","4","1","0","0","0","0","0","5154062"
"29","0.7","515406229","0","1","0","315","0","415","5","0","5154062"
"30","0","515406230","2","4","1","0","0","0","0","0","5154062"
"31","0","515406231","0","2","0","0","vo_abd","0","0","vo_abd_0106","5154062"
"32","1","515406232","0","1","0","0","0","190","6","0","5154062"
"33","0","515406233","1.3","4","1","0","0","0","0","0","5154062"
"34","1","515406234","0","1","0","190","0","415","6","0","5154062"
"35","0","515406235","2.3","4","1","0","0","0","0","0","5154062"
"36","0","515406236","0","2","0","0","vo_abd","0","0","vo_abd_0107","5154062"
"37","0.7","515406237","0","1","0","0","0","47","7","0","5154062"
"38","0","515406238","0.8","4","1","0","0","0","0","0","5154062"
"39","0.8","515406239","0","1","0","47","0","360","7","0","5154062"
"40","0","515406240","2","4","1","0","0","0","0","0","5154062"
"41","0","515406241","0","2","0","0","vo_abd","0","0","vo_abd_0108","5154062"
"42","2.63","515406242","0","1","0","0","0","415","8","0","5154062"
"43","0","515406243","2.63","4","1","0","0","0","0","0","5154062"
"44","0","515406244","0","2","0","0","vo_abd","0","0","vo_abd_0109","5154062"
"45","1","515406245","0","1","0","0","0","0","9","0","5154062"
"46","0","515406246","2","4","1","0","0","0","0","0","5154062"
"47","0.5","515406247","0","1","0","0","0","61","9","0","5154062"
"48","0","515406248","1.2","4","1","0","0","0","0","0","5154062"
"49","1.5","515406249","0","1","0","61","0","415","9","0","5154062"
"50","0","515406250","2.5","4","1","0","0","0","0","0","5154062"
"51","0","515406251","0","2","0","0","vo_abd","0","0","vo_abd_0110","5154062"
"52","0.2","515406252","0","1","0","0","0","28","10","0","5154062"
"53","0","515406253","0.6","4","1","0","0","0","0","0","5154062"
"54","1.3","515406254","0","1","0","28","0","400","10","0","5154062"
"55","0","515406255","2.3","4","1","0","0","0","0","0","5154062"
"56","0","515406256","0","2","0","0","vo_abd","0","0","vo_abd_0111","5154062"
