5e327052e95d9e4de4f79ec559e3078f6ee5f1ea378cacbe38563ecbc676958f,486ea0e5343e2770eea30948d935ebf25f6e36c74fac367f44a192cade97e83d,7916da714e23d431ed27d115bac3be5743caa289e74d65e62e332a2af5a2eb32,532afd8d838b321f3cbfea049a39b6f47f8f1c23a33b935b27fcfd48925f2efb,fd6bfc8701f7f373e565fa9b302d47c14f22cb5d0fc7af7c46b61dba691686c8,6e1dbc0249940f81afe7b135c27f01a90d7bb23d992afd371b21ccabe85e8512,4ea0b710e51f40f7d3be952b704191ae86b2c52c6da4a9d9c28c9ca155217fc8,4763a2227257a330ae1c9c5a0519196cdd8982fd32e3ac98fdf88f146a7eb7e5,fc51028d4e76d554245bd7b0fe616712e7a5b00e7dab840f47722d7fb6b57fed,96bb7081ccb88c64e8aff52298e9e36517949d4c219a0380277c0a1ea4f0d9e8,df8f8a363ccbcb67ad0102e93530eae228ee0e1f44ba9999f6972573881f86ce,4c373b962e750e8b9d6493617040a69c725f19d61e3b31d2f25d91ce5ffaa736,05c37003f03d51ead02c8f1343a036a6e113e58b1c67c1236184686581c45e28
"1","Lost Princess","2018-10-18 15:00:00","Lost Princess","-1","","1","","-1","","","20",""
"2","Connecting Happy!!","2018-10-18 15:00:00","Connecting Happy!!","-1","","2","","-1","","","17",""
"3","踏上旅程","2018-10-18 15:00:00","踏上旅程","1000","","3","","-1","","","20",""
"4","穿過森林的風","2018-10-18 15:00:00","穿過森林的風","1000","","4","","-1","","","20",""
"5","梅莎路提姆","2018-10-18 15:00:00","梅莎路提姆","1000","","5","","-1","","","20",""
"6","初音的禮物大作戰","2018-10-18 15:00:00","初音的禮物大作戰","1000","","6","","-1","","","20",""
"7","席茲","2018-10-18 15:00:00","席茲","1000","","7","","-1","","","20",""
"8","Smiley Contrast","2018-10-18 15:00:00","Smiley Contrast","1500","","8","","-1","","","20",""
"9","牛頭怪","2018-10-18 15:00:00","牛頭怪","1000","","9","","-1","","","20",""
"10","小小甜心大冒險","2018-10-18 15:00:00","小小甜心大冒險","1000","","10","","-1","","","20",""
"11","阿爾瑪","2018-10-18 15:00:00","阿爾瑪","1000","","11","","-1","","","20",""
"12","小小冒險","2018-10-18 15:00:00","小小冒險","1500","","12","","-1","","","18",""
"13","大胃王","2018-10-18 15:00:00","大胃王","1000","","13","","-1","","","20",""
"14","不給布丁就搗蛋！約定的萬聖節派對","2018-10-18 15:00:00","不給布丁就搗蛋！約定的萬聖節派對","1000","","14","","-1","","","20",""
"15","傑克南瓜布丁","2018-10-18 15:00:00","傑克南瓜布丁","1000","","15","","-1","","","17",""
"16","還要！兩人的派～對～夜～","2018-10-18 15:00:00","還要！兩人的派～對～夜～","1500","","16","","-1","","","20",""
"17","閃耀的冰晶","2018-10-18 15:00:00","閃耀的冰晶","1000","","17","","-1","","","20",""
"18","Shining Future","2018-11-19 15:00:00","Shining Future","1500","","18","","3010003","","","20",""
"19","向風起誓","2018-11-19 15:00:00","向風起誓","1500","","19","","3010003","","","20",""
"20","因為想看到你的笑容","2018-11-19 15:00:00","因為想看到你的笑容","1500","","20","","3010003","","","18",""
"21","無法坦率的心！","2018-11-19 15:00:00","無法坦率的心！","1500","","21","","1054007","","","18",""
"22","向詭譎氣氛挺身而出的鬥志","2018-11-19 15:00:00","向詭譎氣氛挺身而出的鬥志","1000","","22","","-1","","","20",""
