e4ec47a6b0f4bb304e250e613b8637727537dfd068173dcdc07563c3679b9f37,ebcedb0dc330b1fd5a3b6915025d4bfca829507c08a79355d568b5dca5de9703,ac8c3c709a49e0ba4951a4c5fc9839606056fa6b86e7ef70c32d7922ac307c0c,6014303adc3427efec453f05832a7a61ae8ccf93dc31ba9ea570028e9faee4de,be467c995f06e0cbbd9c9f0c4cf4b6aa155d57b203a628e78fd7dace24aad93e,f12f2bb47923e8e20d1516939360e93e458043aab35c71651718428fd1f8f98a,24c485d841166f7af1954107081fa475fed43f7d02e91e822eeb7c9661ba379c,8cb437fbd8b8aee5404635c259ef18153ce0d0d67325b472ba50f49562e46593,a4ed5bc741ff04e8a17dcfafb79d28e1b33b5e1f1ec95435df67a857484a0e85
"30000","0","0","5000","50","100111","0","20000","0"
"30000","0","0","5000","50","100112","0","20000","0"
"30000","0","0","5000","50","100113","0","20000","0"
"45000","0","0","12500","125","100121","0","30000","0"
"45000","0","0","12500","125","100122","0","30000","0"
"45000","0","0","12500","125","100123","0","30000","0"
"60000","0","0","20000","200","100131","0","40000","0"
"60000","0","0","20000","200","100132","0","40000","0"
"60000","0","0","20000","200","100133","0","40000","0"
"30000","0","0","5000","50","100211","0","20000","0"
"30000","0","0","5000","50","100212","0","20000","0"
"30000","0","0","5000","50","100213","0","20000","0"
"45000","0","0","12500","125","100221","0","30000","0"
"45000","0","0","12500","125","100222","0","30000","0"
"45000","0","0","12500","125","100223","0","30000","0"
"60000","0","0","20000","200","100231","0","40000","0"
"60000","0","0","20000","200","100232","0","40000","0"
"60000","0","0","20000","200","100233","0","40000","0"
"30000","0","0","5000","50","100311","0","20000","0"
"30000","0","0","5000","50","100312","0","20000","0"
"30000","0","0","5000","50","100313","0","20000","0"
"45000","0","0","12500","125","100321","0","30000","0"
"45000","0","0","12500","125","100322","0","30000","0"
"45000","0","0","12500","125","100323","0","30000","0"
"60000","0","0","20000","200","100331","0","40000","0"
"60000","0","0","20000","200","100332","0","40000","0"
"60000","0","0","20000","200","100333","0","40000","0"
"30000","0","0","5000","50","100411","0","20000","0"
"30000","0","0","5000","50","100412","0","20000","0"
"30000","0","0","5000","50","100413","0","20000","0"
"45000","0","0","12500","125","100421","0","30000","0"
"45000","0","0","12500","125","100422","0","30000","0"
"45000","0","0","12500","125","100423","0","30000","0"
"60000","0","0","20000","200","100431","0","40000","0"
"60000","0","0","20000","200","100432","0","40000","0"
"60000","0","0","20000","200","100433","0","40000","0"
"30000","0","0","5000","50","100511","0","20000","0"
"30000","0","0","5000","50","100512","0","20000","0"
"30000","0","0","5000","50","100513","0","20000","0"
"45000","0","0","12500","125","100521","0","30000","0"
"45000","0","0","12500","125","100522","0","30000","0"
"45000","0","0","12500","125","100523","0","30000","0"
"60000","0","0","20000","200","100531","0","40000","0"
"60000","0","0","20000","200","100532","0","40000","0"
"60000","0","0","20000","200","100533","0","40000","0"
"30000","0","0","5000","50","100611","0","20000","0"
"30000","0","0","5000","50","100612","0","20000","0"
"30000","0","0","5000","50","100613","0","20000","0"
"45000","0","0","12500","125","100621","0","30000","0"
"45000","0","0","12500","125","100622","0","30000","0"
"45000","0","0","12500","125","100623","0","30000","0"
"60000","0","0","20000","200","100631","0","40000","0"
"60000","0","0","20000","200","100632","0","40000","0"
"60000","0","0","20000","200","100633","0","40000","0"
"30000","0","0","5000","50","100711","0","20000","0"
"30000","0","0","5000","50","100712","0","20000","0"
"30000","0","0","5000","50","100713","0","20000","0"
"45000","0","0","12500","125","100721","0","30000","0"
"45000","0","0","12500","125","100722","0","30000","0"
"45000","0","0","12500","125","100723","0","30000","0"
"60000","0","0","20000","200","100731","0","40000","0"
"60000","0","0","20000","200","100732","0","40000","0"
"60000","0","0","20000","200","100733","0","40000","0"
"30000","0","0","5000","50","100811","0","20000","0"
"30000","0","0","5000","50","100812","0","20000","0"
"30000","0","0","5000","50","100813","0","20000","0"
"45000","0","0","12500","125","100821","0","30000","0"
"45000","0","0","12500","125","100822","0","30000","0"
"45000","0","0","12500","125","100823","0","30000","0"
"60000","0","0","20000","200","100831","0","40000","0"
"60000","0","0","20000","200","100832","0","40000","0"
"60000","0","0","20000","200","100833","0","40000","0"
"30000","0","0","5000","50","100911","0","20000","0"
"30000","0","0","5000","50","100912","0","20000","0"
"30000","0","0","5000","50","100913","0","20000","0"
"45000","0","0","12500","125","100921","0","30000","0"
"45000","0","0","12500","125","100922","0","30000","0"
"45000","0","0","12500","125","100923","0","30000","0"
"60000","0","0","20000","200","100931","0","40000","0"
"60000","0","0","20000","200","100932","0","40000","0"
"60000","0","0","20000","200","100933","0","40000","0"
