4b16a3aa1eaa67fc6dbd0b8b5914d86d6314dcd4fe673886ac633d4ffc13c2d1,29a3debddc6ac3081b15ac001273b1644ec80646af5bcfb8153a54d4b7795407,0258a9553cfccbf9c300b8cb8dea0aa9725af18e22c496a49297618ca42e2338,cebdc66de4bb1e3da6f2c4dd1cea3b02d4fa2de33360ffcdb14e8f1314855983,cf9c8c2c65af3fc223054e4f0bbd3f4f47d13a58467a9bd45428d2f546dcc1ca,295ac27550b123a99629ce40321f9ff68bfb5820bc1d1850a061829419c35cf2,db6422f444104c8b3f50b02a528ac06b47fd9e57f98a046182b08db85a31cfae,b38103da1d81e14b76ec2cfc7ee5533a254c2f134f55bedc6ef5f43c23f4a120,9f696995d9cb74ca26073c69c34836de0f5b390c1b5873c0c5536821367e3629,0527b884fa1d5e740a4cdff345367ae26e0cb83d6623cac6e501f9289651e595,8f49f53355e3440e70b00fb99b815395cc2354dc582d0eb42aadb6cf481a153d,fdc8fe2e370a398fb8259cf3398b7c61760db339c734ffb8b2343fb980715c9e,3c4aadfc2b981c8890a677c9036a3d385235c5a6f79c5efc61a9f3b16d8de65c,6c3cd812f247dae6f007b3a40db727236542cb50d609b406e721e87f287cab53,1d68ab511897dd619a2ddce7e19c696c8fea83729de179ed89b5a4d305558acb,58ce0a9c6fd70fca165c34ebe12f76696f17faacfe88d12de24227dccc652e1a,e999d54c0e4c5c652da39979579e62b10b7896fd1548dde711eb9cb634852212,efcb4305203341ae1176fb8679690d4360af84ed9668ae44d036e3c52e0a064d,d522c7c3ffa117b444d070ce52c4368ffa8bfdddeaff95de1ab23e3bf1217c67
"0","0","20004","2","1002200","1","50","0","1","12","0","2000000","0","23001","0","50","2","80","94002"
"0","0","20004","2","1002200","51","100","0","2","12","0","1600000","0","23001","0","40","2","80","94002"
"0","0","20004","2","1002200","101","200","0","3","12","0","1400000","0","23001","0","40","2","60","94002"
"0","0","20004","2","1002200","201","500","0","4","12","0","1200000","0","23001","0","35","2","60","94002"
"0","0","20004","2","1002200","501","1000","0","5","12","0","1000000","0","23001","0","35","2","40","94002"
"0","0","20004","2","1002200","1001","1500","0","6","12","0","800000","0","23001","0","30","2","40","94002"
"0","0","20004","2","1002200","1501","2000","0","7","12","0","600000","0","23001","0","25","2","40","94002"
"0","0","20003","2","1002200","2001","3000","0","8","12","0","600000","0","23001","0","25","2","80","94002"
"0","0","20003","2","1002200","3001","5000","0","9","12","0","400000","0","23001","0","20","2","60","94002"
"0","0","20003","2","1002200","5001","10000","0","10","12","0","300000","0","23001","0","15","2","40","94002"
"0","0","20003","2","1002200","10001","100000","0","11","12","0","200000","0","23001","0","10","2","20","94002"
"0","0","20003","2","1002200","100001","200000","0","12","12","0","100000","0","23001","0","5","2","12","94002"
"0","0","20003","2","1002200","200001","300000","0","13","12","0","80000","0","23001","0","5","2","8","94002"
"0","0","20003","2","1002200","300001","400000","0","14","12","0","60000","0","23001","0","5","2","5","94002"
"0","0","20003","2","1002200","400001","-1","0","15","12","0","50000","0","23001","0","5","2","3","94002"
