20d5345ab3d297e6564d0d9fcd1e7adea76403dffdba3710a795f2529a03e76e,7b3d8750444562fbab044a5e416eff34d69ebabe530af24ecb148e989778a034,e52fa553017330922dec4fede03ce0c8796de9fb881e9e2561e8ce35bc193f8c,453549b80a09fd61236491b17aff83e421730b7ad8ef2d0b6e597bde498c9158,756d9b0f7a1dabcb91059ba7181487290945145df9bfacc82fda5a5a7fa01e71
"320001011","32000101","1000","2","25011"
"320001012","32000101","1000","2","25012"
"320001021","32000102","1000","2","25013"
"320001022","32000102","1000","2","25014"
"320001031","32000103","1000","8","91002"
"320001032","32000103","3000000","12","94002"
"320001033","32000103","1000","2","25015"
"320001034","32000103","1000","2","25021"
"320001041","32000104","1000","2","25013"
"320001042","32000104","1000","2","25014"
"320001051","32000105","1000","2","25012"
"320001052","32000105","1000","2","25015"
"320001061","32000106","1000","8","91002"
"320001062","32000106","3000000","12","94002"
"320001063","32000106","1000","2","25011"
"320001064","32000106","1000","2","25021"
"320001071","32000107","1000","2","25014"
"320001072","32000107","1000","2","25015"
"320001081","32000108","1000","2","25011"
"320001082","32000108","1000","2","25013"
"320001091","32000109","1000","8","91002"
"320001092","32000109","3000000","12","94002"
"320001093","32000109","1000","2","25012"
"320001094","32000109","1000","2","25021"
"320001101","32000110","3000","2","25011"
"320001102","32000110","3000","2","25012"
"320001103","32000110","3000","2","25013"
"320001104","32000110","3000","2","25014"
"320001105","32000110","3000","2","25015"
"320001111","32000111","3000","2","25011"
"320001112","32000111","3000","2","25012"
"320001113","32000111","3000","2","25013"
"320001114","32000111","3000","2","25014"
"320001115","32000111","3000","2","25015"
"320001121","32000112","3000","2","25011"
"320001122","32000112","3000","2","25012"
"320001123","32000112","3000","2","25013"
"320001124","32000112","3000","2","25014"
"320001125","32000112","3000","2","25015"
"320001131","32000113","1","2","21953"
"320001132","32000113","2000","2","25021"
