c2a74ce2b0b723e6294b7e0974401652e47faeb8c75a436f2abeec78179c0d1d,c7b18895d372e21c18135dc02e052ed40f09b3fec8a9fdf1bd9ced3ad8cefd6c,f07412470e7cb8eee76f4003e4a9773513f4acc24095eb0fbd9d0580c319df2c,e005c25cd32adbc10ab82e7be0115290e789692fe1dc5b1907be6d96b92199da,547a439eee08affca6e4e7f43d0edc436657512a1962d10808b6f925e7c21a37,a061e442f03945c9d5251d4954ef518fbcfd269e53a58230b61600d0a6de7167,af937db9d4b17acb98b537a1732384e5d8c1174e2c94a42dcde0e69429a3a1a6,7e6f9ad4323ed6a9413298bd8835a167d9eabf07489e5ec9a3b61e7dd845d998,e814656ce74325497e47ab3666127141693f730c8c5b5f8dcd6e18c86a345981,ce6d12d101af4e3040ec656df528c9149492376f86a1d41b7f4473cb92a197d5,89d7f9a5d99c9afb5ea71c96d1117da450ed9270f252287a8a579a45227b741f
"-224","1","167","1","129811","1","100","drama_idle","1.65","1","1001"
"-224","0","-49","1","129911","1","100","drama_idle","1.65","1","1002"
"","","","1","drama_idle","3","1","","0.2","129811","1003"
"1","0","drama_talk_arm_crossed_loop","1","drama_talk_arm_crossed_in","3","0","","0.2","129911","1004"
"","","0","1","vo_minigame_1013_top_talk_1_000","21","0","","","vo_minigame_1013","1005"
"0","0","1","1","既然魔物會\n源源不絕地湧出，\n戰鬥就不缺對手。\n不如說正好當作訓練。","11","5","0","0","129911","1006"
"","","","1","","91","","","","0","1007"
"","","","1","drama_idle_arm_crossed","3","1","","0.2","129911","1008"
"1","0","drama_talk_doya_loop_smile","1","drama_talk_doya_in_smile","3","0","","0.2","129811","1009"
"","","0","1","vo_minigame_1013_top_talk_1_001","21","0","","","vo_minigame_1013","1010"
"0","0","1","1","哈哈……\n被這樣對待，\n就算是魔物我也覺得\n有點同情它們了啊～","11","5","0.3","0","129811","1011"
"","","","1","","91","","","","0","1012"
"","","","1","drama_idle_arm_crossed","3","1","","0.2","129811","1013"
"1","0","drama_talk_smile_loop","1","drama_talk_smile_in","3","0","","0.2","129911","1014"
"","","0","1","vo_minigame_1013_top_talk_1_002","21","0","","","vo_minigame_1013","1015"
"0","0","1","1","如果能有助於訓練，\n它們也會感到光榮吧。\n嘻嘻……我好像聽見\n喜悅的叫聲了。","11","4","0.5","0","129911","1016"
"","","","1","","91","","","","0","1017"
"","","","1","drama_idle","3","1","","0.2","129911","1018"
"","","","1","drama_idle","3","1","","0.2","129811","1019"
"-224","1","167","2","129811","1","100","drama_idle","1.65","1","2001"
"-224","0","-49","2","129911","1","100","drama_idle","1.65","1","2002"
"","","","2","drama_idle","3","1","","0.2","129911","2003"
"1","","drama_talk_admire_loop","2","drama_talk_admire_in","3","0","","0.2","129811","2004"
"","","0","2","vo_minigame_1013_top_talk_2_000","21","0","","","vo_minigame_1013","2005"
"0","0","1","2","像這樣將眾多士兵\n聚集起來真是壯觀呢。\n場面魄力十足，\n完全不像是訓練兵喔。","11","6","0.5","0","129811","2006"
"","","","2","","91","","","","0","2007"
"","","","2","drama_idle_admire","3","1","","0.2","129811","2008"
"1","","drama_talk_arm_crossed_loop","2","drama_talk_arm_crossed_in","3","0","","0.2","129911","2009"
"","","0","2","vo_minigame_1013_top_talk_2_001","21","0","","","vo_minigame_1013","2010"
"0","0","1","2","讓他們服從，\n教育他們的是我們……\n我們要回應期待，\n全力栽培他們吧。","11","4","0.3","0","129911","2011"
"","","","2","","91","","","","0","2012"
"","","","2","drama_idle_arm_crossed","3","1","","0.2","129911","2013"
"1","","drama_talk_guts2_loop","2","drama_talk_guts2_in","3","0","","0.2","129811","2014"
"","","0","2","vo_minigame_1013_top_talk_2_002","21","0","","","vo_minigame_1013","2015"
"0","0","1","2","惠理子確實也\n很有教官的架式了。\n好～\n我也不能輸啊！","11","5","0.3","0","129811","2016"
"","","","2","","91","","","","0","2017"
"","","","2","drama_idle","3","1","","0.2","129811","2018"
"","","","2","drama_idle","3","1","","0.2","129911","2019"
"-224","1","167","3","129811","1","100","drama_idle","1.65","1","3001"
"-224","0","-49","3","129911","1","100","drama_idle","1.65","1","3002"
"","","","3","drama_idle","3","1","","0.2","129811","3003"
"","","","3","drama_talk_thinking","3","1","","0.2","129911","3004"
"","","0","3","vo_minigame_1013_top_talk_3_000","21","0","","","vo_minigame_1013","3005"
"0","0","1","3","實際與魔物展開對峙，\n揮刀砍進對方的身體。\n正因為有這手感，\n才能算是訓練呢。","11","5","0.8","0","129911","3006"
"","","","3","","91","","","","0","3007"
"","","","3","drama_idle_thinking","3","1","","0.2","129911","3008"
"1","","drama_talk_sad_loop","3","drama_talk_sad_in","3","0","","0.2","129811","3009"
"","","0","3","vo_minigame_1013_top_talk_3_001","21","0","","","vo_minigame_1013","3010"
"0","0","1","3","妳的發言還是\n一樣危險……不過，\n比起理論更重視實踐\n也是一種指導方式吧。","11","6","0.5","0","129811","3011"
"","","","3","","91","","","","0","3012"
"","","","3","drama_idle_sad","3","1","","0.2","129811","3013"
"1","","drama_talk_arm_crossed_loop","3","drama_talk_arm_crossed_in","3","0","","0.2","129911","3014"
"","","0","3","vo_minigame_1013_top_talk_3_002","21","0","","","vo_minigame_1013","3015"
"0","0","1","3","那麼\n實踐教育的優點\n就讓新兵們\n親身體驗吧。","11","4","0.3","0","129911","3016"
"","","","3","","91","","","","0","3017"
"","","","3","drama_idle","3","1","","0.2","129811","3018"
"","","","3","drama_idle","3","1","","0.2","129911","3019"
"-224","1","167","4","129811","1","100","drama_idle","1.65","1","4001"
"-224","0","-49","4","129911","1","100","drama_idle","1.65","1","4002"
"","","","4","drama_idle","3","1","","0.2","129911","4003"
"1","","drama_talk_doya_loop_shy","4","drama_talk_doya_in_shy","3","0","","0.2","129811","4004"
"","","0","4","vo_minigame_1013_top_talk_4_000","21","0","","","vo_minigame_1013","4005"
"0","0","1","4","真要說的話，\n因為我也是個感覺派，\n所以有點不擅長\n教別人東西呢。","11","5","0.3","0","129811","4006"
"","","","4","","91","","","","0","4007"
"","","","4","drama_idle_doya_shy","3","1","","0.2","129811","4008"
"1","","drama_talk_wish_loop","4","drama_talk_wish_in","3","0","","0.2","129911","4009"
"","","0","4","vo_minigame_1013_top_talk_4_001","21","0","","","vo_minigame_1013","4010"
"0","0","1","4","只要彼此互相信賴，\n不用言語也能傳達。\n就像我\n與那位大人一樣……","11","4","0.5","0","129911","4011"
"","","","4","","91","","","","0","4012"
"","","","4","drama_idle_wish","3","1","","0.2","129911","4013"
"0","","","4","drama_idle_thinking_shy","3","1","","0.2","129811","4014"
"","","0","4","vo_minigame_1013_top_talk_4_002","21","0","","","vo_minigame_1013","4015"
"0","0","1","4","（原來如此，那樣的話\n我也能好好傳達\n給他……呃，我在\n胡思亂想什麼啊～！）","11","7","0","0","129811","4016"
"","","","4","","91","","","","0","4017"
"","","","4","drama_idle","3","1","","0.2","129911","4018"
"","","","4","drama_idle","3","1","","0.2","129811","4019"
"-224","1","167","5","129811","1","100","drama_idle","1.65","1","5001"
"-224","0","-49","5","129911","1","100","drama_idle","1.65","1","5002"
"","","","5","drama_idle","3","1","","0.2","129811","5003"
"","","","5","drama_talk_thinking","3","1","","0.2","129911","5004"
"","","0","5","vo_minigame_1013_top_talk_5_000","21","0","","","vo_minigame_1013","5005"
"0","0","1","5","只要透過訓練交出成果\n勳章也會大大\n增添光彩……\n真是太棒了。","11","5","0.8","0","129911","5006"
"","","","5","","91","","","","0","5007"
"","","","5","drama_idle_thinking","3","1","","0.2","129911","5008"
"1","","drama_talk_wonder_loop","5","drama_talk_wonder_in","3","0","","0.2","129811","5009"
"","","0","5","vo_minigame_1013_top_talk_5_001","21","0","","","vo_minigame_1013","5010"
"0","0","1","5","雖然動機不單純，\n但妳作為教官\n果然很優秀呢～\n真不可思議啊。","11","5","0.3","0","129811","5011"
"","","","5","","91","","","","0","5012"
"","","","5","drama_idle_wonder","3","1","","0.2","129811","5013"
"","","","5","drama_talk_memory","3","1","","0.2","129911","5014"
"","","0","5","vo_minigame_1013_top_talk_5_002","21","0","","","vo_minigame_1013","5015"
"0","0","1","5","「不愧是惠理子呢！\n身為伴侶的我\n也感到非常自豪喔」\n這種話……嘻嘻嘻……","11","4","0.5","0","129911","5016"
"","","","5","","91","","","","0","5017"
"","","","5","drama_idle","3","1","","0.2","129811","5018"
"","","","5","drama_idle","3","1","","0.2","129911","5019"
"-224","1","167","6","129811","1","100","drama_idle","1.65","1","6001"
"-224","0","-49","6","129911","1","100","drama_idle","1.65","1","6002"
"","","","6","drama_idle","3","1","","0.2","129911","6003"
"","","","6","drama_talk_thinking_shy","3","1","","0.2","129811","6004"
"","","0","6","vo_minigame_1013_top_talk_6_000","21","0","","","vo_minigame_1013","6005"
"0","0","1","6","要是我也努力完成\n教官的工作，\n那傢伙也會\n感到高興嗎……","11","6","0.3","0","129811","6006"
"","","","6","","91","","","","0","6007"
"","","","6","drama_idle_thinking_shy","3","1","","0.2","129811","6008"
