8b04fa659a25672e4457a872fd1b3c2df60913b24a1d2978d41617786a08879a,2062aa0b39c71fefcd69261f4207e956f5cd49937a19ce93f636c8d80af71a79,1c284065b23857993fab80cfac67d92fdf562f7e6080c49d1f54a620d9e9774b,9166b8c33438399d2d278b3985552c7fce99442411f3ff43b9e4ecefd701fef8,e137fd765fc8d16874e8a881818d8bd418e82574f7a8e22e04e0790755c8a224,97425bde9c6b0b2839e9e8323003cab7822add09ece9a70771511920b5af2748,1fae10e838d8f9be2058944df8d594a2b078156ac3952bd1238640065a0ef50f
"取得累積分數2500分","94002","50000","12","5126700","2500","1"
"取得累積分數5000分","94002","50000","12","0","5000","1"
"取得累積分數7500分","94002","50000","12","0","7500","1"
"取得累積分數10000分","2839","1","7","5126701","10000","1"
"取得累積分數12500分","94002","80000","12","0","12500","1"
"取得累積分數15000分","94002","80000","12","0","15000","1"
"取得累積分數17500分","94002","80000","12","0","17500","1"
"取得累積分數20000分","91002","25","8","5126702","20000","1"
"取得累積分數22500分","94002","100000","12","0","22500","1"
"取得累積分數25000分","94002","100000","12","0","25000","1"
"取得累積分數27500分","91002","100","8","0","27500","1"
"取得累積分數30000分","11001262","1","15","5126703","30000","1"
"取得累積分數2500分","94002","50000","12","5126710","2500","2"
"取得累積分數5000分","94002","50000","12","0","5000","2"
"取得累積分數7500分","94002","50000","12","0","7500","2"
"取得累積分數10000分","2840","1","7","5126711","10000","2"
"取得累積分數12500分","94002","80000","12","0","12500","2"
"取得累積分數15000分","94002","80000","12","0","15000","2"
"取得累積分數17500分","94002","80000","12","0","17500","2"
"取得累積分數20000分","91002","25","8","5126712","20000","2"
"取得累積分數22500分","94002","100000","12","0","22500","2"
"取得累積分數25000分","94002","100000","12","0","25000","2"
"取得累積分數27500分","91002","100","8","0","27500","2"
"取得累積分數30000分","11001263","1","15","5126713","30000","2"
