591a8c87a1ccef2b85cb7e614efa111876bc1f7b9c52996fef290a30c2cd9a9b,d1218cfdb6bb64a4d0bbfc98923acb40a41ef043fa19a3e58f9704dae04b2b88,4f02c70c446d81e5c93def467f7bf16326be8d9db8ea0560ad5242d672baa1bd,752ce831f61680c02b5930b61d5dbfad76250f731fe2ad1baae97d29d513ef08,2ec7118bea1277c5e93fde786b2271196aa4d99a9971022aeeb76c16b32da939,2b295fc9944168927281e45f1ec31091c057eba996fc1ea9eaeba910a2d1afa3,74cfa1f47b6d53c8717b3a28a644fee6fc7bb7f39c7de278858e453abfa9c46d,690ea1fab87106f28de05c1b3daa3768335e05f7ff4769f42d55aa953829ec6e,e6771a7e55b3c9d2959f216caf06c9f9d9d9e15bb2e8004f5dcb65e6116b20ce,9dc51a93b8285be622a7e30bb92e238024f5c473a288ff8bdb552e47ddb43c5e,78d67670cc38bb6e46597465ccbbb918c7584f38eb812ee0645b1ca516a0f780,0a081d2aeaebb1849880df79f126fe6a27c7fe2d703391596bf28b7439463e90,d89a4ca90028842173ad020d6be5f398aa8e014cc208f0c618950ae9f1713736,f763e8befdadfe8bb5ee209a2bb997c721a0013c206b13355415f793260aeb58,77a8b6b7118a22e8a7de96ae403df7c99876eb2b65edadd70138a9f83356de76,2650397b6cd888048b80bf3f2071258e5a6e952e66377676e9c6fa13a6382a2e,fa02c2686a3dfb3b6ca301ae3f92fdb980ba922d518487795b81890b888f6dd5,d938ef641150e6fc7e775446c292bd4d6406f9f43f52b820903563fcc60e3139,c494fd2a5de8fb4041ed0f3958a74e4f7a4cc63bc237e5f7292da46e39509ace,1cfb9f4ce6ec8eab3773a990185eb4d0e2b9437a6524242475e026d36ffe287b,b89612043591d9219976ad9d07e3afef4a1c2c58f48bb184cbf161343b01e278,43369115d56301ad2a9fc1e65e914b08aec4bdd708c3b8c024c5f79cbb2ea61b,0f401d697ecf0167e828aac8850b263e11eca77e7b84ed3d46524c054562d132,2a32ac1dc209f70d7950a4a44cdc043b66d9fa4847e68be4a50bdb9d3447862d
"5","0","300010","0","11063","【暮光流星群】出動！","-120","91002","15063001","-356","2","2","31056","5","8","31009","30","31013","5","1","在戰鬥中獲得勝利。","0","2","2015/12/17 15:00:00"
"5","0","300010","0","11063","背面世界的戰鬥訓練","-168","91002","15063002","-214","2","2","31053","5","8","31043","30","31005","5","1","在戰鬥中獲得勝利。","0","2","2015/12/17 15:00:00"
"5","0","300010","0","11063","前往背面世界的畢業旅行？","-65","91002","15063003","-84","2","2","31018","5","8","31016","30","31050","5","1","在戰鬥中獲得勝利。","0","2","2015/12/17 15:00:00"
"0","0","300020","0","11063","《EX》成群的危險暗影","109","91002","15063004","-116","0","0","0","0","8","0","150","0","0","2","在戰鬥中獲得勝利。","0","0","2015/12/17 15:00:00"
"5","0","300010","0","11063","小小反轉大冒險","-120","91002","15063005","614","2","2","31004","5","8","31020","30","31036","5","1","在戰鬥中獲得勝利。","0","2","2015/12/17 15:00:00"
"5","0","300010","0","11063","目標，出征背面世界？","51","91002","15063006","655","2","2","31044","5","8","31006","30","31022","5","1","在戰鬥中獲得勝利。","0","2","2015/12/17 15:00:00"
"0","0","300020","0","11063","《EX》成群的危險暗影","30","91002","15063007","881","0","0","0","0","8","0","150","0","0","2","在戰鬥中獲得勝利。","0","0","2015/12/17 15:00:00"
"5","0","300010","0","11064","代替招呼的背面世界火拼！","-179","91002","15064001","-247","0","2","31065","5","8","31066","30","0","0","1","在戰鬥中獲得勝利。","0","2","2015/12/17 15:00:00"
"5","0","300010","0","11064","新生意的甜～美香氣","-105","91002","15064002","0","2","2","31032","5","8","31048","30","31034","5","1","在戰鬥中獲得勝利。","0","2","2015/12/17 15:00:00"
"0","0","300020","0","11064","《EX》危險的魔物‧胡狼與眼蔓","-90","91002","15064003","159","0","0","0","0","8","0","150","0","0","2","在戰鬥中獲得勝利。","0","0","2015/12/17 15:00:00"
"10","0","300010","0","11064","用火箭拳擊退魔物！","-79","91002","15064004","453","0","2","90005","0","8","0","30","0","0","1","在戰鬥中獲得勝利。","0","0","2015/12/17 15:00:00"
