26a47d71d87eb5a84ab6170557139aee183064ac7a17277de990a9fa2fec676f,9428e94189f65c2cc48b7a29b5229d516b2b0449ae9365f161f9bbe136efe4b5,de25bce0ea2bd6b7df86b8fd6edd5aa8429ccd95883c42648c3126ac63e643de,36934989163b8cdb415e495d84dfa6ec0c2a43deb74a58efd0cc1655a0ec0968,1abf51929352844a3687da2945f3e98ec98fce3d5ad5c59561ce34f8b56a9a9c,92aa63d95f98f3ef2cf66ef2b20bb4e952257b486ba880511f49d985998c0553,2c4214b277542e375d120ad37d7d9fac361e8220c64c530b37266073c7539115,9eb96929e1450a2c531aacdba768840344330c48f98e4b2432140ba18e52fc8d,914437206bf3ee8ffb288dd97f59f9e72ad4c1e23672d33421be3309321502af,03eab214d368abc80d2566ae38b78b7825f4180745251a4eacbccd86d279ac6e,210b402981817afdffbca90f188185cd65ebf460eb432611cca345f40f2ed0bd
"284001001","91002","31","25014","8","2","2","1","10","8","25021"
"284001002","91002","31","25014","8","2","2","2","10","8","25021"
"284001003","91002","32","25014","8","2","2","3","10","8","25021"
"284001004","91002","32","25014","8","2","2","4","10","8","25021"
"284001005","91002","33","25014","8","2","2","5","10","8","25021"
"284001006","91002","33","25014","9","2","2","6","10","8","25021"
"284001007","91002","34","25014","9","2","2","7","10","8","25021"
"284001008","91002","35","25014","9","2","2","8","10","8","25021"
"284001009","91002","35","25014","9","2","2","9","10","8","25021"
"284001010","91002","37","25014","10","2","2","10","30","8","25021"
"284001011","91002","41","25014","10","2","2","11","10","8","25021"
"284001012","91002","43","25014","11","2","2","12","10","8","25021"
"284001013","91002","46","25014","11","2","2","13","10","8","25021"
"284001014","91002","48","25014","12","2","2","14","10","8","25021"
"284001015","91002","50","25014","12","2","2","15","10","8","25021"
"284001016","91002","53","25014","13","2","2","16","10","8","25021"
"284001017","91002","55","25014","14","2","2","17","10","8","25021"
"284001018","91002","58","25014","14","2","2","18","10","8","25021"
"284001019","91002","60","25014","15","2","2","19","10","8","25021"
"284001020","91002","62","25014","15","2","2","20","30","8","25021"
"284001021","91002","68","25014","16","2","2","21","10","8","25021"
"284001022","91002","70","25014","16","2","2","22","10","8","25021"
"284001023","91002","72","25014","16","2","2","23","10","8","25021"
"284001024","91002","75","25014","17","2","2","24","10","8","25021"
"284001025","91002","77","25014","18","2","2","25","10","8","25021"
"284001026","91002","79","25014","18","2","2","26","10","8","25021"
"284001027","91002","82","25014","19","2","2","27","10","8","25021"
"284001028","91002","84","25014","19","2","2","28","10","8","25021"
"284001029","91002","86","25014","19","2","2","29","10","8","25021"
"284001030","91002","89","25014","20","2","2","30","30","8","25021"
"284001031","91002","94","25014","20","2","2","31","10","8","25021"
"284001032","91002","96","25014","21","2","2","32","10","8","25021"
"284001033","91002","99","25014","21","2","2","33","10","8","25021"
"284001034","91002","101","25014","22","2","2","34","10","8","25021"
"284001035","91002","103","25014","22","2","2","35","10","8","25021"
"284001036","91002","106","25014","23","2","2","36","10","8","25021"
"284001037","91002","108","25014","23","2","2","37","10","8","25021"
"284001038","91002","111","25014","24","2","2","38","10","8","25021"
"284001039","91002","113","25014","25","2","2","39","10","8","25021"
"284001040","91002","115","25014","25","2","2","40","30","8","25021"
"284001041","91002","121","25014","26","2","2","41","10","8","25021"
"284001042","91002","123","25014","27","2","2","42","10","8","25021"
"284001043","91002","125","25014","28","2","2","43","10","8","25021"
"284001044","91002","128","25014","28","2","2","44","10","8","25021"
"284001045","91002","130","25014","29","2","2","45","10","8","25021"
"284001046","91002","132","25014","30","2","2","46","10","8","25021"
"284001047","91002","135","25014","30","2","2","47","10","8","25021"
"284001048","91002","137","25014","31","2","2","48","10","8","25021"
"284001049","91002","139","25014","31","2","2","49","10","8","25021"
"284001050","91002","142","25014","31","2","2","50","30","8","25021"
"284001051","91002","144","25014","32","2","2","51","10","8","25021"
"284001052","91002","146","25014","32","2","2","52","10","8","25021"
"284001053","91002","149","25014","32","2","2","53","10","8","25021"
"284001054","91002","152","25014","33","2","2","54","10","8","25021"
"284001055","91002","155","25014","33","2","2","55","10","8","25021"
"284001056","91002","157","25014","33","2","2","56","10","8","25021"
"284001057","91002","160","25014","34","2","2","57","10","8","25021"
"284001058","91002","163","25014","34","2","2","58","10","8","25021"
"284001059","91002","166","25014","34","2","2","59","10","8","25021"
"284001060","91002","169","25014","35","2","2","60","30","8","25021"
"284001061","91002","171","25014","35","2","2","61","10","8","25021"
"284001062","91002","174","25014","35","2","2","62","10","8","25021"
"284001063","91002","177","25014","36","2","2","63","10","8","25021"
"284001064","91002","180","25014","36","2","2","64","10","8","25021"
"284001065","91002","182","25014","36","2","2","65","10","8","25021"
"284001066","91002","185","25014","37","2","2","66","10","8","25021"
"284001067","91002","187","25014","37","2","2","67","10","8","25021"
"284001068","91002","190","25014","37","2","2","68","10","8","25021"
"284001069","91002","193","25014","38","2","2","69","10","8","25021"
"284001070","91002","196","25014","38","2","2","70","30","8","25021"
"284001071","91002","200","25014","39","2","2","71","10","8","25021"
"284001072","91002","204","25014","39","2","2","72","10","8","25021"
"284001073","91002","208","25014","40","2","2","73","10","8","25021"
"284001074","91002","212","25014","40","2","2","74","10","8","25021"
"284001075","91002","216","25014","41","2","2","75","10","8","25021"
"284001076","91002","220","25014","41","2","2","76","10","8","25021"
"284001077","91002","224","25014","42","2","2","77","10","8","25021"
"284001078","91002","228","25014","42","2","2","78","10","8","25021"
"284001079","91002","232","25014","43","2","2","79","10","8","25021"
"284001080","91002","236","25014","43","2","2","80","30","8","25021"
"284001081","91002","240","25014","44","2","2","81","10","8","25021"
"284001082","91002","244","25014","44","2","2","82","10","8","25021"
"284001083","91002","248","25014","45","2","2","83","10","8","25021"
"284001084","91002","252","25014","45","2","2","84","10","8","25021"
"284001085","91002","256","25014","46","2","2","85","10","8","25021"
"284001086","91002","260","25014","46","2","2","86","10","8","25021"
"284001087","91002","264","25014","47","2","2","87","10","8","25021"
"284001088","91002","268","25014","47","2","2","88","10","8","25021"
"284001089","91002","272","25014","48","2","2","89","10","8","25021"
"284001090","91002","276","25014","48","2","2","90","30","8","25021"
