54d27101b50499bf3274821b46437f155600311f2be4f40f2789ab90dabd6b0e,7975269601a848935ae98e1a04b00136b981cb939d004e019ece61e6924d0716,5d32f74bd96fb9745eda789ba80247e8dd1e39238a7a1455363c067596cd1a6b,ad3c60f9aadbb7a7cff76dff970d31a5d6f75c1247591684b62ff7e6e2a691d0,e451259528b8960bb117d455915321ad59a6678e0fdadc15e8a5e33c3d6affab,0e4b0ce9760f6402e7f061fc1bbad5f6bf6d5e180dfb1ab50b67ffeaba013cdc,fa1cf84e36a1b8692891f4cd98f07f0e723ad1acc9857aa712d66d8ff0a18b5a,f34bb23afdf8256209b21277cd6cb4033fdcdd31380b82b8ff2896bdd9db23d1,a83a02a2f4613aa9bf968e867217ead9968cfdc433a9318bb9f6699be359ff6c,158238f6674e69536e65fa8e758936e985aad2b7e85abda1c531f9b00e2618f4,b663122529836e314e87e535e0162282d61fe7c14d1d7fb2d0c56d400a7151d9,553eb7b12c5b678344c4d307c5a65f99a53787d9cc04956b282e527f65cbf2a8,d6d348ef737c062959ea388e53dd7a5d0a465cac59ef61085e6fe45824d55c1b,fc4e42294743c208db8d67c7e4f9947c89e66ac3ef0138830795281f5911c27e,20a2905a2838ddb63fb97cf19124010eb45cdc8dcbb9d32952ab0acfb2245cce,fd6486a3b8abb950523f22f748c726d9c8b315b55c9e2a2334ab4c71a3e3c15b,7cfc22f98f88aaa45eadc7382b8f1204740eebc1251623b2572c497275ef6608,e16f04fb8dd794a72d3dafaece8794b2a6a16b1a2abeb132836f41acbf0a15a1,1f48d58203a9735d14c40e5eb541346a6052be69031fd6e2efc795e31d7af0b7,2b3ab69248618af221598c97a142d248734d63a65295dba015afc530b14c4980,62c4fe543a0c729105939892853485fdada9dded4e6093095bc63ecd56e96882
"0","98","0","0","0","0","0","4.7","0","日和配戴的腰帶。\n有著猛獸睥睨眼神的扣環，\n能鼓動鬥爭本能，\n令拳頭更有勁道。","1","0","喵王腰帶","130011","0","0","0","0","0","0","0"
"0","98","2.3","0","0","0","0","0","0.25","優衣配戴的髮箍。\n造型可愛的花蕾絲與裝飾，\n讓守護夥伴的治療之力\n更為提升。","0","0","繁花之願","130021","0","0.25","0","0","0","0.25","0"
"0","98","0","0","0","0","0","4.75","0","怜愛用的手套。這副攻守\n兼備的手套所打出的正拳突刺，\n不論對上什麼敵人\n都能夠打倒。","0","5.5","雄風手套","130031","0","0","0","0","0","0","0"
"0","98","0","0","0","0","0","3.35","0.3","禊充滿自信的最高傑作驚嚇箱。\n別以為只是小孩的玩具而輕視，\n外觀的驚嚇度與衝擊性的音效，\n肯定能夠嚇破敵人的膽子。","0","0","驚嚇箱","130041","0","0","0","0","0","0.1","0"
"0","98","0","0","0","0","0","0","0.45","茉莉所珍惜的騎士團致贈\n勳章。每當看到閃亮的勳章\n茉莉的正義之心就會強化，\n能夠對抗任何邪惡。","0","6.5","正義勳章","130051","0","0","0","0","0","0.4","0"
"0","98","3.6","0","0","0","0","0","0.15","通體注滿茜里之愛的魔槍。\n藏在武器裡的強大魔力，\n能讓小惡魔變成煽動的魔女，\n並華麗地變身。","0","0","惡魔三叉戟","130061","0","0","0","0","0","0.15","0"
"0","98","0","0","0","0","0.15","0","0.45","將宮子的最愛大型化，連每樣\n素材都仔細講究的究極布丁。\n那已達至高領域的超級美味，\n入口時感覺身體都要變透明了。","0","11.5","幽靈香甜鬼魂布丁","130071","0","0","0","0","0","0.15","0"
"0","98","3.15","0","0","0","0","0","0.2","雪愛用的隨身鏡。\n炫目的裝飾能引出雪的\n光輝，能夠對全人類造成\n巨大的影響。","0","0","閃亮隨身鏡","130081","0","0","0","0","0","0.2","0"
"0.5","98","4.5","0","0","0","0","0","0","由疾風之冥姬使用之魔裝。若是凡人\n將瞬間被魔力吞噬，成為廢人。\n不祥的闇黑色刀刃泛起光彩的剎那，\n黑暗將化為疾風，將愚者引入黃泉。","0","0","螺旋靈擊疾風飛劍","130091","0","0","0","0","0","0","0"
"0","98","2.1","0","0","0","0","0","0.3","可愛而絢爛的魔法杖。一揮動\n就能與支援魔法一起舞出童話\n般的風格，受到真步真步王國\n的庇護。","0","0","純真童話杖","130101","0","0.25","0","0","0","0.25","0"
"0","98","0","0","0","0","0","4.6","0","蘊含熾烈的火焰，\n是璃乃專用的魔法箭。熱情的意念\n就是火焰的源頭，射出的一擊，\n具有決定戰果的強大威力。","1","0","日珥箭","130111","0","0","0","0","0","0","0"
"0.5","98","4.4","0","0","0","0","0","0.05","栞送給初音的妹妹手工製\n緞帶。灌入閃亮星的栞的\n思念，會呼應姊姊的魔力\n令敵人的魔法防禦力下降。","0","0","流星☆緞帶","130121","0","0","0","0","0","0","0"
"0.75","98","4.5","0","0","0","0","0","0","七七香揮舞的魔法杖。\n天才魔法少女用電腦的閃光，\n利用灌注了高昂魔力的超級\n魔法來攻擊敵人！","0","0","七七香最強法杖","130131","0","0","0","0","0","0","0"
