c5158e9e5c2196081b039b601a27d8c005dd0e1f41d76955a033668d562ac02e,dda4b832cb426200c6df72e24f2aad2c3a8fa54256d7dc6da1c440ad1e67a35c,b9f41d04f0cff7d261e5483784646e07d1e118580be65508af96478d7da691e7,8443e7ed09db1d3fa2de2f57872d8e6bd61a92e341dae1a90a768c9c38c5be5d,2ba87f2f8b29e705b8d73f099b7756071e42c0ef0107344f07b039dfe44cd4cd,94b7552ab03b7c737b4c47fddf3a738467e12cd2db68edd7dddaaa27ec0ed119,70ae6fe3f4cf53a70bfa157d05c04c5ba20d5f1594f488fabad5702eddaabc21,a2f4d8a023b484484dc28ad511089986168d50b22de4384e9125a64dc7d9eb4e,c953b643e27be220e796d32f548f64b0305b661bfce8902bf2d1b9b5b0b6dc35,120211e5fe12fbe95a921d5a048b5050955fced4ab9a019a02528fe7fb55d5cd,72ddcd9e0892d347adbfbf2fad9be5ad1e2fe02c97d5c7f22b0fb27f6ea70fb7,5300acd45c32d454da354ed7709a991f428a66aada3831995b96a7b1a95a4f50,21baa118f62e302ca2727d5eceb3af0ec946bf9c84f45d2cfa1419c84282cf54,9f4bffea118afa922466743b50406ce02170980ae13487854a594e7cfffc4847,8e261015de485672ba09d4056c3439ae9c3bbdbd47a3292f85d375672b27cc19,99399f8073413010099b2823e3ad1763ca97a8c2d7a30d81d3df6b76b2ac3f43,0aed6be3c218edfed6c4941c3c6c493553981faae2ea660605c4b515d53f22db
"1","11001001","10","-470","100000","4101401","4104401","7200","43200","克梅利亞洞窟","4101351","1","4104351","11001001","108","11001","4201401"
"2","11001002","10","-235","100000","4106401","4110401","7200","43200","盧可拉諾大瀑布","4106351","1","4110351","11001002","90","11001","4203401"
"3","11001003","10","0","100000","4102401","4105401","7200","43200","艾里巨木","4102351","1","4105351","11001003","108","11001","4201401"
"4","11001004","10","235","100000","4108401","4109401","7200","43200","伊雷亞溪谷","4108351","1","4109351","11001004","90","11001","4203401"
"5","11001005","10","470","100000","4103401","4107401","7200","43200","史達爾斷崖","4103351","1","4107351","11001005","108","11001","4201401"
"6","11002001","10","-470","100000","4104401","4201401","7200","43200","阿爾巴岸堤","4301351","1","4101401","11002003","108","11002","4301401"
"7","11002002","10","-235","100000","4110401","4203401","7200","43200","撒達爾史朵\n沙灘","4305351","1","4106401","11002002","90","11002","4305401"
"8","11002003","10","0","100000","4105401","4201401","7200","43200","達爾里克\n巨岩","4302351","1","4102401","11002001","108","11002","4302401"
"9","11002004","10","235","100000","4109401","4203401","7200","43200","安卡爾川","4304351","1","4108401","11001005","90","11002","4304401"
"10","11002005","10","470","100000","4107401","4201401","7200","43200","達克比亞\n森林","4303351","1","4103401","11001001","108","11002","4303401"
"11","11003001","10","-470","100000","4101401","4104401","7200","43200","密瑪斯\n洞穴","4201351","1","4201401","11003001","108","11003","4109401"
"11","11003002","10","-155","100000","4108401","4102401","7200","43200","雷安特河","4202351","1","4202401","11003002","90","11003","4110401"
"11","11003003","10","160","100000","4103401","4105401","7200","43200","刻蘭德\n廢墟","4203351","1","4203401","11003003","108","11003","4109401"
"11","11003004","10","470","100000","4106401","4107401","7200","43200","迪歐涅加\n冰海","4204351","1","4204401","11003004","90","11003","4110401"
