112796d4d8c878f85a7ad8b1d2747d7b5ffd62376d1bc444ccd0fb5a7f01013c,e03b0763e4871b4a8edf81e2798b4e6764c5e927e5cc0b1638200620fbd53256,fa67eab683db6edc32aaa22bf20900560677b95e3af4d7483b37e3513654e04c,50760b83ee97269728c124bc7c6355132f7a5031946e2228a885e1727a6dea3c,1d925fa7908437a73e3319d8fdbe015a99fb02721ed2493083357037dbd66716,bd07572b9f155df71bc865481b0adffe16866d9e1f5287f4dfd46b0e9c0b72b7,7e69fab82e0e492bb0e9bcf1774d2cd222d67a4ab33f5b2bed561e3a3860bcd8
"1","","1","0","10008111","0","10008101"
"2","","1","0","10008115","0","10008112"
"3","","3","0","10008103","0","10008101"
"4","","3","0","10008115","0","10008105"
"5","","4","0","150","0","10008112"
"6","","1","0","10028111","0","10028101"
"7","","1","0","10028115","0","10028112"
"8","","3","0","10028103","0","10028101"
"9","","3","0","10028115","0","10028105"
"10","","4","0","150","0","10028112"
"11","","11","20012107","20012104","0","20012104"
"12","","11","20012109","20012108","0","20012108"
"13","","11","20012114","20012110","0","20012110"
"14","","11","20012115","20012115","0","20012115"
"15","","4","0","120","0","20012110"
"16","","1","0","20008111","0","20008101"
"17","","1","0","20008115","0","20008112"
"18","","3","0","20008103","0","20008101"
"19","","3","0","20008115","0","20008105"
"20","","4","0","150","0","20008112"
