d6f5f160615f9b735f58facf1fcc1ca8dd6db1427a9ee298b116e9a066551cd6,2e13671a2f02708c16ca41b6bc0676c869afb10305082c866fbbf7ed3e612a6d,68c57b6f48480a1eb7596fff35d42990716203cfec4b908b5f2f01c1715591f4,40fda239324c4122cb552503001615d41a4164f9a5b700ef5f52e4892debc2dc,fdbd2402b5e0cbdac951084f1b593776e98ff801dc531a1d33130ca2e9b38317,07d9d5aa03f75454651698b85ab0f0f361a74e2adaeb934aad3af46f1014b3f4,f2abab904f56a216f5642840b3b763fa1edc62166b6bab0e1f71ed687c02971e,7db0792f972d8aeab0ad31e162c13f18e004601053ede8996b7cc40df3a89aef,cf544cad2003cd07e35f1589f03f6e0a9dd29b03ccb3707582a1461a8cec1036
"1001","100101","全難易度合計取得10000分","1","0","0","10000","100101","1001"
"1001","100102","全難易度合計取得30000分","1","0","0","30000","100102","1001"
"1001","100103","全難易度合計取得50000分","1","0","0","50000","100103","1001"
"1001","100104","全難易度合計取得70000分","1","0","0","70000","100104","1001"
"1001","100105","全難易度合計取得90000分","1","0","1","90000","100105","1001"
"1001","100106","全難易度合計取得105000分","1","0","1","105000","100106","1001"
"1001","100107","全難易度合計取得120000分","1","0","1","120000","100107","1001"
"1001","100108","全難易度合計取得135000分","1","0","1","135000","100108","1001"
"1001","100109","在NORMAL1難易度戰鬥1次","1","1","2","0","100109","1002"
"1001","100110","在NORMAL2難易度戰鬥1次","1","1","2","0","100110","1003"
"1001","100111","在NORMAL3難易度戰鬥1次","1","1","2","0","100111","1004"
"1001","100112","在NORMAL難易度取得10000分","1","1","3","10000","100112","1001"
"1001","100113","在NORMAL難易度取得20000分","1","1","3","20000","100113","1001"
"1001","100114","在NORMAL難易度取得30000分","1","1","3","30000","100114","1001"
"1001","100115","在HARD1難易度戰鬥1次","1","2","4","0","100115","1002"
"1001","100116","在HARD2難易度戰鬥1次","1","2","4","0","100116","1003"
"1001","100117","在HARD3難易度戰鬥1次","1","2","4","0","100117","1004"
"1001","100118","在HARD難易度取得15000分","1","2","5","15000","100118","1001"
"1001","100119","在HARD難易度取得30000分","1","2","5","30000","100119","1001"
"1001","100120","在HARD難易度取得45000分","1","2","5","45000","100120","1001"
"1001","100121","在EXTRA1難易度戰鬥1次","1","3","6","0","100121","1002"
"1001","100122","在EXTRA2難易度戰鬥1次","1","3","6","0","100122","1003"
"1001","100123","在EXTRA3難易度戰鬥1次","1","3","6","0","100123","1004"
"1001","100124","在EXTRA難易度取得20000分","1","3","7","20000","100124","1001"
"1001","100125","在EXTRA難易度取得40000分","1","3","7","40000","100125","1001"
"1001","100126","在EXTRA難易度取得60000分","1","3","7","60000","100126","1001"
"1002","100201","全難易度合計取得10000分","1","0","0","10000","100201","1001"
"1002","100202","全難易度合計取得30000分","1","0","0","30000","100202","1001"
"1002","100203","全難易度合計取得50000分","1","0","0","50000","100203","1001"
"1002","100204","全難易度合計取得70000分","1","0","0","70000","100204","1001"
"1002","100205","全難易度合計取得90000分","1","0","1","90000","100205","1001"
"1002","100206","全難易度合計取得105000分","1","0","1","105000","100206","1001"
"1002","100207","全難易度合計取得120000分","1","0","1","120000","100207","1001"
