62de7c6bea2c96dff82b28ce37ecf614b65bcf921f2e12023e8fc6d3727dc78e,39419afa2a15a30f381d490b554987b5bd7439849b015844bb7943b28805b785,8cfe427e58383c11be58da0cd0fc8cc56e71e27455bcc2d0f34cab544812cdca,64550b16e68bd634591c3bb39d9b72e28c487a1aa5ea65d61b0639d05492ca19,4b85abd3b186a3afe7325ef5e8cf6646ea815c2e86b512b706947808e269cb5e,b5e8cac9b820aafd51e9b009014affbb66ea40e54b5db34f316b20bab084438f,17967ef2fb6bf3d691b47ebf358600c129b03d0e22d568fc92afb2bfca281d30,b4f9b6980e8b7c59822212a07b6a606fa711db453dcb0e99fb2ebb756f28fca7,6ad8ab3482fa1057117a9a52376bdaa1391367ea6234022a2acb77b10ab77f3d,bdad567705f50f22c5f681e4c0262dfa2856df4201a3348f4bb83fac22176620,2dc32768442e5717a16f0676d2fb21f08dbe0a9b509d5dbe96aa710093befb93
"25021","2","10","8","31","25013","1","283001001","2","91002","8"
"25021","2","10","8","31","25013","2","283001002","2","91002","8"
"25021","2","10","8","32","25013","3","283001003","2","91002","8"
"25021","2","10","8","32","25013","4","283001004","2","91002","8"
"25021","2","10","8","33","25013","5","283001005","2","91002","8"
"25021","2","10","9","33","25013","6","283001006","2","91002","8"
"25021","2","10","9","34","25013","7","283001007","2","91002","8"
"25021","2","10","9","35","25013","8","283001008","2","91002","8"
"25021","2","10","9","35","25013","9","283001009","2","91002","8"
"25021","2","30","10","37","25013","10","283001010","2","91002","8"
"25021","2","10","10","41","25013","11","283001011","2","91002","8"
"25021","2","10","11","43","25013","12","283001012","2","91002","8"
"25021","2","10","11","46","25013","13","283001013","2","91002","8"
"25021","2","10","12","48","25013","14","283001014","2","91002","8"
"25021","2","10","12","50","25013","15","283001015","2","91002","8"
"25021","2","10","13","53","25013","16","283001016","2","91002","8"
"25021","2","10","14","55","25013","17","283001017","2","91002","8"
"25021","2","10","14","58","25013","18","283001018","2","91002","8"
"25021","2","10","15","60","25013","19","283001019","2","91002","8"
"25021","2","30","15","62","25013","20","283001020","2","91002","8"
"25021","2","10","16","68","25013","21","283001021","2","91002","8"
"25021","2","10","16","70","25013","22","283001022","2","91002","8"
"25021","2","10","16","72","25013","23","283001023","2","91002","8"
"25021","2","10","17","75","25013","24","283001024","2","91002","8"
"25021","2","10","18","77","25013","25","283001025","2","91002","8"
"25021","2","10","18","79","25013","26","283001026","2","91002","8"
"25021","2","10","19","82","25013","27","283001027","2","91002","8"
"25021","2","10","19","84","25013","28","283001028","2","91002","8"
"25021","2","10","19","86","25013","29","283001029","2","91002","8"
"25021","2","30","20","89","25013","30","283001030","2","91002","8"
"25021","2","10","20","94","25013","31","283001031","2","91002","8"
"25021","2","10","21","96","25013","32","283001032","2","91002","8"
"25021","2","10","21","99","25013","33","283001033","2","91002","8"
"25021","2","10","22","101","25013","34","283001034","2","91002","8"
"25021","2","10","22","103","25013","35","283001035","2","91002","8"
"25021","2","10","23","106","25013","36","283001036","2","91002","8"
"25021","2","10","23","108","25013","37","283001037","2","91002","8"
"25021","2","10","24","111","25013","38","283001038","2","91002","8"
"25021","2","10","25","113","25013","39","283001039","2","91002","8"
"25021","2","30","25","115","25013","40","283001040","2","91002","8"
"25021","2","10","26","121","25013","41","283001041","2","91002","8"
"25021","2","10","27","123","25013","42","283001042","2","91002","8"
"25021","2","10","28","125","25013","43","283001043","2","91002","8"
"25021","2","10","28","128","25013","44","283001044","2","91002","8"
"25021","2","10","29","130","25013","45","283001045","2","91002","8"
"25021","2","10","30","132","25013","46","283001046","2","91002","8"
"25021","2","10","30","135","25013","47","283001047","2","91002","8"
"25021","2","10","31","137","25013","48","283001048","2","91002","8"
"25021","2","10","31","139","25013","49","283001049","2","91002","8"
"25021","2","30","31","142","25013","50","283001050","2","91002","8"
"25021","2","10","32","144","25013","51","283001051","2","91002","8"
"25021","2","10","32","146","25013","52","283001052","2","91002","8"
"25021","2","10","32","149","25013","53","283001053","2","91002","8"
"25021","2","10","33","152","25013","54","283001054","2","91002","8"
"25021","2","10","33","155","25013","55","283001055","2","91002","8"
"25021","2","10","33","157","25013","56","283001056","2","91002","8"
"25021","2","10","34","160","25013","57","283001057","2","91002","8"
"25021","2","10","34","163","25013","58","283001058","2","91002","8"
"25021","2","10","34","166","25013","59","283001059","2","91002","8"
"25021","2","30","35","169","25013","60","283001060","2","91002","8"
"25021","2","10","35","171","25013","61","283001061","2","91002","8"
"25021","2","10","35","174","25013","62","283001062","2","91002","8"
"25021","2","10","36","177","25013","63","283001063","2","91002","8"
"25021","2","10","36","180","25013","64","283001064","2","91002","8"
"25021","2","10","36","182","25013","65","283001065","2","91002","8"
"25021","2","10","37","185","25013","66","283001066","2","91002","8"
"25021","2","10","37","187","25013","67","283001067","2","91002","8"
"25021","2","10","37","190","25013","68","283001068","2","91002","8"
"25021","2","10","38","193","25013","69","283001069","2","91002","8"
"25021","2","30","38","196","25013","70","283001070","2","91002","8"
