f4cc52cd44b30f341bea81e518d793b6340a83ec5560f3e2dc19a1fbcbbb45f7,9ea8d10eaef4ea08cfe74c6b7a93c1f1e7d1ab5295f0828b7d3f204719aa38a0,7c769fbeeebc81cd3ae3487d85013c0cfe2e4f9e5cb166be1888449ff5654430,47bc4f160538255f2de9894bc8b67d9f34eb124948abb3247b51e78032973de4,7650ab8a11e92468e9043b966bd394a7dd2aa767cb9a2cd89bffdfe09a726926,165457fa17de1cfa941c454ba7ad220e3896f5f221ded51ca9ee193c64584cab
"15","11001001","1001","1","99001001","1"
"8","91002","0","10","99001001","2"
"15","11001002","1001","1","99001002","3"
"8","91002","0","10","99001002","4"
"15","11001003","1002","1","99001003","5"
"8","91002","0","20","99001003","6"
"15","11001004","1003","1","99001004","7"
"8","91002","0","30","99001004","8"
"15","11001005","1001","1","99001005","9"
"8","91002","0","10","99001005","10"
"15","11001006","1001","1","99001006","11"
"8","91002","0","10","99001006","12"
"15","11001007","1002","1","99001007","13"
"8","91002","0","20","99001007","14"
"15","11001008","1003","1","99001008","15"
"8","91002","0","30","99001008","16"
"15","11001009","1001","1","99001009","17"
"8","91002","0","10","99001009","18"
"15","11001010","1001","1","99001010","19"
"8","91002","0","10","99001010","20"
"15","11001011","1002","1","99001011","21"
"8","91002","0","20","99001011","22"
"15","11001012","1003","1","99001012","23"
"8","91002","0","30","99001012","24"
"15","11001017","1001","1","99001017","33"
"8","91002","0","30","99001017","34"
"15","11001018","1001","1","99001018","35"
"8","91002","0","30","99001018","36"
"15","11001019","1002","1","99001019","37"
"8","91002","0","30","99001019","38"
"15","11001020","1003","1","99001020","39"
"8","91002","0","30","99001020","40"
"15","11001021","1001","0","99001021","41"
"15","11001022","1002","0","99001022","42"
"15","11001023","1001","1","99001023","43"
"8","91002","0","30","99001023","44"
"15","11001024","1001","1","99001024","45"
"8","91002","0","30","99001024","46"
"15","11001025","1002","1","99001025","47"
"8","91002","0","30","99001025","48"
"15","11001026","1003","1","99001026","49"
"8","91002","0","30","99001026","50"
"15","11001027","1001","1","99001027","51"
"8","91002","0","30","99001027","52"
"15","11001028","1001","1","99001028","53"
"8","91002","0","30","99001028","54"
"15","11001029","1002","1","99001029","55"
"8","91002","0","30","99001029","56"
"15","11001030","1003","1","99001030","57"
"8","91002","0","30","99001030","58"
"15","11001031","1001","1","99001031","59"
"8","91002","0","30","99001031","60"
"15","11001032","1001","1","99001032","61"
"8","91002","0","30","99001032","62"
"15","11001033","1002","1","99001033","63"
"8","91002","0","30","99001033","64"
"15","11001034","1003","1","99001034","65"
"8","91002","0","30","99001034","66"
"15","11001039","1001","0","99001039","75"
"15","11001040","1002","0","99001040","76"
"15","11001041","1003","0","99001041","77"
"15","11001042","1001","1","99001042","78"
"8","91002","0","30","99001042","79"
"15","11001043","1001","1","99001043","80"
"8","91002","0","30","99001043","81"
"15","11001044","1002","1","99001044","82"
"8","91002","0","30","99001044","83"
"15","11001045","1003","1","99001045","84"
"8","91002","0","30","99001045","85"
"15","11001046","1001","1","99001046","86"
"15","11001050","1001","1","99001046","87"
"8","91002","0","30","99001046","88"
"15","11001047","1001","1","99001047","89"
"8","91002","0","30","99001047","90"
