2f4042a00e4847701c4ce58cf52a0e143e1ccf9d4adc1cc992c8a23716ef8bb9,ef7d4deb237ebde5422df20b803abbca13492f5d8933e8d763497e6219a66a55,371e9a1f2e5ea1db833acb50c943a90f0bae037a8a223970f3b2fae0df918236,f137c22973ae52efd1dba6358120910f624bf864a0e6487b7d3eac9d77fda9fb,08eda328e778b775c990110b0288e01ddac9ab34eabc1f85fda001b25c4cb875,ed0ebff031d4a360af2c85ec311d2f454bbc0670f638605d08ed8df910f5d542,574c562990b7dadb9c0687ec5f8838ce500628c964f60eab00b30d1916f712ff,336a8f30cdcee1fdd1bfdefb75c14f1a356ba0e2f9908545fda07859999807f3,548346b31393e40c4cbf22ca2c6fa4baf63e0a39d83aeb3fc083a63fe72ecd51
"1","22","20","15","7","10701","1","53002","15"
"1","22","22","14","7","10702","2","53002","14"
"2","22","24","13","7","10703","3","53002","13"
"2","22","26","12","7","10704","4","53002","12"
"3","22","28","11","7","10705","5","53002","11"
"3","22","30","10","7","10706","6","53002","10"
"4","22","32","9","7","10707","7","53002","9"
"4","22","34","8","7","10708","8","53002","8"
"5","22","36","0","7","10709","9","53002","7"
"1","22","20","15","8","10801","1","53002","15"
"1","22","22","14","8","10802","2","53002","14"
"2","22","24","13","8","10803","3","53002","13"
"2","22","26","12","8","10804","4","53002","12"
"3","22","28","11","8","10805","5","53002","11"
"3","22","30","10","8","10806","6","53002","10"
"4","22","32","9","8","10807","7","53002","9"
"4","22","34","8","8","10808","8","53002","8"
"5","22","36","0","8","10809","9","53002","7"
"1","22","20","15","9","10901","1","53002","15"
"1","22","22","14","9","10902","2","53002","14"
"2","22","24","13","9","10903","3","53002","13"
"2","22","26","12","9","10904","4","53002","12"
"3","22","28","11","9","10905","5","53002","11"
"3","22","30","10","9","10906","6","53002","10"
"4","22","32","9","9","10907","7","53002","9"
"4","22","34","8","9","10908","8","53002","8"
"5","22","36","0","9","10909","9","53002","7"
