d566bb4500faa6fcf7224bd89f69ab88b8a46df066dd19f46d71d16026c630b0,d4a5f59b53887abe6fd0fff459908b5a8b5da6c81f7f43b8d87cee47a2f3793e,874d34cdcee51922b5b1ed23af85b475439b8e2dfb6cdc43d2b0f4366930ac16,b5ffb2c4c535c825e7d232c967fdeecec3a0ee5a62216f894046012538574adc,e25ec36b57c01507fe7c0d2901795df5608b1fe97dbd67c086fca413548d0159,7e67f92dbaa8422956799192546337f0e32e0cd2797aad655237ccb0699464f9,1cc0104990e66874b2d4aa72afa032a9d7f6fec7a74a36159207aa00a865f45a
"2500","取得累積分數2500分","12","50000","94002","1","5126700"
"5000","取得累積分數5000分","12","50000","94002","1","0"
"7500","取得累積分數7500分","12","50000","94002","1","0"
"10000","取得累積分數10000分","7","1","2839","1","5126701"
"12500","取得累積分數12500分","12","80000","94002","1","0"
"15000","取得累積分數15000分","12","80000","94002","1","0"
"17500","取得累積分數17500分","12","80000","94002","1","0"
"20000","取得累積分數20000分","8","25","91002","1","5126702"
"22500","取得累積分數22500分","12","100000","94002","1","0"
"25000","取得累積分數25000分","12","100000","94002","1","0"
"27500","取得累積分數27500分","8","100","91002","1","0"
"30000","取得累積分數30000分","15","1","11001262","1","5126703"
"2500","取得累積分數2500分","12","50000","94002","2","5126710"
"5000","取得累積分數5000分","12","50000","94002","2","0"
"7500","取得累積分數7500分","12","50000","94002","2","0"
"10000","取得累積分數10000分","7","1","2840","2","5126711"
"12500","取得累積分數12500分","12","80000","94002","2","0"
"15000","取得累積分數15000分","12","80000","94002","2","0"
"17500","取得累積分數17500分","12","80000","94002","2","0"
"20000","取得累積分數20000分","8","25","91002","2","5126712"
"22500","取得累積分數22500分","12","100000","94002","2","0"
"25000","取得累積分數25000分","12","100000","94002","2","0"
"27500","取得累積分數27500分","8","100","91002","2","0"
"30000","取得累積分數30000分","15","1","11001263","2","5126713"
