acb9de0e02588e0f7a08ae1b95ce8b323b3b1ebadbcee830e5fb095af668361a,aa7f456fe5293c20987dcde06d709c3263ecc70363423a2b26b3d62d7343af29,c5a730cdf709f5a50f69b4e84a4a55bb21a61e6d9327057165b62f0e22609deb,78b4bfc05285f51e2067b4a98bf4ccc55a84716293b918975a73715cf24a36a2,d8c592837d0ddf57bc3f2a31283252c6f6de1c05357fc57d6ee202387fc62f4d,780ab3d78c6643e095bc34079dde3b853cd3b79f91520465df0e1c5056d8a0fd,04fa4291ed72918c6203ef227655c24cd585c22227e7e5f0ec764fc3b39cde26,8c3604657e6a5fd1ef6c7bd4997c649da9650124a3f40ee5c96ab92c714d0812,f9cd87deaa8da60f0d6c1e6c589c2ae35b692262d75374598f021bc7cb9eb047,243332d3b7c1d1ff45522d0e6a6568b4e77cab0994ccb2d96b5e5af59ec19c80,a982874c43df2fdb900ad92c45001c4faafe4ebe729408c7ca305254bf5d07b3,025e62531c8494a7cd31b73dfdbc1b202e8265af2f7c30db5bc17d3b30525d74
"0","0.8","0","1","1011611501","0","0","10116115","4","0","0","1"
"vo_won","0","0","2","1011611502","0","vo_won_10116115_01","10116115","2","0","0","0"
"0","0","0","3","1011611503","230","0","10116115","1","2.68","1","0"
"0","3.17","0","4","1011611504","0","0","10116115","4","0","0","1"
"0","0","230","5","1011611505","420","0","10116115","1","2","1","0"
"0","2.03","0","6","1011611506","0","0","10116115","4","0","0","1"
"0","0","0","7","1011611507","140","0","10116115","1","1.51","2","0"
"0","2","0","8","1011611508","0","0","10116115","4","0","0","1"
"0","0","140","9","1011611509","275","0","10116115","1","1.92","2","0"
"0","2.42","0","10","1011611510","0","0","10116115","4","0","0","1"
"0","0","275","11","1011611511","430","0","10116115","1","1.09","2","0"
"0","1.09","0","12","1011611512","0","0","10116115","4","0","0","1"
"0","0","0","13","1011611513","230","0","10116115","1","1.88","3","0"
"0","2.47","0","14","1011611514","0","0","10116115","4","0","0","1"
"0","0","230","15","1011611515","430","0","10116115","1","1.88","3","0"
"0","1.88","0","16","1011611516","0","0","10116115","4","0","0","1"
"0","0","0","17","1011611517","52","0","10116115","1","0.588999999999999","4","0"
"0","0.965999999999999","0","18","1011611518","0","0","10116115","4","0","0","1"
"0","0","52","19","1011611519","400","0","10116115","1","1.423","4","0"
"0","2.673","0","20","1011611520","0","0","10116115","4","0","0","1"
"vo_won","0","0","21","1011611521","0","vo_won_10116115_02","10116115","2","0","0","0"
"0","0","0","22","1011611522","340","0","10116115","1","1.699","5","0"
"0","2.495","0","23","1011611523","0","0","10116115","4","0","0","1"
"0","0","340","24","1011611524","450","0","10116115","1","0.236","5","0"
"0","0.4","0","25","1011611525","0","0","10116115","4","0","0","1"
"0","0","0","26","1011611526","120","0","10116115","1","1.4","6","0"
"0","2","0","27","1011611527","0","0","10116115","4","0","0","1"
"0","0","120","28","1011611528","400","0","10116115","1","2.853","6","0"
"0","4.428","0","29","1011611529","0","0","10116115","4","0","0","1"
"vo_won","0","0","30","1011611530","0","vo_won_10116115_03","10116115","2","0","0","0"
"0","0","0","31","1011611531","140","0","10116115","1","1.261","7","0"
"0","1.715","0","32","1011611532","0","0","10116115","4","0","0","1"
"0","0","140","33","1011611533","430","0","10116115","1","2.245","7","0"
"0","2.759","0","34","1011611534","0","0","10116115","4","0","0","1"
"0","0","0","35","1011611535","450","0","10116115","1","3.212","8","0"
"0","3.212","0","36","1011611536","0","0","10116115","4","0","0","1"
"0","0","450","37","1011611537","450","0","10116115","1","0.499","8","0"
"0","2.042","0","38","1011611538","0","0","10116115","4","0","0","1"
"vo_won","0","0","39","1011611539","0","vo_won_10116115_04","10116115","2","0","0","0"
"0","0","0","40","1011611540","77","0","10116115","1","0.717","9","0"
"0","1.491","0","41","1011611541","0","0","10116115","4","0","0","1"
"0","0","77","42","1011611542","363","0","10116115","1","2.868","9","0"
"0","3.897","0","43","1011611543","0","0","10116115","4","0","0","1"
"vo_won","0","0","44","1011611544","0","vo_won_10116115_05","10116115","2","0","0","0"
"0","0","363","45","1011611545","423","0","10116115","1","0.179","9","0"
"0","0.179","0","46","1011611546","0","0","10116115","4","0","0","1"
"0","0","0","47","1011611547","450","0","10116115","1","1.979","10","0"
"0","2.727","0","48","1011611548","0","0","10116115","4","0","0","1"
"0","0","450","49","1011611549","450","0","10116115","1","2.432","10","0"
