499fa4b82fdf2528fc2cecfa6ab4008910fc6f0f416a801bb7040eaa666c7d46,9f964895ffd4275614ad5467ef449d73e61f31116fc25518fc58afba08173e27,9c2c1afcba4173c9ba07c7fddf3ed02ecf1a7b645e514abc4d05b22fd239fc6b,0c3a578d27359debf216789119732d53dd46b004cb0396cd0afc53d4f28f1d2d
"111","0","700","50"
"113","0","700","50"
"131","0","800","50"
"211","0","700","50"
"213","0","700","50"
"214","0","700","50"
"231","0","800","50"
"311","0","700","50"
"312","-25","460","50"
"313","0","700","50"
"314","0","700","50"
"331","0","700","50"
"411","0","700","50"
"412","0","700","50"
"413","0","700","50"
"414","0","600","0"
"415","0","460","50"
"416","0","460","50"
"417","0","700","50"
"418","0","700","50"
"419","0","700","50"
"421","0","700","50"
"422","0","700","50"
"511","30","700","50"
"512","30","700","50"
"611","100","700","50"
"711","100","700","50"
"712","0","800","50"
"713","0","800","50"
"714","0","800","50"
"715","0","800","50"
"716","0","800","50"
"717","100","700","50"
"718","100","700","50"
"719","-195","800","50"
"811","50","500","50"
"812","0","1200","50"
"813","0","800","50"
"814","0","800","60"
"815","0","800","60"
"816","50","500","50"
"911","-65","600","50"
"912","0","1200","50"
"913","0","800","50"
"914","0","800","50"
"915","-40","980","55"
"916","-40","980","55"
"917","-65","600","50"
"1011","0","800","50"
"1012","0","800","50"
"1013","0","800","50"
"1031","0","800","50"
"1111","0","800","50"
"1112","0","800","50"
"1131","0","800","50"
"1211","-60","590","50"
"1212","0","460","50"
"1213","0","460","50"
"1214","0","460","50"
"1215","-15","600","50"
"1216","-60","590","50"
"1231","0","800","50"
"1331","-50","700","50"
"1411","0","800","50"
"1412","0","800","50"
"1413","0","800","50"
"1414","0","800","50"
"1421","0","800","50"
"1511","100","700","50"
"1512","100","700","50"
"1514","100","700","50"
"1515","100","700","50"
"1516","100","700","50"
"1521","100","700","50"
"1611","-50","700","150"
"1612","-50","700","150"
"1613","-50","700","150"
"1614","0","800","50"
"1615","-50","700","150"
"1711","0","800","50"
"1811","0","800","50"
"1911","0","800","50"
"2011","0","800","50"
"2111","0","800","50"
"2211","0","800","50"
"2311","0","800","50"
"2411","0","800","50"
"2415","0","800","50"
"2511","15","970","15"
"2512","0","800","50"
"2513","0","1100","20"
"2514","0","1100","20"
"2515","0","1010","15"
"2516","0","1010","15"
"2611","0","455","0"
"2612","0","800","50"
"2711","-45","525","50"
"2712","-45","525","50"
"2713","0","800","50"
"2811","-30","1190","125"
"2812","-30","1190","125"
"2911","0","460","0"
"2912","0","800","50"
"2913","0","800","50"
"2914","0","800","50"
"2915","0","800","50"
"2931","0","600","50"
"3011","0","460","0"
"3012","0","800","50"
"3013","0","800","50"
"3031","0","600","50"
"3111","0","460","0"
"3112","0","800","50"
"3113","0","800","50"
"3114","0","800","50"
"3131","0","600","50"
"3211","-20","460","0"
"3311","-40","600","50"
"3312","-40","600","50"
"3313","-40","600","50"
"3411","-30","460","50"
"3511","-60","700","50"
"3512","0","800","50"
"3911","-30","800","50"
"4011","0","800","30"
"4111","0","800","30"
"4211","0","600","50"
"4311","0","800","50"
"4312","0","800","50"
"4411","0","800","50"
"4511","10","700","60"
"4512","10","700","60"
"4513","10","700","60"
"4611","0","460","50"
"4711","-30","650","70"
"4811","0","620","70"
"4911","0","800","50"
"5011","0","800","50"
"5012","0","800","50"
"5013","0","800","50"
"5111","0","800","50"
"5112","0","800","50"
"5211","0","800","50"
"5212","0","800","50"
"5413","0","600","50"
"5511","0","800","50"
"5512","0","800","50"
"5611","0","700","50"
"5612","0","800","50"
"5613","-60","590","50"
"5614","0","460","50"
"5615","0","700","50"
"5616","0","700","50"
"5711","0","800","50"
"5712","0","800","50"
