0f4e3c20520c68d6d51b1e5fcbfe040a5e499872f070ec8e836366394af29f23,aa88030074c0ae03a6c03a86da14e7216242e8b9d00867b2192ec782f79303a0,8e6722ca5195383681a02beb61053039ae81ca3d4550da878666dee9c668a9f4,632b151cdf19b77cf9c4de3fa55c7efa6b97c4225c5ac90dbe3a86e0c0e6224a,3c8d53eee96a1daff7877ef84069571a7776c2974bf056ff9e56f5c427391302,389fe261e44e2fe9fc76e4c4bd15b4cd8992d142e6ed5f63b75d7fd52afadbf3,23387ae50978e62cee919a95e95c40f1cc465b073d7e2de421a181cafd605649,ac2a7fe23559e23772f763c4ce8d0a05f4e2f26a88b2f96d1bf3fad84a955190,1bda5a8fbf780639bc869e739e443c73d67f003c580f733390b4786931253a0d,006730a3b3437a743f6622370809e9684f6c27c67d15a74945873d60e84869b3,9c4dd305f839b9689fb472fdff4fb6c6c8bfcc9f2a4235e2ed685dcff1439198
"0","5","101001","cgg_idle_normal","100","101","160","1","-230","-420","1"
"1","1","101002","cgg_idle_def","100","101","1.6","1","-230","375","105811"
"1","1","101003","cgg_idle_def","101","101","1.6","1","-230","490","106011"
"0","6","101004","","1","101","0.1","1","1","1","1"
"0","6","101005","","1","101","0.1","105811","1","1","1"
"0","6","101006","","1","101","0.1","106011","1","1","1"
"","93","101007","","","101","","0.2","","","0"
"","21","101008","","0","101","","vo_minigame_1007","","0","vo_minigame_1007_top_talk_1_001"
"0","11","101009","0","4","101","0","105811","0","0","妳看，小凱留♪\n有好多慈樂之音的\n周邊喔☆"
"","3","101010","","1","101","0.2","1","","","cgg_idle_surprise1"
"0","3","101011","","0","101","0.2","105811","1","cgg_talk_surprise_kira","cgg_surprise_kira"
"","93","101012","","","101","","2.1","","","0"
"","3","101013","","1","101","0.2","1","","","cgg_idle_surprise3"
"","3","101014","","1","101","0.2","105811","","","cgg_talk_joy1"
"","91","101015","","","101","","101009","","",""
"","3","101016","","1","101","0.2","105811","","","cgg_idle_def"
"","21","101017","","0","101","","vo_minigame_1007","","0","vo_minigame_1007_top_talk_1_002"
"0","11","101018","0","5","101","0","106011","0","0","有這麼多啊……\n這種東西會讓人\n不由自主地\n想全部收齊呢。"
"","3","101019","","1","101","0.2","1","","","cgg_idle_reaction1"
"","3","101020","","1","101","0.2","106011","","","cgg_talk_surprise1"
"","93","101021","","","101","","2.1","","","0"
"","3","101022","","1","101","0.2","1","","","cgg_idle_nod"
"","3","101023","","1","101","0.2","106011","","","cgg_talk_bitter"
"","91","101024","","","101","","101018","","",""
"","93","101025","","","101","","0.5","","","0"
"","3","101026","","1","101","0.2","1","","","cgg_idle_normal"
"","3","101027","","1","101","0.2","106011","","","cgg_idle_def"
"","3","101028","","1","101","0.2","105811","","","cgg_idle_joy2"
"","12","101029","","1.4","101","0.2","105811","","","10"
"","93","101030","","","101","","3","","","0"
"","3","101031","","1","101","0.2","105811","","","cgg_idle_def"
"","3","101032","","1","101","0.2","106011","","","cgg_talk_surprise_dere"
"","12","101033","","1.4","101","0.2","106011","","","8"
"","93","101034","","","101","","3","","","0"
"","3","101035","","1","101","0.2","106011","","","cgg_idle_def"
"0","3","101036","","0","101","0.2","1","1","cgg_idle_surprise1","cgg_surprise1"
"","12","101037","","1.4","101","0.2","1","","","4"
"","93","101038","","","101","","3","","","0"
"","101","101039","","","101","","101026","","","0"
"","22","101040","","","101","","0","","","0.5"
"0","6","101041","","1","101","0.1","1","0","1","1"
"0","6","101042","","1","101","0.1","105811","0","1","1"
"0","6","101043","","1","101","0.1","106011","0","1","1"
"","93","101044","","","101","","0.1","","","0"
"","3","101045","","1","101","0","1","","","cgg_idle_normal"
"","3","101046","","1","101","0","105811","","","cgg_idle_def"
"","3","101047","","1","101","0","106011","","","cgg_idle_def"
"0","5","102001","cgg_idle_normal","100","102","160","1","-230","-420","1"
"1","1","102002","cgg_idle_def","100","102","1.6","1","-230","375","105911"
"1","1","102003","cgg_idle_def","101","102","1.6","1","-230","490","106411"
"0","6","102004","","1","102","0.1","1","1","1","1"
"0","6","102005","","1","102","0.1","105911","1","1","1"
"0","6","102006","","1","102","0.1","106411","1","1","1"
"","93","102007","","","102","","0.2","","","0"
"","21","102008","","0","102","","vo_minigame_1007","","0","vo_minigame_1007_top_talk_2_003"
"0","11","102009","0","5","102","0","105911","0","0","我們抵達\n演唱會會場了，\n這裡非常大，\n非常開闊呢……"
"","3","102010","","1","102","0.2","1","","","cgg_idle_surprise1"
"","3","102011","","0","102","0.2","105911","","","cgg_lookup"
"","93","102012","","","102","","2.6","","","0"
"","3","102013","","1","102","0.2","105911","","","cgg_talk_wish_surprise"
"","91","102014","","","102","","102009","","",""
"","3","102015","","1","102","0.4","105911","","","cgg_idle_def"
"","21","102016","","0","102","","vo_minigame_1007","","0","vo_minigame_1007_top_talk_2_004"
"0","11","102017","0","4","102","0","106411","0","0","慈樂之音的演唱會……\n呵呵，真令人期待呢。\n啊，我可以\n去看一下周邊嗎？"
"","3","102018","","1","102","0.2","1","","","cgg_idle_reaction1"
"","3","102019","","1","102","0.2","106411","","","cgg_talk_surprise1"
"","93","102020","","","102","","2.6","","","0"
"0","3","102021","","0","102","0.2","1","1","cgg_idle_nod","cgg_talk_nod"
"","3","102022","","1","102","0.2","106411","","","cgg_talk_joy3_blink"
"","93","102023","","","102","","3.2","","","0"
"","3","102024","","1","102","0.2","1","","","cgg_idle_reaction5"
"","3","102025","","1","102","0.2","106411","","","cgg_talk_normal"
"","91","102026","","","102","","102017","","",""
"","93","102027","","","102","","0.5","","","0"
"","3","102028","","1","102","0.2","106411","","","cgg_idle_def"
"","3","102029","","1","102","0.2","1","","","cgg_idle_normal"
"","3","102030","","1","102","0.2","105911","","","cgg_talk_joy3_blink"
"","12","102031","","1.4","102","0.2","105911","","","10"
"","93","102032","","","102","","3","","","0"
"","3","102033","","1","102","0.2","105911","","","cgg_idle_def"
"","3","102034","","1","102","0.2","106411","","","cgg_talk_joy1"
"","12","102035","","1.4","102","0.2","106411","","","11"
"","93","102036","","","102","","3","","","0"
"","3","102037","","1","102","0.2","106411","","","cgg_idle_def"
"","3","102038","","1","102","0.2","1","","","cgg_idle_surprise3"
"","12","102039","","1.4","102","0.2","1","","","6"
"","93","102040","","","102","","3","","","0"
"","101","102041","","","102","","102029","","","0"
"","22","102042","","","102","","0","","","0.5"
"0","6","102043","","1","102","0.1","1","0","1","1"
"0","6","102044","","1","102","0.1","105911","0","1","1"
"0","6","102045","","1","102","0.1","106411","0","1","1"
"","93","102046","","","102","","0.1","","","0"
"","3","102047","","1","102","0","1","","","cgg_idle_normal"
"","3","102048","","1","102","0","105911","","","cgg_idle_def"
"","3","102049","","1","102","0","106411","","","cgg_idle_def"
"0","5","103001","cgg_idle_normal","100","103","160","1","-230","-420","1"
"1","1","103002","cgg_idle_def","100","103","1.6","1","-230","375","100211"
"1","1","103003","cgg_idle_def","101","103","1.6","1","-230","490","100111"
"0","6","103004","","1","103","0.1","1","1","1","1"
"0","6","103005","","1","103","0.1","100211","1","1","1"
"0","6","103006","","1","103","0.1","100111","1","1","1"
"","93","103007","","","103","","0.2","","","0"
"","21","103008","","0","103","","vo_minigame_1007","","0","vo_minigame_1007_top_talk_3_005"
"0","11","103009","0","5","103","0","100211","0","0","下次會抽到什麼呢？\n讓人很期待呢，\n日和。"
"","3","103010","","1","103","0.2","1","","","cgg_idle_surprise1"
"","3","103011","","1","103","0.2","100211","","","cgg_talk_wish"
"","93","103012","","","103","","2.4","","","0"
"","3","103013","","1","103","0.2","100211","","","cgg_talk_joy3"
"","91","103014","","","103","","103009","","",""
"","3","103015","","1","103","0.2","100211","","","cgg_idle_def"
"","21","103016","","0","103","","vo_minigame_1007","","0","vo_minigame_1007_top_talk_3_006"
"0","11","103017","0","4","103","0","100111","0","0","就是說啊，優衣！\n好～\n來盡情地抽吧～！\n轉轉轉～♪"
"","3","103018","","1","103","0.2","1","","","cgg_idle_reaction5"
"","3","103019","","1","103","0.2","100111","","","cgg_talk_joy1"
"","93","103020","","","103","","2.5","","","0"
"0","3","103021","","0","103","0.2","100111","1","cgg_idle_guts","cgg_talk_guts_NoBlink"
"","93","103022","","","103","","4","","","0"
"0.2","3","103023","","0","103","0.2","1","1","cgg_idle_reaction3","cgg_joy"
"","3","103024","","1","103","0.2","100111","","","cgg_talk_joy2"
"","91","103025","","","103","","103017","","",""
"","93","103026","","","103","","0.7","","","0"
"","3","103027","","1","103","0.2","1","","","cgg_idle_normal"
"","3","103028","","1","103","0.2","100111","","","cgg_idle_def"
"","3","103029","","1","103","0.2","100211","","","cgg_idle_bitter3"
"","12","103030","","1.4","103","0.2","100211","","","1"
"","93","103031","","","103","","3","","","0"
"","3","103032","","1","103","0.2","100211","","","cgg_idle_def"
"0.2","3","103033","","0","103","0.2","1","1","cgg_idle_reaction1","cgg_talk_handsup"
"","12","103034","","1.4","103","0.2","1","","","10"
"","93","103035","","","103","","3","","","0"
"","3","103036","","1","103","0.2","1","","","cgg_idle_normal"
"","3","103037","","1","103","0.2","100111","","","cgg_idle_joy3"
"","12","103038","","1.4","103","0.2","100111","","","6"
"","93","103039","","","103","","3","","","0"
"","101","103040","","","103","","103028","","","0"
"","22","103041","","","103","","0","","","0.5"
"0","6","103042","","1","103","0.1","1","0","1","1"
"0","6","103043","","1","103","0.1","100211","0","1","1"
"0","6","103044","","1","103","0.1","100111","0","1","1"
"","93","103045","","","103","","0.1","","","0"
"","3","103046","","1","103","0","1","","","cgg_idle_normal"
"","3","103047","","1","103","0","100211","","","cgg_idle_def"
"","3","103048","","1","103","0","100111","","","cgg_idle_def"
"0","5","104001","cgg_idle_normal","100","104","160","1","-230","-420","1"
"1","1","104002","cgg_idle_def","100","104","1.6","1","-230","375","100111"
"1","1","104003","cgg_idle_def","101","104","1.6","1","-230","490","100311"
"0","6","104004","","1","104","0.1","1","1","1","1"
"0","6","104005","","1","104","0.1","100111","1","1","1"
"0","6","104006","","1","104","0.1","100311","1","1","1"
"","93","104007","","","104","","0.2","","","0"
"","21","104008","","0","104","","vo_minigame_1007","","0","vo_minigame_1007_top_talk_4_007"
"0","11","104009","0","4","104","0","100111","0","0","那個那個～怜，\n我可以再抽一次嗎？"
"","3","104010","","1","104","0.2","1","","","cgg_idle_reaction2"
"","3","104011","","1","104","0.2","100111","","","cgg_talk_joy3_dere"
"","93","104012","","","104","","2.7","","","0"
"0","3","104013","","0","104","0.2","1","1","cgg_idle_guts2","cgg_talk_guts2"
"","3","104014","","1","104","0.2","100111","","","cgg_talk_normal_dere2"
"","91","104015","","","104","","104009","","",""
"","21","104016","","0","104","","vo_minigame_1007","","0","vo_minigame_1007_top_talk_4_008"
"0","11","104017","0","5","104","0","100311","0","0","不可以喔，日和。\n因為接下來輪到我了。\n……呵呵，這意外地\n令人著迷呢。"
"","3","104018","","1","104","0.2","1","","","cgg_idle_reaction2"
"0","3","104019","","0","104","0.2","100311","1","cgg_idle_def","cgg_No"
"","93","104020","","","104","","0.8","","","0"
"","3","104021","","1","104","0.2","100111","","","cgg_idle_surprise2"
"","93","104022","","","104","","0.9","","","0"
"0","3","104023","","0","104","0.2","1","1","cgg_idle_surprise2","cgg_surprise2"
"0","3","104024","","0","104","0.2","100311","1","cgg_idle_arm_crossed2","cgg_talk_arm_crossed2"
"","93","104025","","","104","","2.5","","","0"
"","3","104026","","1","104","0.2","100311","","","cgg_idle_bitter"
"","93","104027","","","104","","2","","","0"
"0","3","104028","","0","104","0.2","1","1","cgg_idle_nod","cgg_talk_nod"
"","91","104029","","","104","","104017","","",""
"","93","104030","","","104","","0.5","","","0"
"","3","104031","","1","104","0.2","100311","","","cgg_idle_def"
"","3","104032","","1","104","0.2","1","","","cgg_idle_normal"
"","3","104033","","1","104","0.2","100111","","","cgg_idle_anger"
"","12","104034","","1.4","104","0.2","100111","","","17"
"","93","104035","","","104","","3","","","0"
"","3","104036","","1","104","0.2","100111","","","cgg_idle_def"
"","3","104037","","1","104","0.2","100311","","","cgg_idle_bitter4"
"","12","104038","","1.4","104","0.2","100311","","","2"
"","93","104039","","","104","","3","","","0"
"","3","104040","","1","104","0.2","100311","","","cgg_idle_def"
"","3","104041","","1","104","0.2","1","","","cgg_idle_surprise2"
"","12","104042","","1.4","104","0.2","1","","","1"
"","93","104043","","","104","","3","","","0"
"","101","104044","","","104","","104032","","","0"
"","22","104045","","","104","","0","","","0.5"
"0","6","104046","","1","104","0.1","1","0","1","1"
"0","6","104047","","1","104","0.1","100111","0","1","1"
"0","6","104048","","1","104","0.1","100311","0","1","1"
"","93","104049","","","104","","0.1","","","0"
"","3","104050","","1","104","0","1","","","cgg_idle_normal"
"","3","104051","","1","104","0","100111","","","cgg_idle_def"
"","3","104052","","1","104","0","100311","","","cgg_idle_def"
"0","5","105001","cgg_idle_normal","100","105","160","1","-230","-420","1"
"1","1","105002","cgg_idle_def","100","105","1.6","1","-230","375","100211"
"1","1","105003","cgg_idle_def","101","105","1.6","1","-230","490","105811"
