ba7b12b8b68ae2ab30a7c162ab8d04f6604ddfdc2f9fcd3e56c4a38d45b00652,304c863b33347c7d92a043db05dd24706eaf5e1f1de0434eedcfc09fa4d1a4ec,18cabab40b77b17b4e9cbf3886eb0f8006c26a2bf4273178cf56ebf048bc1657,def50ff5d3dec2ca328b64efa992e9de068e0109a1c16e918d80ae3ff95027f0,51e09af691fd75d820eb6ecb42ca1bdd6b5847aa3ad1e524e92c6d354706b8c2,437bba9a2ef6240349a1a9283883e2c4e60bc8905af0f16ad3be1c7a4dc76b6a,ce1e1f749099bf37c7b499df1b19cac8b4ce8c7335b54e7b56a32c5103ba902f,bcfa56f572dda00da647840198b22a368f1b34baf09c1666284e3f9abd6358a2,6a17a92db3d4320c0935cb9acb874f4ce5394a1fbeb253efa6e3e7d87107a722,c152d6d1ca01e3f5525fea2b9a24fc728b1463052b80e5c3abade379454a3691,318d0e5f44452b613a6ee960a33678467594e5bb094a64661e6797f97016984d,d067a0638bc8daf215ba6ac491ce645eeed66c8ddab8fa958af2f575a70a59dc,a7e0678516989d28712e3bccc0998d1aedcaecb188e6704c8b25320096253055,f930b10af31369bf03b3c9ba99611ba2bf1c26c2c6519b144363bfdf87aaeb80,5a38960553731a3e326723f20a7a34806ef28f88dee2c2bd9b0e65fa8cfd9502
"110690103","0","0","0","0","0","0","0","1","0","101691001","101691011","0","0","0"
"110700103","0","0","0","0","0","0","0","1","0","101701001","101701011","0","0","0"
"110710103","0","0","0","0","0","0","0","1","0","101711001","101711011","0","0","0"
"110720103","0","0","0","0","0","0","0","1","0","101721001","101721011","0","0","0"
"110730103","0","0","0","0","0","0","0","1","0","101731001","101731011","0","0","0"
"110740103","0","0","0","0","0","0","0","1","0","101741001","101741011","0","0","0"
"610132007","0","0","0","0","0","0","0","1","0","102311001","610132504","16","0","61013201"
"610132008","0","0","0","0","0","0","0","1","0","102311002","610132504","16","0","61013201"
"610132009","0","0","0","0","0","0","0","1","0","102311003","610132504","16","0","61013201"
"610134007","0","0","0","0","0","0","0","1","0","102312001","610134504","16","0","61013401"
"610134008","0","0","0","0","0","0","0","1","0","102312002","610134504","16","0","61013401"
"610134009","0","0","0","0","0","0","0","1","0","102312003","610134504","16","0","61013401"
"610136004","0","0","0","0","0","0","0","1","0","102401001","610136404","16","0","61013601"
"610136005","0","0","0","0","0","0","0","1","0","102401002","610136405","16","0","61013601"
"610136006","0","0","0","0","0","0","0","1","0","102401003","610136406","16","0","61013601"
"610136007","0","0","0","0","0","0","0","1","0","102401004","610136504","16","0","61013601"
