c88385f90116cc9ba7defa20ff4de222c8556facb798ced0281609a98c85884e,234ab9e3cf6f41732cf9d9524b3aa423490fd3f46be8f34947f5d77e8f986129,8fe1fa80e705ab32fc91f7de56129c84ecb8401074904c5002b6f1c5cc23ed5a,b132ca735c2fa5993c777a86456f01f076a662af89f7155e127571c815525e27,cae5d107d7f8ac526656280d91efab45ab2d92e2c51de93276b5486f816a1501,3854586dab8443df794faac3a692f7e3edb0f18aba84cee5444dd30df557c6ac,8b815968aca243d9139fcbc3af2526e3ce88a59ca8b389d6f051b1bed9948dc2,516aad80270306594104f5fab1e380f1233d18217df5b08b53c16c49d85bfa53,b976bb35fcd1e86b36784c6d1193826589279c82ed31c4da4b5c441801919a3e,e39b386eab30c0ecd85387d3501c0f63edf6b59507db50f0c4055ddd3bee785d,a65e962b6d067beadf11ac20eebc68f7b3ffcc557b02c9ba6992633191e33ae3,8e6256ad3d59898e2691b0aa594b3be265c7f1f2a5eaa1fa253759d543f46f27,09535bd702deeb952794c910a74dbf58d80e8d1de0f4264d99a91f7ca740e26c,1d4ecd5241a8e3c84b7fc679a689ca52ad9dfd8b63f7a6f8be98cec5087b74df,50340825a6a71c899b52158b79241fc1cd0c02997b0a343ca5d6841cb313bf99,2865e63d74807b79fdfa901d8d767bf91d9247a1119cca61eac24f88f50b4f8c,32d858ab9b67bb71b93392240d0765e0830d03e7f921fb1e21a2db58b88d52dd,2f6307c4d3a820012058a7ace61df9d20e073bd4ef46a8b05a10221468c4cd00,613e7ebb8a0fb1b83561c53ce8fbfad72948046244ee9456c5eca2b14c1e06cd,bcb592a455ad8330a6a8738ee1b90350e057dfd5e8472cbba4847420358500d3,75459e81cc9ef40602a19095f346000fde6b9f40af6c5e8fdbcd370caff1451c,54400527141e32e15aa141c6e7d04d84ff29a47dd60f5ee06d39e8d00c9c3e1a,870b7b006fb633ffea4f4224723e5058783d44c61a524a3c6f4d2d6c2fd568ee,062519676a86cdb1b530712fae067638740def588a41b07aa3804d51e6b21057,00669f09e3cd6aee77aea602fbbe27e1cf7c397c97c44e55aacc34143943ed4d,28f83e413340c0b90d7f882e05ef8fb6e60d89cbb8c2d16605a398cde6228f47,9aecda0824a307dadf4e22651832f65688cb219a09787e208d6ce449c9bd1722
"3","","1","106901","","2","3","","4","","","4","0","","","129001","","","","","0","","2","192501","0","","1"
"2","","2","106901","","","2","","4","","","2","2","","","129001","","","","","","","","192501","0","","0"
"3","","3","106901","","1","4","","4","","","4","0","","","129001","3","","","2","0","0","2","192501","0","","1"
"1","","4","106901","","","2","","4","","","2","1","","","129001","","","","","","","","192501","0","","0"
"1","","5","106901","190901","","2","","4","","","2","1","","","129001","","","","","","","","192501","0","","0"
"1","","6","106901","192501","","2","","4","","","2","1","","","129001","","","","","","","","190901","0","","0"
"1","","7","106901","118301","","2","","4","","","2","1","","118401","129001","","","","","","","","","0","","0"
"2","","8","106901","118301","","2","","4","","","2","2","","118401","129001","","","","","","","","","0","","0"
"3","","9","106901","120401","2","3","","4","","","4","0","","120501","129001","","120601","","","0","","2","","0","","1"
"2","","10","106901","121701","","2","","4","","","2","2","","121801","129001","","","","","","","","","0","","0"
"2","","11","","124301","","2","","4","","","2","2","","124401","","","","","","","","","","0","","0"
"2","","12","","128101","","2","","4","","","2","2","","128201","","","","","","","","","","0","","0"
