3c992d4d74e8d62e0f5d3b16af54279cfa8aea7130e2fa36b9204286880ac67b,d72347cb87340c5a47ee787fd99bf75094eb1de24ce312a859beb9d4e9cfdf39,8bcc0d4090494f85bbdc70c6a6a39fe72a352dd948e3d1f5a15834615509e1a0,a2e9a828735c0a475f9d4876037e8d7f52f714f0504a9304c567ddd91db0a5ba,336a65036fa1f55a659ee1d12add7903c030519778afdad9e87132fb2c380458,e619dda5fbe98ea342a25f9ea128dd78397c790f18eb1acdd717c40a81d7970f
"1","1","2019/02/15 15:00:00","自動","","1"
"2","2","2019/02/15 15:00:00","預設","","2"
"3","3","2020/08/03 16:00:00","周年","","3"
"4","1","2020/04/20 12:00:00","粉紅色","","4"
"5","1","2020/04/20 12:00:00","紅色","","5"
"6","1","2020/04/20 12:00:00","黃色","","6"
"7","1","2020/04/20 12:00:00","綠色","","7"
"8","1","2020/04/20 12:00:00","淺藍色","","8"
"9","1","2020/04/20 12:00:00","藍色","","9"
"10","1","2020/04/20 12:00:00","紫色","","10"
"11","1","2020/04/20 12:00:00","灰色","","11"
