a2260023ba921b46ea37c631a09f33f8c43d08dc7fc673e9719ca53b5c9244e0,6406759b9d793842874e92e4ee3a818882c601cf96c764e1d098c1eed09e55ba,706413491bdc7593b2253e44e6fb6326d861b74aadd2ff69c2c08f0341767ee6,7831becc63b4fbaf0ca5a77eeec8478786434ffa9faa7f42f18c3ae0879f0c0d,e43bbdb6931fc38f423020d15a4398bc04648f63a6bbd05c4f9bdc5af144a16d,31571048bd9c03c5abb38336c38172724f79ec9e414b6ad7adb7694691977734,4d53a8589eeecd2922a870311b185c7da00babcb7f6e3c69df8695ebaeb17ae3,09a9d46d0eaf4140e2959f759a51a058016e484a3737853bbd81982fa92593b9,d7a29c60bfc08cc4c2e153bc9e9601aab42897ea3a1fe09e8937d1ee8ed1e621,44630c182a49435996fce771c3dcce24b787de73a606a0fd4ff0b8b5a4eed9f6,c436990e67de354addc49a4bfe0807aa97c119c5091ef33ba8a76e4bbca90c6b,94cf5d4d73400d5944a35983944a45f44da107263e2f709ee80feb9ebdd3178c,a1b275bc3a8ef3246d8dfe4e4bd7719e74dbd9111b87f8266e506a864e04c5c2,6ff850a1d297465441b3ad010b4956335cf2c62647c05b2841653408bc39cf5c,84c0f6807927690c288342ef794324dfde5292b1a95aac9f60b125c7e548a69b,04ed3803c070d54804663be8e2c8de0a51c266153133b2a3c21acb4e100b94bd,d8a1fa0f095f7397289fa1a74ccac6201c3a91b077a8e293c2fd175a7c3ac5e9,2fa4ffd58926bccde0acad5fe8e7995101ab43a50922c6c09518901f5eda9c17,cd65da23b5ac4f442738a83c8262c70d17bc6a39332a14de8e629dd00286be66,07e11aae912a4425b912d61149eb6ddfbe629b6d8882e8dfebb3aca3941e9f53,182f16dd548ea037eb4dcfe396a74a0c6694f8016c20678683c161faa03876c5,be472b40fa128baeac026447acb673bc95899421da4a1fb4d16446686162d3fb,16303b19164cb501be1dec1286e483a1a1fc44a418a0dcb6acb0d2540b2c2643,a28ad4f92abee13b71291570df33a2fc6aad7fd5fc6188a66c604a61e58abd76,674ec6ad1300ad929e474d8f6233120cd386b7bca116fa53bbcb4865b1c87880,b6846de94ef23fdad849ab1d1e21b91c0617957e8c7f0b1b5479169af076535f,8df1a0af6b45892c87ab0a2c4e932a95ca2f4e7da4846ebc975dc089f086beba,8bb281945f3d70e5db79f6a59fe95a5777536015144493a88ef72b01677494f2,01e75ea9a3197fb29597b340ea32810f4e70fa0a0c18eb74a839851b89025d78,35fdaba2b4fab0717afc1bcdb2ae9fdffbcef4711c426b9d2515aed8cd66beee,d3098b89975879eb26b385885f7d75ba5914b47e572431efd130a44e120b4f65,8eec5c39f991467a7037c37dac93005c2b548b01a734c713e439dea9989b5a7d,91b78c1a2cadb0e01a3598a8ac1b350d5620fd4f0a6740490d5f60ab7224d7bd,029aca253a4e83cfde60bf24c63b253e36d22aa5c1a5451da87d80e0b3237f02,6d1fe5f9743a70cb02700fbfa06462e21be8a8bdd9eee991705c499a1bd6fc7c,9d5d8c36d661948e3923f537cd22395559ddba7fd111eaa5ae4f3a4db22a8cc6,ac102dfb3823a46659efd2e60b5d08daa774015426df0ce8e1e135b3a9ddddb6,3f32434c287d4cf799cca97ab2043417d031a8fe1756636c2495d51c297571c6,286980f3c47d1c174c3130bb692e28c974de41e63a5e1910e70134cae62aea03,ad1311073e5b25e61021001448cdc2a4a37366d5edc6ed19559f6613c7e6a9e7,385061594e7b41bbac5c39bf4162a506f4d9e535f11deaaff8d1a22e423b10d0,25020c20fc05bd95761e5f6d87c4637bf73dabb1c69a27cdc31e0c23e7a316bd,4487f1e06905a1306f3c64bbefdfb8c3c195195bd8e08fa6a2c6b68c35b2fd28
"610001101","0","-50","bgm_M41","120","0","0","0","10001101","10001101","100014","100014","bgm_M41","bgm_M41","0","1","8","bgm_M41","塔爾格姆地區 1-1","8","8","0","0","0","2018/08/28 16:00:00","100015","0","1","2018/09/19 15:59:59","bgm_M41","100016","0","610001121","bgm_M41","1","0","0","10001","100020","90","0","0","-820"
"610001102","0","-140","bgm_M41","120","0","0","0","10001101","10001102","100014","100014","bgm_M41","bgm_M41","0","1","8","bgm_M41","塔爾格姆地區 1-2","8","8","0","0","0","2018/08/28 16:00:00","100015","0","1","2018/09/19 15:59:59","bgm_M41","100016","0","610001121","bgm_M41","2","0","0","10001","100020","90","0","0","-710"
"610001103","0","0","bgm_M41","120","0","0","0","10001101","10001103","100091","100091","bgm_M41","bgm_M41","0","1","8","bgm_M41","塔爾格姆地區 1-3","8","8","0","0","0","2018/08/28 16:00:00","100092","0","1","2018/09/19 15:59:59","bgm_M41","100093","0","610001121","bgm_M41","3","0","0","10001","100030","90","0","0","-620"
"610001104","0","-90","bgm_M41","120","0","0","0","10001101","10001104","100041","100041","bgm_M41","bgm_M41","0","1","8","bgm_M41","塔爾格姆地區 1-4","8","8","0","0","0","2018/08/28 16:00:00","100042","0","1","2018/09/19 15:59:59","bgm_M41","100043","0","610001121","bgm_M41","4","0","0","10001","100040","90","0","0","-500"
"610001105","0","45","bgm_M41","120","0","0","0","10001101","10001105","100091","100091","bgm_M41","bgm_M41","0","1","8","bgm_M41","塔爾格姆地區 1-5","8","8","0","0","0","2018/08/28 16:00:00","100092","0","1","2018/09/19 15:59:59","bgm_M41","100093","0","610001121","bgm_M41","5","0","0","10001","100030","90","0","0","-425"
"610001106","0","0","bgm_M41","135","0","0","0","10001101","10001106","100061","100061","bgm_M41","bgm_M41","0","1","9","bgm_M41","塔爾格姆地區 1-6","9","9","0","0","0","2018/08/28 16:00:00","100062","0","1","2018/09/19 15:59:59","bgm_M41","100063","0","610001121","bgm_M41","6","0","0","10001","100010","90","0","0","-280"
"610001107","0","-160","bgm_M41","135","0","0","0","10001101","10001107","100021","100021","bgm_M41","bgm_M41","0","1","9","bgm_M41","塔爾格姆地區 1-7","9","9","0","0","0","2018/08/28 16:00:00","100022","0","1","2018/09/19 15:59:59","bgm_M41","100023","0","610001122","bgm_M41","7","0","0","10001","100050","90","0","0","-220"
"610001108","0","-10","bgm_M41","135","0","0","0","10001101","10001108","100041","100041","bgm_M41","bgm_M41","0","1","9","bgm_M41","塔爾格姆地區 1-8","9","9","0","0","0","2018/08/28 16:00:00","100042","0","1","2018/09/19 15:59:59","bgm_M41","100043","0","610001121","bgm_M41","8","0","0","10001","100040","90","0","0","-100"
"610001109","0","30","bgm_M41","135","0","0","0","10001101","10001109","100014","100014","bgm_M41","bgm_M41","0","1","9","bgm_M41","塔爾格姆地區 1-9","9","9","0","0","0","2018/08/28 16:00:00","100015","0","1","2018/09/19 15:59:59","bgm_M41","100016","0","610001121","bgm_M41","9","0","0","10001","100020","90","0","0","30"
"610001110","0","-80","bgm_M41","135","0","0","0","10001101","10001110","100091","100091","bgm_M41","bgm_M41","0","1","9","bgm_M41","塔爾格姆地區 1-10","9","9","0","0","0","2018/08/28 16:00:00","100092","0","1","2018/09/19 15:59:59","bgm_M41","100093","0","610001121","bgm_M41","10","0","0","10001","100030","90","0","0","140"
"610001111","0","-20","bgm_M41","150","0","0","0","10001101","10001111","100101","100101","bgm_M41","bgm_M41","0","1","10","bgm_M41","塔爾格姆地區 1-11","10","10","0","0","0","2018/08/28 16:00:00","100102","0","1","2018/09/19 15:59:59","bgm_M41","100103","0","610001121","bgm_M41","11","0","0","10001","100070","90","0","0","260"
"610001112","0","-130","bgm_M41","150","0","0","0","10001101","10001112","100061","100061","bgm_M41","bgm_M41","0","1","10","bgm_M41","塔爾格姆地區 1-12","10","10","0","0","0","2018/08/28 16:00:00","100062","0","1","2018/09/19 15:59:59","bgm_M41","100063","0","610001121","bgm_M41","12","0","0","10001","100010","90","0","0","380"
"610001113","0","20","bgm_M41","150","0","0","0","10001101","10001113","100041","100041","bgm_M41","bgm_M41","0","1","10","bgm_M41","塔爾格姆地區 1-13","10","10","0","0","0","2018/08/28 16:00:00","100042","0","1","2018/09/19 15:59:59","bgm_M41","100043","0","610001121","bgm_M41","13","0","0","10001","100040","90","0","0","470"
"610001114","0","-120","bgm_M41","150","0","0","0","10001101","10001114","100091","100091","bgm_M41","bgm_M41","0","1","10","bgm_M41","塔爾格姆地區 1-14","10","10","0","0","0","2018/08/28 16:00:00","100092","0","1","2018/09/19 15:59:59","bgm_M41","100093","0","610001121","bgm_M41","14","0","0","10001","100030","90","0","0","570"
"610001115","0","-10","bgm_M41","150","0","0","0","10001101","10001115","100091","100091","bgm_M41","bgm_M41","0","1","10","bgm_M41","塔爾格姆地區 1-15","10","10","0","0","0","2018/08/28 16:00:00","100092","0","1","2018/09/19 15:59:59","bgm_M41","100093","0","610001123","bgm_M41","15","0","0","10001","100030","90","0","0","680"
"610001116","1","-40","bgm_M41","240","0","0","0","10001201","10001201","100367","100367","bgm_M41","bgm_M41","0","1","16","bgm_M41","塔爾格姆地區 1-1","16","16","0","31012","0","2018/08/28 16:00:00","100368","0","2","2018/09/19 15:59:59","bgm_M41","100369","0","610001121","bgm_M41","16","3","2","10001","100020","90","28","0","-450"
"610001117","1","-120","bgm_M41","240","0","0","0","10001201","10001202","100771","100771","bgm_M41","bgm_M41","0","1","16","bgm_M41","塔爾格姆地區 1-2","16","16","0","31038","0","2018/08/28 16:00:00","100772","0","2","2018/09/19 15:59:59","bgm_M41","100773","0","610001121","bgm_M41","17","3","2","10001","100060","90","28","0","-250"
"610001118","1","-20","bgm_M41","270","0","0","0","10001201","10001203","100451","100451","bgm_M41","bgm_M41","0","1","18","bgm_M41","塔爾格姆地區 1-3","18","18","0","31012","0","2018/08/28 16:00:00","100452","0","2","2018/09/19 15:59:59","bgm_M41","100453","0","610001121","bgm_M41","18","3","2","10001","100090","90","29","0","-50"
"610001119","1","70","bgm_M41","270","0","0","0","10001201","10001204","100731","100731","bgm_M41","bgm_M41","0","1","18","bgm_M41","塔爾格姆地區 1-4","18","18","0","31038","0","2018/08/28 16:00:00","100732","0","2","2018/09/19 15:59:59","bgm_M41","100733","0","610001121","bgm_M41","19","3","2","10001","100070","90","29","0","170"
"610001120","1","-120","bgm_M41","300","0","0","0","10001201","10001205","100381","100381","bgm_M41","bgm_M41","0","1","20","bgm_M41","塔爾格姆地區 1-5","20","20","0","31012","0","2018/08/28 16:00:00","100382","0","2","2018/09/19 15:59:59","bgm_M41","100383","0","610001121","bgm_M41","20","3","2","10001","100030","90","30","0","330"
"610002101","0","-120","bgm_M41","120","0","0","0","10002101","10002101","100061","100061","bgm_M41","bgm_M41","0","1","8","bgm_M41","馬席納地區 1-1","8","8","0","0","0","2018/10/03 16:00:00","100062","0","1","2018/10/28 15:59:59","bgm_M41","100063","0","610002121","bgm_M41","1","0","0","10002","100010","90","0","0","-820"
"610002102","0","20","bgm_M41","120","0","0","0","10002101","10002102","100014","100014","bgm_M41","bgm_M41","0","1","8","bgm_M41","馬席納地區 1-2","8","8","0","0","0","2018/10/03 16:00:00","100015","0","1","2018/10/28 15:59:59","bgm_M41","100016","0","610002121","bgm_M41","2","0","0","10002","100020","90","0","0","-710"
"610002103","0","-120","bgm_M41","120","0","0","0","10002101","10002103","100061","100061","bgm_M41","bgm_M41","0","1","8","bgm_M41","馬席納地區 1-3","8","8","0","0","0","2018/10/03 16:00:00","100062","0","1","2018/10/28 15:59:59","bgm_M41","100063","0","610002121","bgm_M41","3","0","0","10002","100010","90","0","0","-580"
"610002104","0","50","bgm_M41","120","0","0","0","10002101","10002104","100014","100014","bgm_M41","bgm_M41","0","1","8","bgm_M41","馬席納地區 1-4","8","8","0","0","0","2018/10/03 16:00:00","100015","0","1","2018/10/28 15:59:59","bgm_M41","100016","0","610002121","bgm_M41","4","0","0","10002","100020","90","0","0","-510"
"610002105","0","-60","bgm_M41","120","0","0","0","10002101","10002105","100041","100041","bgm_M41","bgm_M41","0","1","8","bgm_M41","馬席納地區 1-5","8","8","0","0","0","2018/10/03 16:00:00","100042","0","1","2018/10/28 15:59:59","bgm_M41","100043","0","610002121","bgm_M41","5","0","0","10002","100040","90","0","0","-430"
"610002106","0","-150","bgm_M41","135","0","0","0","10002101","10002106","100021","100021","bgm_M41","bgm_M41","0","1","9","bgm_M41","馬席納地區 1-6","9","9","0","0","0","2018/10/03 16:00:00","100022","0","1","2018/10/28 15:59:59","bgm_M41","100023","0","610002121","bgm_M41","6","0","0","10002","100050","90","0","0","-340"
"610002107","0","-80","bgm_M41","135","0","0","0","10002101","10002107","100201","100201","bgm_M41","bgm_M41","0","1","9","bgm_M41","馬席納地區 1-7","9","9","0","0","0","2018/10/03 16:00:00","100202","0","1","2018/10/28 15:59:59","bgm_M41","100203","0","610002122","bgm_M41","7","0","0","10002","100110","90","0","0","-215"
