eefe710448baef4a450e9e923762d15908911a432abafdf62651c104adf8b5e5,a0479e76fcff14e76d569648d4ce6d1865809752d6c9667d73caa56f78dc1ae8,0db3cc91f158eb491af1d6ef548d13a335a9abbd619a30ae242d76749cb34546,0e71d080ff6af67df59d82b10cca2b8c5cc0722df109b55fc4667d079b0bf03d
"1004601","1","5046601","1004601"
"1004801","1","5048007","1004801"
"1004802","2","1004801","1004802"
"1005601","1","5056601","1005601"
"1006101","1","5061601","1006101"
"1006102","3","5061602","1006102"
"1006103","1","5061601","1006103"
"1006601","4","5027704","1006601"
"1007001","5","0","1007001"
"1007301","1","5046601","1007301"
"1007501","1","5048007","1007501"
"1007502","2","1004801","1007502"
"1008201","6","0","1008201"
"1008301","1","5056601","1008301"
"1008901","1","5061601","1008901"
"1008902","3","5061602","1008902"
"1008903","1","5061601","1008903"
"1009201","3","5092601","1009201"
"1010001","3","5100601","1010001"
"1010201","3","5100601","1010201"
"1010901","6","0","1010901"
"1011901","3","5092601","1011901"
"1012701","3","5100601","1012701"
"2003201","1","5056601","2003201"
