7bae82c2e3f22d5958a214967eba5dad85b24d9adfb575a99bf59ea4bc16b957,67bfebad17beb8cb64ce0926a44bff4f8f8889633de08044ead79cbe15678dcd,7054c9664ccb27c360ae66d3b92c3d55c7dda916cd312a1fc68a5fbc2d79359b,65df96398883e7500bd62ec4b8967a51bb6d68a96e1155d55151fa55820bc95d,5f242f5f403de1a921d12ad1d0a54070ac8e0627d00548792f686c40d9727f5b,212fba79e33fa933400db8a54cfb973176030a109794d1c7c7e30847ff7b63c1,538427ad98b44f6e81ee93b097b35bbe46b58aa1e39c5edc5f629cff874b6be7,e7baab49fdbc7ae8c616b937f50752533feeac0309e43f1c85d6eee5e8b53c45,f45c527697a4e1027b34e5b505d2d044d568b52966aea59ca0896d21867da6b2,982d9831122d14e49410eca80dd55263a5e0ce8afd4add3cb74268c60e9982d9,3ac3fee4f7430f793303af6ec5636fe520b4a79b5cbd23564cdda339438eb261,7c6d1a4ec35856915bfed52bdf13833aca40df9dcb3d079617b530d39e7cb9de,f83cda6ba13127096929340c75beeb5ad02d90da586d690f692a700e1366daab,40516c2d2008a52056ec35b61767d6eaa71e665b4a4d8b56a3ea3787f84f0869,80e23c340d6d6ef82aecefbb48a466cf9447c8bb0d6655d9eebff23e35b4dac4,24be65af3fd137d0a0e383083e111a7dfd0d415a9e546fc47e0afd8cf3f247c3,b322357f02ed59631f166c4007b3e95a1626a79ef31ce9dd38cbf9d4f4991057,9a3f52c73c42e5c04f4671dfac0e54372ad91e85f53d9f1f3338bcb3ba60072b
"20000","0","0","0","32000","0","0","1","0","0","分數累積獲得 32000 分","12","94002","0","0","0","0","0"
"30000","0","0","0","64000","0","0","2","0","0","分數累積獲得 64000 分","12","94002","0","0","0","0","0"
"40000","0","0","0","96000","0","0","3","0","0","分數累積獲得 96000 分","12","94002","0","0","0","0","0"
"50000","0","0","0","128000","0","0","4","0","0","分數累積獲得 128000 分","12","94002","0","0","0","0","0"
"25","0","0","0","160000","0","0","5","0","0","分數累積獲得 160000 分","8","91002","0","0","0","0","0"
"1","0","0","0","192000","0","0","6","0","0","分數累積獲得 192000 分","15","11001071","0","0","0","0","0"
"20","0","0","0","224000","0","0","7","0","0","分數累積獲得 224000 分","2","23001","0","0","0","0","0"
"50","0","0","0","256000","0","0","8","0","0","分數累積獲得 256000 分","8","91002","0","0","0","0","0"
"70000","0","0","0","288000","0","0","9","0","0","分數累積獲得 288000 分","12","94002","0","0","0","0","0"
"80000","0","0","0","320000","0","0","10","0","0","分數累積獲得 320000 分","12","94002","0","0","0","0","0"
"75","0","0","0","352000","0","0","11","0","0","分數累積獲得 352000 分","8","91002","0","0","0","0","0"
"100000","0","0","0","384000","0","0","12","0","0","分數累積獲得 384000 分","12","94002","0","0","0","0","0"
"45","0","0","0","416000","0","0","13","0","0","分數累積獲得 416000 分","2","23001","0","0","0","0","0"
"100","0","0","0","448000","0","0","14","0","0","分數累積獲得 448000 分","8","91002","0","0","0","0","0"
"1","0","0","0","480000","0","0","15","0","0","分數累積獲得 480000 分","15","11001072","0","0","0","0","0"
