36db6441c0516ff5304d61c9e6c9b2ca7b71f86f2c40cfdd6ad9b143521c6422,0e6454bc114cccdc8dc7f2b5890e742974ef17fac4a04b261b467d29984440c8,e5ff5612bf03afb7a05116afa90c2c4a353427b9b9cb62e3dd0c62e902c83017,44fb30f981d48ff73bcb03c778fe9d423193a192dc36f620f406da6cd8789d24,848c65c62579141981e4ede6eba1851ec617c1e54b77af250411fd4de1d58384,77e511ea718bc85555083b6d14db3ff2b143cad8375f3933657217b19c4ba69f
"1","1","11001001","99001001","15","1001"
"10","2","91002","99001001","8","0"
"1","3","11001002","99001002","15","1001"
"10","4","91002","99001002","8","0"
"1","5","11001003","99001003","15","1002"
"20","6","91002","99001003","8","0"
"1","7","11001004","99001004","15","1003"
"30","8","91002","99001004","8","0"
"1","9","11001005","99001005","15","1001"
"10","10","91002","99001005","8","0"
"1","11","11001006","99001006","15","1001"
"10","12","91002","99001006","8","0"
"1","13","11001007","99001007","15","1002"
"20","14","91002","99001007","8","0"
"1","15","11001008","99001008","15","1003"
"30","16","91002","99001008","8","0"
"1","17","11001009","99001009","15","1001"
"10","18","91002","99001009","8","0"
"1","19","11001010","99001010","15","1001"
"10","20","91002","99001010","8","0"
"1","21","11001011","99001011","15","1002"
"20","22","91002","99001011","8","0"
"1","23","11001012","99001012","15","1003"
"30","24","91002","99001012","8","0"
"1","33","11001017","99001017","15","1001"
"30","34","91002","99001017","8","0"
"1","35","11001018","99001018","15","1001"
"30","36","91002","99001018","8","0"
"1","37","11001019","99001019","15","1002"
"30","38","91002","99001019","8","0"
"1","39","11001020","99001020","15","1003"
"30","40","91002","99001020","8","0"
"0","41","11001021","99001021","15","1001"
"0","42","11001022","99001022","15","1002"
"1","43","11001023","99001023","15","1001"
"30","44","91002","99001023","8","0"
"1","45","11001024","99001024","15","1001"
"30","46","91002","99001024","8","0"
"1","47","11001025","99001025","15","1002"
"30","48","91002","99001025","8","0"
"1","49","11001026","99001026","15","1003"
"30","50","91002","99001026","8","0"
"1","51","11001027","99001027","15","1001"
"30","52","91002","99001027","8","0"
"1","53","11001028","99001028","15","1001"
"30","54","91002","99001028","8","0"
"1","55","11001029","99001029","15","1002"
"30","56","91002","99001029","8","0"
"1","57","11001030","99001030","15","1003"
"30","58","91002","99001030","8","0"
"1","59","11001031","99001031","15","1001"
"30","60","91002","99001031","8","0"
"1","61","11001032","99001032","15","1001"
"30","62","91002","99001032","8","0"
"1","63","11001033","99001033","15","1002"
"30","64","91002","99001033","8","0"
"1","65","11001034","99001034","15","1003"
"30","66","91002","99001034","8","0"
"0","75","11001039","99001039","15","1001"
"0","76","11001040","99001040","15","1002"
"0","77","11001041","99001041","15","1003"
"1","78","11001042","99001042","15","1001"
"30","79","91002","99001042","8","0"
"1","80","11001043","99001043","15","1001"
"30","81","91002","99001043","8","0"
"1","82","11001044","99001044","15","1002"
"30","83","91002","99001044","8","0"
"1","84","11001045","99001045","15","1003"
"30","85","91002","99001045","8","0"
"1","86","11001046","99001046","15","1001"
"1","87","11001050","99001046","15","1001"
"30","88","91002","99001046","8","0"
"1","89","11001047","99001047","15","1001"
"30","90","91002","99001047","8","0"
"1","91","11001048","99001048","15","1002"
"30","92","91002","99001048","8","0"
"1","93","11001049","99001049","15","1003"
"30","94","91002","99001049","8","0"
"1","95","11001051","99001051","15","1001"
"30","96","91002","99001051","8","0"
"1","97","11001052","99001052","15","1001"
"30","98","91002","99001052","8","0"
"1","99","11001053","99001053","15","1002"
"30","100","91002","99001053","8","0"
"1","101","11001054","99001054","15","1003"
"30","102","91002","99001054","8","0"
"1","103","11001055","99001055","15","1001"
"30","104","91002","99001055","8","0"
"1","105","11001056","99001056","15","1001"
"30","106","91002","99001056","8","0"
"1","107","11001057","99001057","15","1002"
"30","108","91002","99001057","8","0"
"1","109","11001058","99001058","15","1003"
"30","110","91002","99001058","8","0"
"1","111","11001059","99001059","15","1001"
"30","112","91002","99001059","8","0"
"1","113","11001060","99001060","15","1001"
"30","114","91002","99001060","8","0"
"1","115","11001061","99001061","15","1002"
"30","116","91002","99001061","8","0"
"1","117","11001062","99001062","15","1003"
"30","118","91002","99001062","8","0"
"1","119","11001063","99001063","15","1001"
"30","120","91002","99001063","8","0"
"1","121","11001064","99001064","15","1001"
"30","122","91002","99001064","8","0"
"1","123","11001065","99001065","15","1002"
"30","124","91002","99001065","8","0"
"1","125","11001066","99001066","15","1003"
"30","126","91002","99001066","8","0"
"1","127","11001067","99001067","15","1001"
"30","128","91002","99001067","8","0"
"1","129","11001068","99001068","15","1001"
"30","130","91002","99001068","8","0"
"1","131","11001069","99001069","15","1002"
"30","132","91002","99001069","8","0"
"1","133","11001070","99001070","15","1003"
"30","134","91002","99001070","8","0"
"0","135","11001071","99001071","15","1001"
"0","136","11001072","99001072","15","1002"
"0","137","11001073","99001073","15","1003"
"1","138","11001074","99001074","15","1001"
"30","139","91002","99001074","8","0"
"1","140","11001075","99001075","15","1001"
"30","141","91002","99001075","8","0"
"1","142","11001076","99001076","15","1002"
"30","143","91002","99001076","8","0"
"1","144","11001077","99001077","15","1003"
"30","145","91002","99001077","8","0"
"1","146","11001078","99001078","15","1001"
"30","147","91002","99001078","8","0"
"1","148","11001079","99001079","15","1001"
"30","149","91002","99001079","8","0"
"1","150","11001080","99001080","15","1002"
"30","151","91002","99001080","8","0"
"1","152","11001081","99001081","15","1003"
"30","153","91002","99001081","8","0"
"1","154","11001082","99001082","15","1001"
"30","155","91002","99001082","8","0"
"1","156","11001083","99001083","15","1001"
"30","157","91002","99001083","8","0"
"1","158","11001084","99001084","15","1002"
"30","159","91002","99001084","8","0"
"1","160","11001085","99001085","15","1003"
"30","161","91002","99001085","8","0"
"0","162","11001086","99001086","15","1001"
"0","163","11001087","99001087","15","1002"
"0","164","11001088","99001088","15","1002"
"0","165","11001089","99001089","15","1002"
"0","166","11001090","99001090","15","1003"
"1","167","11001091","99001091","15","1001"
"30","168","91002","99001091","8","0"
"1","169","11001092","99001092","15","1001"
"30","170","91002","99001092","8","0"
"1","171","11001093","99001093","15","1002"
"30","172","91002","99001093","8","0"
"1","173","11001094","99001094","15","1003"
"30","174","91002","99001094","8","0"
"1","175","11001095","99001095","15","1001"
"30","176","91002","99001095","8","0"
"1","177","11001096","99001096","15","1001"
"30","178","91002","99001096","8","0"
"1","179","11001097","99001097","15","1002"
"30","180","91002","99001097","8","0"
"1","181","11001098","99001098","15","1003"
"30","182","91002","99001098","8","0"
"1","183","11001099","99001099","15","1001"
"30","184","91002","99001099","8","0"
"1","185","11001100","99001100","15","1001"
"30","186","91002","99001100","8","0"
"1","187","11001101","99001101","15","1002"
"30","188","91002","99001101","8","0"
"1","189","11001102","99001102","15","1003"
"30","190","91002","99001102","8","0"
"1","191","11001103","99001103","15","1001"
"30","192","91002","99001103","8","0"
"1","193","11001104","99001104","15","1001"
"30","194","91002","99001104","8","0"
"1","195","11001105","99001105","15","1002"
"30","196","91002","99001105","8","0"
"1","197","11001106","99001106","15","1003"
"30","198","91002","99001106","8","0"
"1","199","11001107","99001107","15","1001"
"30","200","91002","99001107","8","0"
"1","201","11001108","99001108","15","1001"
"30","202","91002","99001108","8","0"
"1","203","11001109","99001109","15","1002"
"30","204","91002","99001109","8","0"
"1","205","11001110","99001110","15","1003"
"30","206","91002","99001110","8","0"
"1","207","11001111","99001111","15","1001"
"30","208","91002","99001111","8","0"
"1","209","11001112","99001112","15","1001"
"30","210","91002","99001112","8","0"
"1","211","11001113","99001113","15","1002"
"30","212","91002","99001113","8","0"
"1","213","11001114","99001114","15","1003"
"30","214","91002","99001114","8","0"
"1","215","11001115","99001115","15","1001"
"30","216","91002","99001115","8","0"
"1","217","11001116","99001116","15","1001"
"30","218","91002","99001116","8","0"
"1","219","11001117","99001117","15","1002"
"30","220","91002","99001117","8","0"
"1","221","11001118","99001118","15","1003"
"30","222","91002","99001118","8","0"
"1","223","11001119","99001119","15","1001"
"30","224","91002","99001119","8","0"
"1","225","11001120","99001120","15","1001"
"30","226","91002","99001120","8","0"
"1","227","11001121","99001121","15","1002"
"30","228","91002","99001121","8","0"
"1","229","11001122","99001122","15","1003"
"30","230","91002","99001122","8","0"
"1","231","11001123","99001123","15","1001"
"30","232","91002","99001123","8","0"
"1","233","11001124","99001124","15","1001"
"30","234","91002","99001124","8","0"
"1","235","11001125","99001125","15","1002"
"30","236","91002","99001125","8","0"
"1","237","11001126","99001126","15","1003"
"30","238","91002","99001126","8","0"
"1","239","11001127","99001127","15","1001"
"30","240","91002","99001127","8","0"
"1","241","11001128","99001128","15","1001"
"30","242","91002","99001128","8","0"
"1","243","11001129","99001129","15","1002"
"30","244","91002","99001129","8","0"
"1","245","11001130","99001130","15","1003"
"30","246","91002","99001130","8","0"
"1","247","11001131","99001131","15","1003"
"1","248","11001132","99001132","15","1001"
"30","249","91002","99001132","8","0"
"1","250","11001133","99001133","15","1001"
"30","251","91002","99001133","8","0"
"1","252","11001134","99001134","15","1002"
"30","253","91002","99001134","8","0"
"1","254","11001135","99001135","15","1003"
"30","255","91002","99001135","8","0"
"1","256","11001136","99001136","15","1001"
"30","257","91002","99001136","8","0"
"1","258","11001137","99001137","15","1001"
"30","259","91002","99001137","8","0"
"1","260","11001138","99001138","15","1002"
"30","261","91002","99001138","8","0"
"1","262","11001139","99001139","15","1003"
"30","263","91002","99001139","8","0"
"1","264","11001140","99001140","15","1003"
"1","265","11001142","99001142","15","1001"
"30","266","91002","99001142","8","0"
"1","267","11001143","99001143","15","1001"
"30","268","91002","99001143","8","0"
"1","269","11001144","99001144","15","1002"
"30","270","91002","99001144","8","0"
"1","271","11001145","99001145","15","1003"
"30","272","91002","99001145","8","0"
"0","273","11001146","99001146","15","1001"
"0","274","11001147","99001147","15","1002"
"1","275","11001148","99001148","15","1001"
"30","276","91002","99001148","8","0"
"1","277","11001149","99001149","15","1001"
"30","278","91002","99001149","8","0"
"1","279","11001150","99001150","15","1002"
"30","280","91002","99001150","8","0"
"1","281","11001151","99001151","15","1003"
"30","282","91002","99001151","8","0"
"1","283","11001152","99001152","15","1001"
"30","284","91002","99001152","8","0"
"1","285","11001153","99001153","15","1001"
"30","286","91002","99001153","8","0"
"1","287","11001154","99001154","15","1002"
"30","288","91002","99001154","8","0"
"1","289","11001155","99001155","15","1003"
"30","290","91002","99001155","8","0"
"1","291","11001156","99001156","15","1001"
"30","292","91002","99001156","8","0"
"1","293","11001157","99001157","15","1001"
"30","294","91002","99001157","8","0"
"1","295","11001158","99001158","15","1002"
"30","296","91002","99001158","8","0"
"1","297","11001159","99001159","15","1003"
"30","298","91002","99001159","8","0"
"1","299","11001160","99001160","15","1001"
"30","300","91002","99001160","8","0"
"1","301","11001161","99001161","15","1001"
"30","302","91002","99001161","8","0"
"1","303","11001162","99001162","15","1002"
"30","304","91002","99001162","8","0"
"1","305","11001163","99001163","15","1003"
"30","306","91002","99001163","8","0"
"1","307","11001164","99001164","15","1002"
"1","308","11001165","99001165","15","1003"
"1","309","11001166","99001166","15","1001"
"30","310","91002","99001166","8","0"
"1","311","11001167","99001167","15","1001"
"30","312","91002","99001167","8","0"
"1","313","11001168","99001168","15","1002"
"30","314","91002","99001168","8","0"
"1","315","11001169","99001169","15","1003"
"30","316","91002","99001169","8","0"
"1","317","11001170","99001170","15","1001"
"30","318","91002","99001170","8","0"
"1","319","11001171","99001171","15","1001"
"30","320","91002","99001171","8","0"
"1","321","11001172","99001172","15","1002"
"30","322","91002","99001172","8","0"
"1","323","11001173","99001173","15","1003"
"30","324","91002","99001173","8","0"
"1","325","11001174","99001174","15","1001"
"30","326","91002","99001174","8","0"
"1","327","11001175","99001175","15","1001"
"30","328","91002","99001175","8","0"
"1","329","11001176","99001176","15","1002"
"30","330","91002","99001176","8","0"
"1","331","11001177","99001177","15","1003"
"30","332","91002","99001177","8","0"
"1","333","11001178","99001178","15","1001"
"30","334","91002","99001178","8","0"
"1","335","11001179","99001179","15","1001"
"30","336","91002","99001179","8","0"
"1","337","11001180","99001180","15","1002"
"30","338","91002","99001180","8","0"
"1","339","11001181","99001181","15","1003"
"30","340","91002","99001181","8","0"
"1","341","11001182","99001182","15","1001"
"30","342","91002","99001182","8","0"
"1","343","11001183","99001183","15","1001"
"30","344","91002","99001183","8","0"
"1","345","11001184","99001184","15","1002"
"30","346","91002","99001184","8","0"
"1","347","11001185","99001185","15","1003"
"30","348","91002","99001185","8","0"
"1","349","11001186","99001186","15","1001"
"30","350","91002","99001186","8","0"
"1","351","11001187","99001187","15","1001"
"30","352","91002","99001187","8","0"
"1","353","11001188","99001188","15","1002"
"30","354","91002","99001188","8","0"
"1","355","11001189","99001189","15","1003"
"30","356","91002","99001189","8","0"
"1","357","11001190","99001190","15","1001"
"30","358","91002","99001190","8","0"
"1","359","11001191","99001191","15","1001"
"30","360","91002","99001191","8","0"
"1","361","11001192","99001192","15","1002"
"30","362","91002","99001192","8","0"
"1","363","11001193","99001193","15","1003"
"30","364","91002","99001193","8","0"
"1","365","11001194","99001194","15","1001"
"30","366","91002","99001194","8","0"
"1","367","11001195","99001195","15","1001"
"30","368","91002","99001195","8","0"
"1","369","11001196","99001196","15","1002"
"30","370","91002","99001196","8","0"
"1","371","11001197","99001197","15","1003"
"30","372","91002","99001197","8","0"
"1","373","11001198","99001198","15","1002"
"1","374","11001199","99001199","15","1003"
"1","375","11001200","99001200","15","1001"
"30","376","91002","99001200","8","0"
"1","377","11001201","99001201","15","1001"
"30","378","91002","99001201","8","0"
"1","379","11001202","99001202","15","1002"
"30","380","91002","99001202","8","0"
"1","381","11001203","99001203","15","1003"
"30","382","91002","99001203","8","0"
"1","383","11001204","99001204","15","1003"
"1","384","11001205","99001205","15","1001"
"30","385","91002","99001205","8","0"
"1","386","11001206","99001206","15","1001"
"30","387","91002","99001206","8","0"
"1","388","11001207","99001207","15","1002"
"30","389","91002","99001207","8","0"
"1","390","11001208","99001208","15","1003"
"30","391","91002","99001208","8","0"
"1","392","11001209","99001209","15","1001"
"30","393","91002","99001209","8","0"
"1","394","11001210","99001210","15","1001"
"30","395","91002","99001210","8","0"
"1","396","11001211","99001211","15","1002"
"30","397","91002","99001211","8","0"
"1","398","11001212","99001212","15","1003"
"30","399","91002","99001212","8","0"
"1","400","11001213","99001213","15","1001"
"30","401","91002","99001213","8","0"
"1","402","11001214","99001214","15","1001"
"30","403","91002","99001214","8","0"
"1","404","11001215","99001215","15","1002"
"30","405","91002","99001215","8","0"
"1","406","11001216","99001216","15","1003"
"30","407","91002","99001216","8","0"
"1","408","11001217","99001217","15","1001"
"30","409","91002","99001217","8","0"
"1","410","11001218","99001218","15","1001"
"30","411","91002","99001218","8","0"
"1","412","11001219","99001219","15","1002"
"30","413","91002","99001219","8","0"
"1","414","11001220","99001220","15","1003"
"30","415","91002","99001220","8","0"
"1","416","11001221","99001221","15","1001"
"30","417","91002","99001221","8","0"
"1","418","11001222","99001222","15","1001"
"30","419","91002","99001222","8","0"
"1","420","11001223","99001223","15","1002"
"30","421","91002","99001223","8","0"
"1","422","11001224","99001224","15","1003"
"30","423","91002","99001224","8","0"
"1","424","11001225","99001225","15","1001"
"30","425","91002","99001225","8","0"
"1","426","11001226","99001226","15","1001"
"30","427","91002","99001226","8","0"
"1","428","11001227","99001227","15","1002"
"30","429","91002","99001227","8","0"
"1","430","11001228","99001228","15","1003"
"30","431","91002","99001228","8","0"
"1","432","11001229","99001229","15","1001"
"30","433","91002","99001229","8","0"
"1","434","11001230","99001230","15","1001"
"30","435","91002","99001230","8","0"
"1","436","11001231","99001231","15","1002"
"30","437","91002","99001231","8","0"
"1","438","11001232","99001232","15","1003"
"30","439","91002","99001232","8","0"
"1","440","11001233","99001233","15","1001"
"30","441","91002","99001233","8","0"
"1","442","11001234","99001234","15","1001"
"30","443","91002","99001234","8","0"
"1","444","11001235","99001235","15","1002"
"30","445","91002","99001235","8","0"
"1","446","11001236","99001236","15","1003"
"30","447","91002","99001236","8","0"
"1","448","11001237","99001237","15","1001"
"30","449","91002","99001237","8","0"
"1","450","11001238","99001238","15","1001"
"30","451","91002","99001238","8","0"
"1","452","11001239","99001239","15","1002"
"30","453","91002","99001239","8","0"
"1","454","11001240","99001240","15","1003"
"30","455","91002","99001240","8","0"
"1","456","11001241","99001241","15","1001"
"30","457","91002","99001241","8","0"
"1","458","11001242","99001242","15","1001"
"30","459","91002","99001242","8","0"
"1","460","11001243","99001243","15","1002"
"30","461","91002","99001243","8","0"
"1","462","11001244","99001244","15","1003"
"30","463","91002","99001244","8","0"
"1","464","11001245","99001245","15","1001"
"30","465","91002","99001245","8","0"
"1","466","11001246","99001246","15","1001"
"30","467","91002","99001246","8","0"
"1","468","11001247","99001247","15","1002"
"30","469","91002","99001247","8","0"
"1","470","11001248","99001248","15","1003"
"30","471","91002","99001248","8","0"
"1","472","11001249","99001249","15","1003"
"1","473","11001250","99001250","15","1001"
"30","474","91002","99001250","8","0"
"1","475","11001251","99001251","15","1001"
"30","476","91002","99001251","8","0"
"1","477","11001252","99001252","15","1002"
"30","478","91002","99001252","8","0"
"1","479","11001253","99001253","15","1003"
"30","480","91002","99001253","8","0"
"1","481","11001254","99001254","15","1001"
"30","482","91002","99001254","8","0"
"1","483","11001255","99001255","15","1001"
"30","484","91002","99001255","8","0"
"1","485","11001256","99001256","15","1002"
"30","486","91002","99001256","8","0"
"1","487","11001257","99001257","15","1003"
"30","488","91002","99001257","8","0"
"1","489","11001258","99001258","15","1001"
"30","490","91002","99001258","8","0"
"1","491","11001259","99001259","15","1001"
"30","492","91002","99001259","8","0"
