d0fea97f8bacc9ff0e1c21c8454edd09adce0547bfb80365f956cef69f7e2cc2,12c070e640c727e9de8401c5455125c4c3d446f6d8d3a60cb86dd5ae4fe332c6,81aa6eca630212bdab769a04e11cdb8d47373d40097a72f0ea24b05540ade958,7864d6756e29d8a894615774c7bb8591900aee0ee848bdbb779be03db2d057e9,257aa69d746d3bbf1788daa3dff1a09a0ea09d507fbb5523b191f38499485e1a,523feba42bcb9913f4e47f0401081da7bb03228bdd620a33427de82164258298
"1","11101","1","vo_caravan_105801_start_001","vo_caravan","1"
"1","11102","1","vo_caravan_105801_start_002","vo_caravan","1"
"1","12101","1","vo_caravan_105901_start_001","vo_caravan","2"
"1","12102","1","vo_caravan_105901_start_002","vo_caravan","2"
"1","13101","1","vo_caravan_106001_start_001","vo_caravan","3"
"1","13102","1","vo_caravan_106001_start_002","vo_caravan","3"
"1","14101","1","vo_caravan_106401_start_001","vo_caravan","4"
"1","14102","1","vo_caravan_106401_start_002","vo_caravan","4"
"1","21101","2","vo_caravan_105801_dice_001","vo_caravan","1"
"1","21102","2","vo_caravan_105801_dice_002","vo_caravan","1"
"1","22101","2","vo_caravan_105901_dice_001","vo_caravan","2"
"1","22102","2","vo_caravan_105901_dice_002","vo_caravan","2"
"1","23101","2","vo_caravan_106001_dice_001","vo_caravan","3"
"1","23102","2","vo_caravan_106001_dice_002","vo_caravan","3"
"1","24101","2","vo_caravan_106401_dice_001","vo_caravan","4"
"1","24102","2","vo_caravan_106401_dice_002","vo_caravan","4"
"1","31101","3","vo_caravan_105801_slot_001","vo_caravan","1"
"1","32101","3","vo_caravan_105901_slot_001","vo_caravan","2"
"1","33101","3","vo_caravan_106001_slot_001","vo_caravan","3"
"1","34101","3","vo_caravan_106401_slot_001","vo_caravan","4"
"1","41101","4","vo_caravan_105801_dish_001","vo_caravan","1"
"1","41102","4","vo_caravan_105801_dish_002","vo_caravan","1"
"1","42101","4","vo_caravan_105901_dish_001","vo_caravan","2"
"1","42102","4","vo_caravan_105901_dish_002","vo_caravan","2"
"2","42201","4","se_caravan_food_peko","se_caravan","1"
"2","42202","4","se_caravan_food_coccoro","se_caravan","2"
"2","42203","4","se_caravan_food_kyaru","se_caravan","3"
"2","42204","4","se_caravan_food_coccoro","se_caravan","4"
"2","42205","4","se_caravan_food_onigiri","se_caravan","100"
"1","43101","4","vo_caravan_106001_dish_001","vo_caravan","3"
"1","43102","4","vo_caravan_106001_dish_002","vo_caravan","3"
"1","44101","4","vo_caravan_106401_dish_001","vo_caravan","4"
"1","44102","4","vo_caravan_106401_dish_002","vo_caravan","4"
"1","45101","4","vo_caravan_onigiri_dish_001","vo_caravan","100"
"1","61101","6","vo_caravan_105801_goal_001","vo_caravan","0"
"1","61201","61","vo_caravan_105801_win_001","vo_caravan","0"
"1","61301","62","vo_caravan_105801_lose_001","vo_caravan","0"
"1","62101","6","vo_caravan_105901_goal_001","vo_caravan","0"
"1","62201","61","vo_caravan_105901_win_001","vo_caravan","0"
"1","62301","62","vo_caravan_105901_lose_001","vo_caravan","0"
"1","63101","6","vo_caravan_106001_goal_001","vo_caravan","0"
"1","63201","61","vo_caravan_106001_win_001","vo_caravan","0"
"1","63301","62","vo_caravan_106001_lose_001","vo_caravan","0"
"1","64101","6","vo_caravan_118501_goal_001","vo_caravan","0"
"1","65101","6","vo_caravan_106401_goal_001","vo_caravan","0"
"1","65201","61","vo_caravan_106401_win_001","vo_caravan","0"
"1","65301","62","vo_caravan_106401_lose_001","vo_caravan","0"
"1","71101","7","vo_caravan_105801_appraise_001","vo_caravan","0"
"1","72101","7","vo_caravan_105901_appraise_001","vo_caravan","0"
"1","73101","7","vo_caravan_106001_appraise_001","vo_caravan","0"
"1","74101","7","vo_caravan_106401_appraise_001","vo_caravan","0"
"1","81101","8","vo_caravan_105801_result_001","vo_caravan","0"
"1","82101","8","vo_caravan_105901_result_001","vo_caravan","0"
"1","83101","8","vo_caravan_106001_result_001","vo_caravan","0"
"1","84101","8","vo_caravan_106401_result_001","vo_caravan","0"
"1","211101","2","vo_caravan_319700_dice_001","vo_caravan","11"
"1","211102","2","vo_caravan_319700_dice_002","vo_caravan","11"
"1","212101","2","vo_caravan_319800_dice_001","vo_caravan","12"
"1","212102","2","vo_caravan_319800_dice_002","vo_caravan","12"
"1","213101","2","vo_caravan_319900_dice_001","vo_caravan","13"
"1","213102","2","vo_caravan_319900_dice_002","vo_caravan","13"
