0d66bc0dfe8d3d18415846bd7aa20aea79f71bcf9e0d7a5b2ed9722ef3493edf,7cb3a89f3945170a8ca65584293c1b3d89392ee2cf60184ce678f4b672ca4b58,2933dd46cd076a05c834e88f92aa4bc4a795edeca2def654fb8f7ff8dc64be8e,4d206d1cd84f4333c6f9f862041994e0a1221f132560a1a1c6ed05aab56df368,41d329012f1435d653810227c5ac7442f6d68aa1a6d197db259d443dae1c67f0,0ae00d0bb80d77edd087b7168f01d4bee8757cfa0338ba4fc8c177bfd7c75fca,2e94f33ed39cb9a62a0ef9723315017c36417c2f014f4afb9bd8515dac9da866,c1ce759a2495b45c41379b676da382a327747b0b8f9f6d5d8389906035f6b245,b40611509406abb05f7903479cf3298483d4c4447f32979c8475905e1300b79a,6bf158e9ebaf3a22397e2934bb0936a9e6579eebdceb21637551a844c2bf593c,5df820e980e3ea4e7ba7bdf20de2f383af1667121a8ecdec435486ab477dc3de,aa3212a901518a12999e770efd0df4bff3f6b27ea225cdedd1542a09e62e5040,3216ab5b01c32f249a8d16795ae1085437e03631c6c2ad3d10c7bcd404c3d1f6,1a9bf31323435c750603f0d4017508b98a03876877f0b96412ab69132fc2b695,4b7953a70c6b413f647a811b9646ac353b46b12f2c9eb7bbdbea90b849d6ddfe
"400","雲海山脈","1","501010001","400","雲霧繚繞的山脈","4003002","45","11002012","4003001","10","0","195","31001","200010"
"300","密林大樹","1","501010002","300","立於森林深處的一棵大樹","4003004","30","11005013","4003003","10","0","-110","31002","200020"
"200","斷崖遺跡","1","501010003","200","位於斷崖絕壁處的遺跡","4003006","-190","11007014","4003005","10","0","-570","31003","200030"
"100","蒼海孤塔","1","501010004","100","矗立於大海中謎樣的巨塔","4003008","-30","11011017","4003007","10","0","750","31004","200040"
"100","毒瘴闇稜","1","501010005","100","受瘴氣籠罩的暗闇孤峰","4003010","20","11014014","4003009","10","0","465","31005","200050"
"100","綠龍骸嶺","1","501010006","100","佇立於山頂的龍之寢床","4003012","90","11026014","4003011","10","0","360","31006","200060"
"100","天上浮游城","1","501010007","100","天空守衛靜靜沉眠的聖城","4003014","90","11035014","4003013","10","0","130","31007","200070"
"100","砂瀑底都","1","501010008","100","沙之大瀑布墜落盡頭的都市","4003018","120","11047014","4003017","10","0","-50","31008","200080"
"100","蔚藍王寨","1","501010009","100","聳立於蔚藍海底的海王城寨","4003020","70","11057014","4003019","10","0","-360","31009","200090"
"0","四彩的靈峰","1","501010010","100","四季繽紛的靈狐仙境","4003022","0","11062014","4003021","10","0","0","31010","0"
"100","特殊地下城","1","0","100","挑戰完成期間限定地下城","4003016","0","0","4003015","10","31006","0","32001","0"
"100","特殊地下城","1","0","100","挑戰完成期間限定地下城","0","0","0","0","10","31006","0","32002","0"
"100","特殊地下城","1","0","100","挑戰完成期間限定地下城","0","0","0","0","10","31006","0","32003","0"
"100","特殊地下城","1","0","100","挑戰完成期間限定地下城","0","0","0","0","10","31006","0","32004","0"
"100","特殊地下城","1","0","100","挑戰完成期間限定地下城","0","0","0","0","10","31006","0","32005","0"
"100","特殊地下城","1","0","100","挑戰完成期間限定地下城","0","0","0","0","10","31006","0","32006","0"
"100","特殊地下城","1","0","100","挑戰完成期間限定地下城","0","0","0","0","10","31006","0","32007","0"
"100","特殊地下城","1","0","100","挑戰完成期間限定地下城","0","0","0","0","10","31006","0","32008","0"
"100","特殊地下城","1","0","100","挑戰完成期間限定地下城","0","0","0","0","10","31006","0","32009","0"
"100","特殊地下城","1","0","100","挑戰完成期間限定地下城","0","0","0","0","10","31006","0","32010","0"
