74d89c5106906ea4e76b9131b393b4ccfa6a79ebf55802efa5f1accd3c6b8567,e2a6a3644f0b9d1244fdcf0ef7d14338fc130e6c3d2252929ce77eb3c0641939,b8fb1a2a957e4c23494af2ab9620cf6edcc2e2fea0cade7313ada47aab984569,ce90854ad835f4cd639b25df6a36811253cce9cbbe06c11123f352c7a8ad74d7,a62e73d835c323e0b0315e5b5affbec9e66b436241b5d5627db6db03680509ef
"單手劍","101","90009","#D23232","red"
"雙手劍","102","90009","#D23232","red"
"短劍","103","90009","#D23232","red"
"槍","104","90009","#D23232","red"
"斧","105","90009","#D23232","red"
"弓","106","90009","#D23232","red"
"拳","107","90009","#D23232","red"
"盾","108","90009","#D23232","red"
"杖","109","90009","#D23232","red"
"書本","110","90009","#D23232","red"
"衣服","201","90010","#476FD8","blue"
"鎧甲","202","90010","#476FD8","blue"
"白長袍","203","90010","#476FD8","blue"
"黑長袍","204","90010","#476FD8","blue"
"戒指","301","90011","#E5681E","yellow"
"手鐲","302","90011","#E5681E","yellow"
"項鍊","303","90011","#E5681E","yellow"
"寶珠","304","90011","#E5681E","yellow"
"耳環","305","90011","#E5681E","yellow"
