71e192701c96cdd2277601e0fdc1599b4726dc00f43e49ac4818548e544ed514,7196e34e272f8acf52cc395931907c655ae665eebc4cf506e4c3f31261168579,6cde82c6e440203e87fef24682022e1483c5bb1f2953c47a56fb40c3dc0134e3,a19491e2c9900d5f359a22733e89a86e0a17a1ac5b29148f93df52441903eda1
"1001","無法戰鬥的角色為0人以下時獲勝","100101","0"
"1001","無法戰鬥的角色為1人以下時獲勝","100102","1"
"1001","無法戰鬥的角色為2人以下時獲勝","100103","2"
"1002","戰鬥剩餘時間為1:15以上時獲勝","100201","74001"
"1002","戰鬥剩餘時間為1:10以上時獲勝","100202","69001"
"1002","戰鬥剩餘時間為1:00以上時獲勝","100203","59001"
"1002","戰鬥剩餘時間為0:50以上時獲勝","100204","49001"
"1002","戰鬥剩餘時間為0:45以上時獲勝","100205","44001"
"1002","戰鬥剩餘時間為0:40以上時獲勝","100206","39001"
"1002","戰鬥剩餘時間為0:30以上時獲勝","100207","29001"
"1003","我方的Total HP為100%以上時獲勝","100301","1000"
"1003","我方的Total HP為90%以上時獲勝","100302","900"
"1003","我方的Total HP為80%以上時獲勝","100303","800"
"1003","我方的Total HP為70%以上時獲勝","100304","700"
"1003","我方的Total HP為60%以上時獲勝","100305","600"
"1003","我方的Total HP為50%以上時獲勝","100306","500"
"1003","我方的Total HP為99%以上時獲勝","100307","990"
