358b178e44fa8715d1e791b0510de01dfb154a3c0e5258f0232b3aad5f189ee5,9d0effe25a642a07d745eb100773b6d1b28b19dd039fdb737eef59bb8dc744b1,3fa1f090d94851e0d694610e52c2d2fb9a2678b127539e52ecffa76d5758381e,af701c3447eb8ae74b44d4b5013740c9739d19c1c400da1a29f9da29da9f6d55,7d125e94a7e3ca1a9043276acb01c6f56e2c9adcf8d3829e85fb7b220ef71b33,466e71e603de2f670d8591c30b0f4e9c68db70618208a678627e5c2bba65cc86,18f629abebd43cc3452e6f423557988b745f47993f262f6b32f7e15e3ce89abc,16f0648cde51784a6f28682c97088eb9317e22b322ee2507f9d1183412af7916,bb47150bd5d612424e4c7fb411a6c79a967c791a2852004941b53b9fd0c91c44,e2009fc65fa278be5307ee3a62d56d694fa6470f114f2ade7cbb1e45cbe7b3ec,4a1541517450185b10e13f1aa508f31d4182ab1db3dcd4d831c204d161a44dc8
"-280","1","110311","idle_normal","110","1.55","5152061","1","61001","382","1"
"-210","1","131911","idle_normal","106","1.55","5152061","1","61002","145","0"
"-225","1","102311","joy_idle_normal","107","1.55","5152061","1","61003","-50","0"
"-240","1","102111","wish_idle","108","1.55","5152061","1","61004","-245","0"
"-255","1","107711","idle_normal","109","1.55","5152061","1","61005","-440","0"
"-105","1","122811","doya_idle","103","1.45","5152061","1","61006","40","0"
"-120","1","122911","idle_normal","104","1.45","5152061","1","61007","-160","0"
"-135","1","122711","idle_normal","105","1.45","5152061","1","61008","-355","0"
"","110311","210","","","","5152061","13","61009","",""
"","131911","206","","","","5152061","13","61010","",""
"","107711","209","","","","5152061","13","61011","",""
"","122711","205","","","","5152061","13","61012","",""
"","122811","203","","","","5152061","13","61013","",""
"","122911","204","","","","5152061","13","61014","",""
"","102111","208","","","","5152061","13","61015","",""
"","102311","207","","","","5152061","13","61016","",""
"160","2","2","empty","210","0.75","5152061","5","61017","-110","0"
"-45","3","3","empty","210","1","5152061","5","61018","352","0"
"1","1","1","","0","1","5152061","31","61019","0",""
"1","2","2","","0","0","5152061","31","61020","0",""
"1","3","3","","0","1","5152061","31","61021","0",""
"1","11","11","","0","0","5152061","31","61022","0",""
"","0","0","","","","5152061","91","61023","",""
"","3","telop_1","","","","5152061","37","61024","",""
"","0","0","","0","","5152061","102","61025","",""
"","1","0","","","","5152061","93","61026","",""
"1","110311","callout_in","","0","0.2","5152061","3","61027","callout_loop","0"
"","0.1","0","","","","5152061","93","61028","",""
"","vo_rag","vo_rag_6001","","0","","5152061","21","61029","0",""
"","3","1001_in","","0","0","5152061","3","61030","",""
"","1.9","1","","","","5152061","93","61031","",""
"","3","1001_mid","","0","0","5152061","3","61032","",""
"","","","","","","5152061","92","61033","",""
"","3","1001_out","","0","0","5152061","3","61034","",""
"","0.2","0","","","","5152061","93","61035","",""
"","110311","doya_idle_joy1R","","1","0.3","5152061","3","61036","",""
"1","102311","gutsB_in_joy","","0","0.2","5152061","3","61037","gutsB_talk_joy","0"
"","102111","wish_talk","","1","0.2","5152061","3","61038","",""
"1","131911","hello_2","","0","0.2","5152061","3","61039","idle_normal_joy","0"
"","107711","sad_talk_joy","","1","0.2","5152061","3","61040","",""
"1","122811","handsup_in","","0","0.2","5152061","3","61041","handsup_loop","0"
"","122911","leanforward_joy","","1","0.2","5152061","3","61042","",""
"","122711","talk_normal","","1","0.2","5152061","3","61043","",""
"","vo_rag","vo_rag_6002","","0","","5152061","21","61044","0",""
"0","3","-110","","142","","5152061","2","61045","0",""
"","3","1002_in","","0","0","5152061","3","61046","",""
"","1.9","1","","","","5152061","93","61047","",""
"","3","1002_mid","","0","0","5152061","3","61048","",""
"","","","","","","5152061","92","61049","",""
"","3","1002_out","","0","0","5152061","3","61050","",""
"","102311","gutsB_idle","","1","0.2","5152061","3","61051","",""
"","102111","wish_idle","","1","0.2","5152061","3","61052","",""
"","131911","idle_normal","","1","0.2","5152061","3","61053","",""
"","107711","sad_idle_normal","","1","0.2","5152061","3","61054","",""
"","122811","cool_idle","","1","0.2","5152061","3","61055","",""
"","122911","idle_normal_joy1R","","1","0.2","5152061","3","61056","",""
"","122711","wish_idle","","1","0.2","5152061","3","61057","",""
"1","110311","gutsB_in","","0","0.2","5152061","3","61058","gutsB_talk","0"
"","vo_rag","vo_rag_6003","","0","","5152061","21","61059","0",""
"1","110311","大朋友也很有精神，非常好！\n馬上開始做體操吧！","0","7","0","5152061","11","61060","1","15"
"","0","","","0","","5152061","91","61061","0",""
"","bgm_MC175B","bgm_MC175B","","","","5152061","25","61062","",""
"","2","1","","","","5152061","32","61063","",""
"1","110311","kids_gungun_in","","0","0.2","5152061","3","61064","kids_gungun_loop","0"
"","vo_rag","vo_rag_6004","","0","","5152061","21","61065","0",""
"0","110311","首先把雙手朝向天空\n用力伸出去──！","1.7","7","0","5152061","11","61066","1","0"
"","0.1","0","","","","5152061","93","61067","",""
"1","131911","kids_gungun_in","","0","0.2","5152061","3","61068","kids_gungun_loop","0"
"1","102311","kids_gungun_in","","0","0.2","5152061","3","61069","kids_gungun_loop","0"
"1","102111","kids_gungun_in","","0","0.2","5152061","3","61070","kids_gungun_loop","0"
"1","107711","kids_gungun_in","","0","0.2","5152061","3","61071","kids_gungun_loop","0"
"1","122811","kids_gungun_in","","0","0.2","5152061","3","61072","kids_gungun_loop","0"
"1","122911","kids_gungun_in","","0","0.2","5152061","3","61073","kids_gungun_loop","0"
"1","122711","kids_gungun_in","","0","0.2","5152061","3","61074","kids_gungun_loop","0"
"","5.2","0","","","","5152061","93","61075","",""
"","61066","","","0","","5152061","91","61076","0",""
"","vo_rag","vo_rag_6005","","0","","5152061","21","61077","0",""
"0","102311","用力、用力！\n啊哈哈，盡情活動身體真開心呢！","2.3","8","13","5152061","11","61078","1","60"
"","7.8","0","","","","5152061","93","61079","",""
"","61078","","","0","","5152061","91","61080","0",""
"","110311","kids_furifuri","","1","0.3","5152061","3","61081","",""
"","vo_rag","vo_rag_6006","","0","","5152061","21","61082","0",""
"0","110311","接著是讓腰部左右擺動！\n動作要可愛，而且要有節奏感喔！","1.7","7","21","5152061","11","61083","1","17"
"","0.1","0","","","","5152061","93","61084","",""
"","131911","kids_furifuri","","1","0.3","5152061","3","61085","",""
"","102311","kids_furifuriB","","1","0.3","5152061","3","61086","",""
"","102111","kids_furifuri","","1","0.3","5152061","3","61087","",""
"","107711","kids_furifuriB","","1","0.3","5152061","3","61088","",""
"","122811","kids_furifuri","","1","0.3","5152061","3","61089","",""
