bfc5a8de4a9b7ec5c570681954c2722271f370e8f513a9b42a57a20d24a0dc69,43e4da37493dd5fa7e9507bc2436fb1480303ed347416bb7f154715a9d4292e1,4ce3beb11d89f47ad98b303bb8f131fdb9efc8990edfdea1bf6432baf3acd01c,f6c5c2ba4afd7dbb4c08e317975fec5cdda1b23ef254ed33d2f482ea94a73e67,dc69155e0c917bf52e58b122d0aebea390c92e41999e226fa7aa968fa1dcecc3,c748aad33064e2445115b69af3cbedbafc38f0434bf1a7e02ce138ba9e256aee,60a9f7831ea24265675149bff62d61d7e4b17d5a9b45808c8b651ce29ac6944f,c38e934910c7e129a33b8fb8aa2e1a29eee80d0b25602b25fadfa2a07e4e59d0,eeba0ed05735992ceda959f7cfeaf0db11d9d9ed443e97b2ff9605c622011273,5779a82011848503a507025749c6ca676b753be1c9f26abb9ca52b1926f7e04d
"1","1","11","","0","20023105","","1","0","5038600"
"2","0","12","高中部1年級　琪愛兒","0","20023105","理應繼承至次世代的新語言","1","0","0"
"3","0","13","高中部2年級　克蘿依","0","20023107","我超級不會寫作文","1","0","0"
"4","0","14","高中部3年級　優妮","0","20023109","直至飛翔為止","1","0","0"
"5","2","21","","0","20023111","","2","0","5038601"
"6","0","22","紀錄人　秋乃","0","20023111","靈光一閃了呢！","2","0","0"
"7","0","23","紀錄人　珠希","0","20023112","組合喵！","2","0","0"
"8","0","24","紀錄人　優花梨","0","20023113","我寫過這種東西嗎…？","2","0","0"
"9","0","25","紀錄人　美冬","0","20023114","不能放任繼續這樣下去了","2","0","0"
"10","0","26","總結","0","20023115","特別講座結束了","2","0","0"
"11","2","31","","1","20023115","","3","0","5038602"
"12","0","32","浪漫繼承計畫","1","20023115","開發記—考察","3","0","0"
"13","0","33","彌補不足計畫","2","20023115","開發記—試作機完成","3","0","0"
"14","0","34","畫龍點睛計畫","3","20023115","開發記—最終工程","3","0","0"
"15","3","35","","3","20023115","","3","2022/05/25 16:00:00","5038603"
