cc35381ee5899ebb1291b18a41dfa0271365f0d31c01bebf4db6a356dde8d5e6,501a46d15588af5d71a28fbcf64877b062f8a95bf8e51c2e7fa307a7ba4a5b4c,676833df57943677bed1b02e16b5f37adec97d5cfd39ac40130fae89ecea94d3,80d24756d9e14ba66572c6f104bc14e5fd36c46e7e26455e375884921da9086b,fe07e288d54e555ce9422e258273962d09fae48da5053ba1e1af0dc2fe8ddfde,1895ebdcff9ce47673992bf8e27aac81b3f334c066efb50b4d7530541b8df1b6,130b8de03a8e61f3bb52cc45e98e668b1cbaac42912569f828af64df718c1b17,2fbcde09a47d35fb0a9dff100bb25823b091584f75cb076481b87a3e7d18c243
"10001101","10001101","塔爾格姆地區","bgm_M32","bgm_M32","10001","10001","10001"
"10002101","10002101","馬席納地區","bgm_M98","bgm_M98_2","10002","10002","10002"
"10003101","10003101","蘭德索爾郊外","bgm_M106","bgm_M106","10003","10003","10003"
"10004101","10004101","塔帕斯海灘 周邊","bgm_M112","bgm_M112","10004","10004","10004"
"10005101","10005101","伊爾席翁的孤島","bgm_M121","bgm_M121","10005","10005","10005"
"10006101","10006101","王城蘭德索爾","bgm_M128","bgm_M128","10006","10006","10006"
"10007101","10007101","蘭德索爾近郊","bgm_M135","bgm_M135","10007","10007","10007"
"10008101","10008101","蘭德索爾近郊","bgm_M121","bgm_M121","10008","10008","10008"
"10009101","10009101","聖誕節","bgm_M171","bgm_M171","10009","10009","10009"
"10010101","10010101","往神殿的參道","bgm_M121","bgm_M121","10010","10010","10010"
"10011101","10011101","情人節","bgm_M189","bgm_M189","10011","10011","10011"
"10012101","10012101","王城蘭德索爾","bgm_M206","bgm_M206","10012","10012","10012"
"10013101","10013101","馬納歷亞","bgm_M215","bgm_M215","10013","10013","10013"
"10014101","10014101","塔爾格姆地區","bgm_M32","bgm_M32","10014","10014","10014"
"10015101","10015101","大江戶大街","bgm_M189","bgm_M189","10015","10015","10015"
