5cec602654222bb3062cfe0635a9ace0883b355c7cbf240ec602697365489c76,de503f3ce2a9ff121e6bda29ba3cd07dc648c1d5166735a3f2d7f2a8a9ea0bd0,9ca1bf921db025f5f6568a899416633092d4e998c5ddd50dff2660700c5524c0,87f146937646abe02649592cc65f5311461d9812e28b6adcfd1d88b3a4384e53,8c2e61550fe06b3d7b83dcb7c2192a13b2945dae39a0c7a80d0d719d30944eab
"1","990001","-4.5","-7","30010001"
"1","990001","-21.5","12","30010003"
"1","990001","-21.5","-3","30010004"
"1","1","-21.6","-5.8","30010007"
"1","1","-21.6","-4.4","30010008"
"1","1","-8.6","-16.7","30010029"
"1","1","-13","-7","30010038"
"1","990002","2.9","-5.5","30010047"
"1","1","-17.6","-8.9","30010055"
"1","1","-19","-6.6","30010056"
"1","1","-18.4","-5","30010060"
"1","3","-20.4","0.6","30010061"
"1","3","-17.2","-3.9","30010062"
"1","1","-14.9","-4.1","30010063"
"1","1","-17","2.2","30010066"
"1","1","-18.5","2.2","30010068"
"1","1","-15.4","2.2","30010070"
"1","3","-21.7","-9.6","30010071"
"1","1","-21.6","-11.9","30010073"
"1","3","-20","-12","30010074"
"1","3","-21.7","-1.9","30010077"
"1","3","-13.8","-4.9","30010079"
"1","2","-3.6","-17","30010081"
"1","2","-4.7","-15","30010083"
"1","3","-16.8","-13.9","30010085"
"1","3","-11.5","-7.1","30010089"
"1","2","-8.7","-8.1","30010091"
"1","2","-8.7","-5.7","30010094"
"1","2","-4.7","-16.3","30010100"
"1","2","-0.2","-13.8","30010104"
"1","2","2.3","-13.9","30010106"
"1","2","1","-15.2","30010107"
"1","2","2.1","-16.6","30010109"
"1","2","-0.1","-16.5","30010110"
"1","2","-2","-20","30010112"
"1","2","-0.8","-20","30010113"
"1","2","2","-20","30010115"
"1","2","3.7","-20","30010116"
"1","3","0.6","-19.9","30010117"
"1","3","-2.9","-18.2","30010119"
"1","3","-3","-19.5","30010120"
"1","991002","-2.5","-15","30010125"
"1","991001","-2.5","-16.7","30010126"
"1","991001","-21.4","-8.5","30010130"
"1","3","4.8","-18.4","30010134"
"1","3","5.8","-17","30010136"
"1","2","6.9","-17.1","30010137"
"1","3","8","-17","30010138"
"1","2","9.5","-17","30010139"
"1","2","5.3","-13.5","30010145"
"1","2","5.3","-12.1","30010146"
"1","3","8.7","-15.5","30010147"
"1","2","8.8","-14.3","30010148"
"1","3","8.8","-13","30010149"
"1","2","10.2","-12.3","30010150"
"1","2","8.4","-10.8","30010152"
"1","2","10.2","-10.7","30010155"
"1","1","-16.1","-6.2","30010156"
"1","2","6.8","-7.3","30010160"
"1","3","7.9","-6.4","30010161"
"1","1","6.4","-6","30010162"
"1","3","2","-6","30010163"
"1","1","4.6","-6","30010164"
"1","1","3","-2.8","30010166"
"1","1","5.3","-2.2","30010168"
"1","3","5.3","-0.5","30010169"
"1","1","-12.2","-4.9","30010170"
"1","3","-10.9","-4.9","30010171"
"1","1","8","-3.8","30010173"
"1","2","8.7","-2.6","30010174"
"1","1","8","-1.5","30010175"
"1","2","8.7","-0.3","30010176"
"1","1","7.9","0.9","30010177"
"1","2","3.3","-1.9","30010178"
"1","2","-0.8","-1.6","30010181"
"1","1","0.4","1","30010182"
"1","2","0.4","2.4","30010183"
"1","1","0.4","3.6","30010184"
"1","1","1.3","6.4","30010186"
"1","3","1.3","8","30010187"
"1","1","1.3","9.5","30010188"
"1","2","4.9","5.4","30010189"
"1","1","5.8","6.4","30010190"
"1","2","4.9","7.5","30010191"
"1","2","5.8","8.6","30010192"
"1","1","5.7","3.8","30010193"
"1","3","0.4","11.1","30010194"
"1","2","0.2","14","30010195"
"1","3","1.4","15","30010196"
"1","2","2.4","14.1","30010197"
"1","1","3.5","15.1","30010198"
"1","2","4.3","14","30010199"
"1","1","6.3","12","30010200"
"1","2","6.3","10.3","30010201"
"1","1","-2.8","12.1","30010202"
"1","3","-1.7","9.1","30010203"
"1","1","-3","9","30010204"
"1","3","-4.7","9","30010205"
"1","2","-1.7","15.9","30010206"
"1","2","-3.2","16.8","30010207"
"1","2","-4.5","15.8","30010208"
"1","3","-2.8","13.1","30010209"
"1","1","-8.8","10.2","30010210"
"1","2","-7.5","10.1","30010211"
"1","1","-5.9","10","30010212"
"1","3","-8.7","15.1","30010213"
"1","3","-7.6","16.2","30010214"
"1","3","-6.3","15.3","30010215"
"1","1","-10.4","15.9","30010216"
"1","3","-11.6","16.9","30010217"
"1","1","-13","15.9","30010218"
"1","2","-11.6","11.1","30010219"
"1","3","-10.1","11.1","30010220"
"1","3","-14.3","13.9","30010221"
"1","1","-15.5","15","30010222"
"1","3","-17.3","14.3","30010223"
