b281cbafb924166fcfb89579b5eb506b9a26d8e492c28f088f25727f6506c81b,af2531f1d035a6ee7c0ef02d1b461866b9b742768eddb246ace083b2b6c4917d,8e57d7ddfc1a258c15d827ff43a8a1d01f3dda07bd9be718d78c54d226cf8bea,890d64d053af07e4fe7c1ebd384bd6ec80da785e02a8ef68ccaf10886a602d05,8f525411748507372458ecf2543b3e02dbb7a0e761d0785a5b0cf3acd1f427b0,1493e0e9665963c119d7f40f194fb5eb6e0a7606b978c45b62907998bccaa77a,42a08a40bed3b3f43ed4586cac286d05368a8aefccbcb919e6e056491d177252,c2d8eb89c03f3d5b7cf014b6b36fc7676f37a8d1c25144a145576c0ce96c42ae,ee7e9d7297999485497659489a997cbe28b6285b50f38a60e066c2e7b04f8f9a,c6a93a50c02b3fab093dcfd19ed30e79083705727b3ce420d9e91ee46b23a8af,f7b8195b77263b3c9f7c868b17964ae2f2691c6ce6cbd4017014fc9960c43fe3,e9410d6de9382b5f3c8e594aa01e4627b15edcacbc8dda2fad77f12771957e41,575380353834c418631159b6069357937e59083389dec4a148a0e1db2b530da2,c9a629b430815da2508197d8f4487184a8e152da7a573e9f2b5cb143b79dabdf,0c63aa07fb7d1811ec5a9f342c05c917f472ef12fbebbe8bff89487c9708c964,48cf059021186d33990730a0b653f17170e0eddf30ccb21e4ac3fb78218039f5,312e41e2f29d6518c4173785e10ebec1d732937def9447ab31700e1bc855cb74,7986b66adea872852cc09a50e08bcfd2531e4605380dbb1f89281dc800a05d8f,018af5b4242967a0675ec1cb10aa2b833425a46bc2e05a079abb9078dae30b9c
"140000","90005","500","32001","140001","2","10","500000","90008","5","94002","1","12","1","2","1","4","2","4"
"140001","94002","200","32001","25001","8","500000","0","91002","10","0","2","0","1","1","1","4","12","2"
"140000","90005","500","32001","140001","2","5","750000","90008","15","94002","1","12","2","2","1","4","2","4"
"140001","94002","300","32001","25001","8","750000","0","91002","20","0","2","0","2","1","1","4","12","2"
"140000","90005","500","32001","140001","2","5","750000","90008","25","94002","1","12","2","2","1","4","2","4"
"140001","94002","500","32001","25001","8","750000","0","91002","30","0","2","0","3","1","1","4","12","2"
"140000","90005","750","32001","140001","2","5","1000000","90008","35","94002","1","12","3","2","1","4","2","4"
"140001","94002","1000","32001","25001","2","1000000","0","90008","40","0","2","0","4","1","1","4","12","2"
"140000","90005","1250","32001","140001","2","5","2000000","90008","45","94002","1","12","4","2","1","4","2","4"
"140001","94002","1500","32001","25001","2","2000000","0","90008","50","0","2","0","4","1","1","4","12","2"
"140000","90005","500","32002","140001","2","10","500000","90008","5","94002","1","12","1","2","1","4","2","4"
"21951","25001","200","32002","140001","8","1","500000","91002","10","94002","1","12","1","2","1","2","2","4"
"140000","90005","700","32002","140001","2","5","750000","90008","15","94002","1","12","2","2","1","4","2","4"
"140001","94002","300","32002","25001","8","750000","0","91002","20","0","2","0","2","1","1","4","12","2"
"140000","90005","700","32002","140001","2","5","750000","90008","25","94002","1","12","2","2","1","4","2","4"
"140001","94002","500","32002","25001","8","750000","0","91002","30","0","2","0","3","1","1","4","12","2"
"140000","90005","1000","32002","140001","2","5","1000000","90008","35","94002","1","12","3","2","1","4","2","4"
"140001","94002","1000","32002","25001","2","1000000","0","90008","40","0","2","0","4","1","1","4","12","2"
"140000","90005","1250","32002","140001","2","5","2000000","90008","45","94002","1","12","4","2","1","4","2","4"
"140001","94002","1500","32002","25001","2","2000000","0","90008","50","0","2","0","4","1","1","4","12","2"
"140000","90005","500","32003","140001","2","10","500000","90008","5","94002","1","12","1","2","1","4","2","4"
"21951","25001","200","32003","140001","8","1","500000","91002","10","94002","1","12","1","2","1","2","2","4"
"140000","90005","700","32003","140001","2","5","750000","90008","15","94002","1","12","2","2","1","4","2","4"
"140001","94002","300","32003","25001","8","750000","0","91002","20","0","2","0","2","1","1","4","12","2"
"140000","90005","700","32003","140001","2","5","750000","90008","25","94002","1","12","2","2","1","4","2","4"
"140001","94002","500","32003","25001","8","750000","0","91002","30","0","2","0","3","1","1","4","12","2"
"140000","90005","1000","32003","140001","2","5","1000000","90008","35","94002","1","12","3","2","1","4","2","4"
"140001","94002","1000","32003","25001","2","1000000","0","90008","40","0","2","0","4","1","1","4","12","2"
"140000","90005","1250","32003","140001","2","5","2000000","90008","45","94002","1","12","4","2","1","4","2","4"
"140001","94002","1500","32003","25001","2","2000000","0","90008","50","0","2","0","4","1","1","4","12","2"
"140000","90005","500","32004","140001","2","10","500000","90008","5","94002","1","12","1","2","1","4","2","4"
"21951","25001","200","32004","140001","8","1","500000","91002","10","94002","1","12","1","2","1","2","2","4"
"140000","90005","700","32004","140001","2","5","750000","90008","15","94002","1","12","2","2","1","4","2","4"
"140001","94002","300","32004","25001","8","750000","0","91002","20","0","2","0","2","1","1","4","12","2"
"140000","90005","700","32004","140001","2","5","750000","90008","25","94002","1","12","2","2","1","4","2","4"
"140001","94002","500","32004","25001","8","750000","0","91002","30","0","2","0","3","1","1","4","12","2"
"140000","90005","1000","32004","140001","2","5","1000000","90008","35","94002","1","12","3","2","1","4","2","4"
"140001","94002","1000","32004","25001","2","1000000","0","90008","40","0","2","0","4","1","1","4","12","2"
"140000","90005","1250","32004","140001","2","5","2000000","90008","45","94002","1","12","4","2","1","4","2","4"
"140001","94002","1500","32004","25001","2","2000000","0","90008","50","0","2","0","4","1","1","4","12","2"
