c9ba201ca7eaee69aa82356cc41354b3e476fe2a0443aa64be67709a0478961c,3fe3e5eb5ed929324c9fe001c781628ef5ce36efcd10186a3202ce2e2294d23c,e5fd1e021389643ea92ee7a18231cc5b490cc85558fddfbf46de6b2613b672c2,cf42a63e17efe21c856b7d5e9b623cb0906305d111632f04b7b3c4cf518e7bdd,02cccca2480be347e7a98e4188501609aca30d7e3765246dae2f5c98c92c2c25,7e65224fe831826c663417033880f5c644f4dfc4c6e8f208240fd3160ad375e2,44beafc47d22099c56528ba4dd397f446df310abec0ca6060ab0e57c41a9b52b,2525b381898a1f28ac0a0d6ee4385db154af6dfdde4fb473c2513bc9794f30c2,2d908609a9d24464d14c95a0d02f0180a393621377a864cc589b9b568ee17559,085efdb6295d1d4e07fc1524b72e4783a80611f6a5e1e213f0193f894085dda9,178f45d6d485c6fafe62825a8dd4e81cdaadb0ccb5c08ed4bb07c8b4ff31cc7d,a334ce445b98391af5816a1fa3a9dfa846cea30a316af6532b3785b1969cdc06,760092f9a33eb89af3dafe5766423fd3da8101f67da4821d05f38b874fdd239f
"bgm_M33","0","2030/03/26 14:59:00","0","bgm_M33","1","0","2018/08/24 16:00:00","1","0","10001","380000","380000"
"bgm_M99","0","2030/03/26 14:59:00","0","bgm_M99","1","0","2018/10/01 16:00:00","2","0","10002","380000","380000"
"bgm_M107","0","2030/03/26 14:59:00","0","bgm_M107","1","0","2018/10/30 16:00:00","3","0","10003","380000","380000"
"bgm_M113","0","2030/03/26 14:59:00","0","bgm_M113","1","0","2018/11/29 16:00:00","4","0","10004","380000","380000"
"bgm_M121","0","2030/03/26 14:59:00","0","bgm_M121","1","0","2019/01/01 16:00:00","5","0","10005","380000","380000"
"bgm_M128","0","2030/03/26 14:59:00","0","bgm_M128","1","0","2019/01/30 16:00:00","6","0","10006","380000","380000"
"bgm_M135","0","2030/03/26 14:59:00","0","bgm_M135","1","0","2019/03/04 16:00:00","7","0","10007","380000","380000"
"bgm_M162","0","2030/03/26 14:59:00","0","bgm_M162","1","0","2019/04/01 16:00:00","8","0","10008","380000","380000"
"bgm_M171","0","2030/03/26 14:59:00","0","bgm_M171","1","0","2019/04/30 16:00:00","9","0","10009","380000","380000"
"bgm_M182","0","2030/03/26 14:59:00","0","bgm_M182","1","0","2019/05/31 16:00:00","10","0","10010","380000","380000"
