cf1cf755cd367c92e743db00a4ae6aa95e84d6dd30681e52653ca4148ef20217,708d560772d9ac44add3695d6dd8099983cdff07c3b88d20e2fc539ceda65c10,25a62b2c93d3b69dab60686b06bbe7fd488ea75fa05fcd70b2af646e9fcd18c4,166ecd714c28608357d4c282933eea8e63187ba688e26a75fa1cf79990b06231,497554bd1955ec204394d838112cd98982fb492bdee5620b011074ec03836f22,fe989e8101d12ef93a915d0888bc63482210def3be31dc20cab1c525ae0d99f9,1e6d113aca8bfbca3069bdc4f3e59239e0af1817925abdb0c4cd004312ef559d,1a1ed953ee15f6b6813727b1b567f8b7b3df06b0ef9a67a6985fc392ba7cb2c4,0d97184b1951389ee9fa5605b0fb0143a10a409df1d06fa09f86ac1f4c54cc7f,5ad93764ae223a863f6193c1c913cf1763d10d35721b71ecb1381a7626f52590
"10000","0","1","0","90043","10","90001","1","12000","30000"
"10000","0","2","0","90047","20","90002","2","24000","30000"
"10000","0","3","0","90047","20","90002","3","24000","30000"
"10000","0","4","0","90047","20","90002","4","24000","30000"
"10000","0","5","0","90047","20","90002","5","24000","30000"
"10000","0","6","0","90047","20","90002","6","24000","30000"
"10000","0","7","0","90047","20","90002","7","24000","30000"
"10000","0","8","0","90047","20","90002","8","24000","30000"
"10000","0","9","0","90047","20","90002","9","24000","30000"
"10000","0","10","1","90047","20","90002","10","24000","30000"
"10000","90011","11","2","90051","40","90003","11","48000","30000"
"10000","90011","12","3","90051","40","90003","12","48000","30000"
"10000","90011","13","4","90051","40","90003","13","48000","30000"
"10000","90011","14","5","90051","40","90003","14","48000","30000"
"10000","90011","15","6","90051","40","90003","15","48000","30000"
"10000","90011","16","7","90051","40","90003","16","48000","30000"
"10000","90011","17","8","90051","40","90003","17","48000","30000"
"10000","90011","18","9","90051","40","90003","18","48000","30000"
"10000","90011","19","10","90051","40","90003","19","48000","30000"
"10000","90011","20","11","90051","40","90003","20","48000","30000"
"10000","90015","21","12","90055","60","90004","21","72000","30000"
"10000","90015","22","13","90055","60","90004","22","72000","30000"
"10000","90015","23","14","90055","60","90004","23","72000","30000"
"10000","90015","24","15","90055","60","90004","24","72000","30000"
"10000","90015","25","16","90055","60","90004","25","72000","30000"
"10000","90015","26","17","90055","60","90004","26","72000","30000"
"10000","90015","27","18","90055","60","90004","27","72000","30000"
"10000","90015","28","19","90055","60","90004","28","72000","30000"
"10000","90015","29","20","90055","60","90004","29","72000","30000"
"10000","90015","30","21","90055","60","90004","30","72000","30000"
"10000","90015","31","22","90059","80","90005","31","96000","30000"
"10000","90015","32","23","90059","80","90005","32","96000","30000"
"10000","90015","33","24","90059","80","90005","33","96000","30000"
"10000","90015","34","25","90059","80","90005","34","96000","30000"
"10000","90015","35","26","90059","80","90005","35","96000","30000"
"10000","90015","36","27","90059","80","90005","36","96000","30000"
"10000","90015","37","28","90059","80","90005","37","96000","30000"
"10000","90015","38","29","90059","80","90005","38","96000","30000"
"10000","90015","39","30","90059","80","90005","39","96000","30000"
"10000","90015","40","31","90059","80","90005","40","96000","30000"
"10000","90017","41","33","90063","120","90005","41","144000","30000"
"10000","90017","42","35","90063","120","90005","42","144000","30000"
"10000","90017","43","37","90063","120","90005","43","144000","30000"
"10000","90017","44","39","90063","120","90005","44","144000","30000"
"10000","90017","45","41","90063","120","90005","45","144000","30000"
"10000","90017","46","43","90063","120","90005","46","144000","30000"
"10000","90017","47","45","90063","120","90005","47","144000","30000"
"10000","90017","48","47","90063","120","90005","48","144000","30000"
"10000","90017","49","49","90063","120","90005","49","144000","30000"
"10000","90017","50","51","90063","120","90005","50","144000","30000"
"10000","90019","51","53","90067","150","90006","51","180000","30000"
"10000","90019","52","55","90067","150","90006","52","180000","30000"
"10000","90019","53","57","90067","150","90006","53","180000","30000"
"10000","90019","54","59","90067","150","90006","54","180000","30000"
"10000","90019","55","61","90067","150","90006","55","180000","30000"
"10000","90019","56","63","90067","150","90006","56","180000","30000"
"10000","90019","57","65","90067","150","90006","57","180000","30000"
"10000","90019","58","67","90067","150","90006","58","180000","30000"
"10000","90019","59","69","90067","150","90006","59","180000","30000"
"10000","90019","60","71","90067","150","90006","60","180000","30000"
"10000","90021","61","74","90071","180","90007","61","216000","30000"
"10000","90021","62","77","90071","180","90007","62","216000","30000"
"10000","90021","63","80","90071","180","90007","63","216000","30000"
"10000","90021","64","83","90071","180","90007","64","216000","30000"
"10000","90021","65","86","90071","180","90007","65","216000","30000"
"10000","90021","66","89","90071","180","90007","66","216000","30000"
"10000","90021","67","92","90071","180","90007","67","216000","30000"
"10000","90021","68","95","90071","180","90007","68","216000","30000"
"10000","90021","69","98","90071","180","90007","69","216000","30000"
"10000","90021","70","101","90071","180","90007","70","216000","30000"
