13ba09adcefdae0f52fa8e1291e51340d14fdfe94b1493f1be7d163a9c8a34b9,e7755ee54f0c98c0154f524bd6d047249be8628ffe46d5fc498f7c73ce758944,28744d23b4e41765f8c0c916d7e153c9f411c129bb2ec7e43816b89252d0a83a
"20114","118301","180701"
"20115","118301","180701"
"20116","118401","180701"
"20117","118401","180701"
"20118","118401","180701"
"20123","120501","180801"
"20124","120401","180801"
"20125","120601","180801"
"20126","120401","180801"
"20127","120501","180801"
"20128","120601","180801"
"30157","120601","180801"
"20129","121801","180901"
"20130","121801","180901"
"20131","121701","180901"
"20132","121801","180901"
"20133","121701","180901"
"20134","121701","180901"
"20135","121701","180901"
"20148","124301","181001"
"20149","124301","181001"
"20150","124401","181001"
"20151","124401","181001"
"20167","128101","181101"
"20168","128101","181101"
"20169","128101","181101"
"20170","128101","181101"
"20171","128201","181101"
"20172","128201","181101"
"20175","128101","181101"
