cb7cf9b342304402dbdd87d4a2f60f4ea4d1595387f4c701e295aa3c7beacc6e,e3be23becce67f11239d12372f6f41689b8e9d7bf64b52c0ad14f01f2a057209,b3774bcab0446d8160e2108779f0c4eff543fb597bbc1513971a44451ef55cdd,bc610c7d31d7e3163fcf5bd248422a57cf2096c1207bc1cfbeff6d28cc4dcab2,e7d9a5ecc63e7cc9a222fd41ac661af682005b673e4d5ff99718f13cdc9c0514,e1e3f3a6858f893118c8399fa1488de1478aecee02c1a0448197df3913433cf0
"1","301","10201","102013011","5201087","1"
"1","402","10201","102014021","5201081","1"
"0","402","10201","102014022","5201082","101"
"1","501","10201","102015011","5201066","1"
"2","501","10201","102015012","5201067","1"
"3","501","10201","102015013","5201068","1"
"4","501","10201","102015014","5201069","1"
"5","501","10201","102015015","5201070","1"
"6","501","10201","102015016","5201071","1"
"7","501","10201","102015017","5201072","1"
"8","501","10201","102015018","5201073","1"
