ae46bcb19105b00d95d2734554086836c87c10037b7701926262cf511b306a02,f08a63a88f15d3f308d86c415c111ef400324ec177db517767f307c037255f06,952fc6e95fe613def913dd38f0fa5de579ee66bc966faddec025d4e1e86d5fdd,b0b8e202a2de5b2a046e5bcb5dcf03f16fa8eb068dc44358ea5d127838216fca,0b628e430989fa27eadcb671d2b18aaddd00ad8c1139d860cd148f628f0867a4,8a293a16162d20cf2ac644c7eca5e40d4fa00a6846fc0f2608edecabdb271ca5,c03006f37eb01495fd15f0b702ad73b1ca57f1901550d3288e3f96cee2f4af2b,7fe5f0c9826f2a2fd0e878050c5d501696d8aaff56bed2956ced4a7b3f9f723e,b766eb989777eb319c37b44403da0c072c98b5edad64d2e20db2f9863ad40eeb,5d7a165038ba8fb8e56453b5c175b10348612cf2a111de058ea054a21952d157,fde91d55643e98cb1e4752201e4fa219bf19c7a14ff82ea506c1f1284e05ba2e,de70ab9afd3cf6d82ff4dea581550809af0cf5ab0af7dd5667195bb646f8136a,ddf6a535cc5608a1a23bc866b70c8dbe477c5f80db2574c1e94693d12893925d,e40f6212b637d6edfd0adef77b1063cefb6161756766c1fe68fc9e63681146a8,201345774ed18003748402d1f98944415fc17ad1b8424925be6ddd0bcd26cb6f,df1645725d8eabb97a1cd41ea96e14373e970775385902509785aae2b00ee85f,cf9ef6d70a85ee0d43a449ce4f0e5e741281e3a2d89c3e3dfa617da54936dbc7,83836df38159af48d91a5972892747538b02ef0828f321e405ad88d5644063e8,bbe93d2b7674e9158752f30b804bb8172b4fb3952ebc248d582305f1164e6808,2b6d498a74fa2f8fe061a33fc293c956cef7359556246dcc56cc405b42b10ce3,2ec71dbb78522538e360dabdb1a2229e3902ed880084186ee75ef97748c4bf42
"0","最終之戰","0","90","0","0","0","51200001","901000105","100182","512000011","901000106","0","0","0","901000103","0","0","2000001","901000102","0"
"512000022","新手教學戰鬥","bgm_M06","90","0","0","bgm_M06","51200002","901000104","100021","512000021","0","100022","0","bgm_M06","901000202","0","bgm_M06","2000002","901000201","0"
"512000022","新手教學戰鬥","bgm_M06","90","0","0","bgm_M06","51200006","901000104","100021","512000021","0","100022","0","bgm_M06","901000202","0","bgm_M06","2000006","901000201","0"
"0","ADV戰鬥","bgm_M17_03_and_M29","90","0","0","0","52003005","901000303","100671","520030051","0","0","0","bgm_M17","901000302","0","0","2003005","901000301","0"
"0","ADV戰鬥","bgm_M06","90","0","0","0","52004002","901000403","100011","520040021","0","0","0","bgm_M06","901000402","0","0","2004002","901000401","0"
"0","席茲之戰","bgm_M47","90","0","0","0","55001004","0","81000111","550010041","0","0","0","bgm_M47","0","0","0","5001004","901000501","0"
"0","席茲之戰","bgm_M47","90","0","0","0","55001006","901000502","81000106","550010041","0","0","0","bgm_M47","901000501","0","0","5001006","901000401","0"
"0","阿爾瑪之戰","bgm_M102","90","0","0","0","55002005","901000603","81000205","550020051","0","0","0","bgm_M102","901000602","0","0","5002005","901000601","0"
"0","阿爾瑪之戰","bgm_M102","90","0","0","0","55002006","901000603","81000206","550020052","0","0","0","bgm_M102","901000602","0","0","5002006","901000601","0"
"0","加爾格之戰","bgm_M109","90","0","0","0","55003006","901000702","81000305","550030061","901000703","0","0","bgm_M109","901000701","0","0","5003006","901000601","0"
"0","泳裝戰鬥","bgm_M116","90","0","0","0","55004005","901000802","100931","550040051","901000803","0","0","bgm_M116","901000801","0","0","5004005","901000601","0"
"0","島鯨戰鬥","bgm_M124","90","0","0","0","55005006","901000902","81000505","550050061","901000903","0","0","bgm_M124","901000901","901000904","0","5005006","901000906","0"
"0","情人節頭目戰","bgm_M192","90","0","0","0","55011005","901001002","81001105","550110051","901001003","0","0","bgm_M192","901001001","0","0","5011005","901000906","0"
"0","情人節頭目戰","0","90","0","0","0","55011006","901001003","81001106","550110051","0","0","0","0","901001002","0","0","5011006","901001001","0"
