60efb8f841700634dd3150549aa46b879b66e76880c1a23e19ceed9555554fb8,d013e1418f4d29e9262265656f306c3edc0ced272091f938ccbb14cfdbd2c61e,28eeb8cc12e66e0899a8911b3c3d561b8aaafd0538d8533c4598df9c5109a1ef,dc71f0498a2d6816d1302c69352ed55632dce53ebb68a6fd29beb4dd815d81c6,773376b4d7c7aab78d9ce5387d5fbc1259c4ef13b1666d6f88354016b29c8ad4,1fd793d0cc2b8e4fce266c390310c6ded7b9cc6560693be8ccb66d33c05197af,8afe25213f822d49cf3d19b0c41ace5ec690ffc25577c0d3b2a7c19f18c441b6,1624de04421777d46f2579ecfb2bb6c521e5c9134528d085fd4617514304e529
"srt_dragon_in,srt_dragon_idle","srt_kaya_idle","GAME_START","","0","","start_000-start_001,start_002/start_003-boss_emote_064-start_004","srt_inori_idle"
"srt_dragon_idle","srt_kaya_idle","ENEMY_FIRST","","2","首先由我先來吧！","","srt_inori_idle"
"srt_dragon_idle","srt_kaya_waiting","ENEMY_TURN1","","2","「{0}」嗎？\n由「{1}」韻來開頭的有……","","srt_inori_idle"
"srt_dragon_idle","srt_kaya_waiting","ENEMY_TURN2","","2","「{0}」嗎？\n嗯――，由「{1}」韻當開頭的詞呀……","","srt_inori_idle"
"srt_dragon_idle","srt_kaya_waiting","ENEMY_TURN3","","2","「{0}」嗎？\nOK――，接著是「{1}」韻吧。","","srt_inori_idle"
"srt_dragon_idle","srt_kaya_waiting","ENEMY_TURN_TW1","","2","嘿嘿，是「{0}」嗎？\n「{1}」韻可以用\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」的注音來接呢！\n所以可以接的詞有……","","srt_inori_idle"
"srt_dragon_idle","srt_kaya_waiting","ENEMY_TURN_TW2","","2","原來是「{0}」啊？\n「{1}」的韻其實跟很多音相同喔，\n像是「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個詞，\n嗯――，所以可以用來接「{1}」韻的詞呀……","","srt_inori_idle"
"srt_dragon_idle","srt_kaya_waiting","ENEMY_TURN_TW3","","2","「{0}」嗎？\n「{1}」韻可以跟「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」\n這些單音相接喔……\n好啦，跟這個韻相同開頭的詞有……","","srt_inori_idle"
"","srt_kaya_help","ENEMY_HELP","srt_homare_help","0","","sugoyomi_damage_059,sugoyomi_damage_060,sugoyomi_damage_061,sugoyomi_damage_062,sugoyomi_damage_063",""
"","srt_kaya_flash","ENEMY_FLASH","","0","","",""
"srt_dragon_react_1,srt_dragon_idle","srt_kaya_select_1,srt_kaya_waiting","ENEMY_SELECT1","","2","是「{0}」！","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_inori_react_1,srt_inori_idle"
"srt_dragon_react_1,srt_dragon_idle","srt_kaya_select_1,srt_kaya_waiting","ENEMY_SELECT2","","2","是「{0}」呢！","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","srt_inori_react_1,srt_inori_idle"
