d7ced20c41a8736b51deb88ae546c0a88b36a44efdd70b2c8e0aaabaa0a5ff4f,9a04eb5eabb0291bd348856fe3065aef2db86b7e8951a679aedff4490dddd191,0ce774185945e7cddc334a780e9712d300858b6631f7994a31f2f82327b331ba,4001bb8e896b6eda80cc9a09a8cefa457af3b0c014442c487767a56dcef6d0c6,dcb6193aad7de227e1a82882a61480b4c3dc0463fcb02983cb8c43c025f80ede,a1cd704d9df6426c2c1028f0674222d1bb0dd9a6a2f232e9525373153412e894,cc1c07a80e8553ad89fc13771f216c5cd74987d392d9b24389d77205e8690018,ff90db17e956b5abf22908e4dfbc51ff7da6fc16e636275531491a3282d2193c
"0","3000","10050640","10050650","0","30050237","30050236","0"
"0","3000","10050659","10050670","0","30050414","30050413","0"
"0","3000","10050723","10050735","0","30050422","30050421","30050423"
"0","3000","10050818","10050360","0","30050425","30050424","30050426"
"0","3000","10060402","10060413","30060190","30060188","30060187","30060189"
"0","3000","10060480","10060492","0","30060192","30060191","30060193"
"0","3000","10060542","10060545","30060197","30060195","30060194","30060196"
"30060212","3000","10060591","10060606","30060211","30060209","30060208","30060210"
"0","3000","10070608","10070626","30070189","30070187","30070186","30070188"
"30070202","3000","10070914","10070926","30070201","30070199","30070198","30070200"
"30070210","3000","10071038","10071052","30070209","30070207","30070206","30070208"
"0","3000","10071117","10071131","30070196","30070194","30070193","30070195"
"0","3000","10080640","10080650","0","30080237","30080236","0"
"0","3000","10080659","10080670","0","30080414","30080413","0"
"0","3000","10080723","10080735","0","30080422","30080421","30080423"
"0","3000","10080818","10080360","0","30080425","30080424","30080426"
"0","3000","10090402","10090413","30090190","30090188","30090187","30090189"
"0","3000","10090480","10090492","0","30090192","30090191","30090193"
"0","3000","10090542","10090545","30090197","30090195","30090194","30090196"
"30090212","3000","10090591","10090606","30090211","30090209","30090208","30090210"
"0","3000","10100608","10100626","30100189","30100187","30100186","30100188"
"30100202","3000","10100914","10100926","30100201","30100199","30100198","30100200"
"30100210","3000","10101038","10101052","30100209","30100207","30100206","30100208"
"0","3000","10101117","10101131","30100196","30100194","30100193","30100195"
"0","3000","10110640","10110650","0","30110237","30110236","0"
"0","3000","10110659","10110670","0","30110414","30110413","0"
"0","3000","10110723","10110735","0","30110422","30110421","30110423"
"0","3000","10110818","10110360","0","30110425","30110424","30110426"
"0","3000","10120402","10120413","30120190","30120188","30120187","30120189"
"0","3000","10120480","10120492","0","30120192","30120191","30120193"
"0","3000","10120542","10120545","30120197","30120195","30120194","30120196"
"30120212","3000","10120591","10120606","30120211","30120209","30120208","30120210"
