e67fcea1ac22c2bf317e3c8215f78f7933947eb65f4ed51bf528a15552571cff,850e13324e848a6a21f63bec4e509991e512a8fa70042a20dc30383284c1b68b,6f31075c0b5b33e997f4d1913edb5d38932e9e2060579f92af0866a7cbf219e7,258118af079f063dca465d2739bbf7e7ea2f2f16637cf12e2ed3a06f6000220b,f0e45b35164eed7e9f88855e0e47208d6de36acfa0acaa0c0d5acabad93ed990,be974a991c297c611becb4d090b68d891ee37c18974fda2daa14c140edc43f8c,e7fb0482f911d4a18b75a18a34d5f2ea4f1ded8ed6d3abe3ca62eac1e613bbc7,a87f34fa319490a0087b26530f356416ada14dc7fc96f1d9418f3663e6570790,869ee3019ccbd77ddf150df8e76e60884c2cfbb54cf3337013b100ce4ea784c7,fa39ef0ddce65891b8b56c5ba9835057ec69ea1f6c6e818452631bc3cb8c46f6,b56c60516764ede79e5163dd43b94121d1784ac3291784fdbc4a6aa1c57438d5
"10046","活動特別章節","2020/12/04 16:00:00","前往劇情","活動「美里的夏日聲援！　追夢的盛夏棒球隊」的\n特別章節已解放。","5046601","也可以從額外劇情中\n查看特別的劇情。","1004601","5046601","1","2020/12/18 11:59:59"
"10048","活動特別章節","2020/12/31 16:00:00","前往劇情","閱讀完活動「Happy‧Change‧Angels」的\n終幕後，即會解放特別的章節。","0","也可以從額外劇情中\n查看特別的劇情。","1004801","5048","2","2021/01/14 15:59:59"
"10048","活動特別章節","2020/12/31 16:00:00","前往劇情","活動「Happy‧Change‧Angels」中\n拉菲寄了信給你！","0","也可以從額外劇情中\n查看特別的劇情。","1004802","5048","3","2021/01/14 15:59:59"
"10056","活動特別章節","2021/05/18 16:00:00","前往劇情","活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。","5056601","也可以從額外劇情中\n查看特別的劇情。","1005601","5056","4","2021/05/31 15:59:59"
"10061","活動特別章節","2021/07/05 16:00:00","前往劇情","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","5061601","可以從額外劇情中\n查看特別的劇情。","1006101","5061","3","2021/07/19 15:59:59"
"10061","活動特別章節","2021/07/19 16:00:00","前往劇情","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","5061602","","1006102","10061","5","2021/07/23 15:59:59"
"10061","活動特別章節","2021/07/23 16:00:00","前往劇情","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","5061601","可以從額外劇情中\n查看特別的劇情。","1006103","5061","3","2021/07/31 15:59:59"
"10066","小遊戲 劇情解放","2021/09/01 16:00:00","前往劇情","小遊戲「大激戰！龍人們的接龍競賽」後\n解放了新的劇情","5027704","若要閱覽，必須在「大家的遊戲桌」\n購買「大激戰！龍人們的接龍競賽」後，\n遊玩EXTRA關卡","1006601","1004","6","2021/09/30 15:59:59"
"10070","追加來自伊緒的留言","2021/11/15 16:00:00","前往活動","「暑假圖畫日記」中\n已追加伊緒老師的批改留言。","5070601","可從「暑假圖畫日記」的封面進行切換，\n查看批改留言。","1007001","10070","5","2021/11/19 15:59:59"
"10073","活動特別章節","2021/12/17 16:00:00","前往劇情","活動「美里的夏日聲援！　追夢的盛夏棒球隊」的\n特別章節已解放。","5046601","也可以從額外劇情中\n查看特別的劇情。","1007301","5046601","1","2021/12/31 15:59:59"
"10075","活動特別章節","2022/01/26 16:00:00","前往劇情","閱讀完活動「Happy‧Change‧Angels」的\n終幕後，即會解放特別的章節。","0","也可以從額外劇情中\n查看特別的劇情。","1007501","5048","2","2022/01/31 15:59:59"
"10075","活動特別章節","2022/01/26 16:00:00","前往劇情","活動「Happy‧Change‧Angels」中\n拉菲寄了信給你！","0","也可以從額外劇情中\n查看特別的劇情。","1007502","5048","3","2022/01/31 15:59:59"
"10082","追加大合照","2022/05/16 16:00:00","前往活動","已於「眾人同樂的年菜派對」\n追加大合照。","5082601","","1008201","1004","5","2022/05/20 15:59:59"
"10083","活動特別章節","2022/05/18 16:00:00","前往劇情","活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。","5056601","也可以從額外劇情中\n查看特別的劇情。","1008301","5056","4","2022/05/24 15:59:59"
"10089","活動特別章節","2022/07/19 16:00:00","前往劇情","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","5061601","可以從額外劇情中\n查看特別的劇情。","1008901","5061","3","2022/07/28 15:59:59"
"10089","活動特別章節","2022/07/26 16:00:00","前往劇情","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","5061602","","1008902","10089","5","2022/07/28 15:59:59"
"10089","活動特別章節","2022/07/28 16:00:00","前往劇情","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","5061601","可以從額外劇情中\n查看特別的劇情。","1008903","5061","3","2022/07/31 15:59:59"
