4f4bd8bf67359a677da8f2381750131abe4573e3407f9741646b7e883da130b3,097aaac7d4b8626c78c486451a18fdbe891bc8538d3c5b01a67b988671adb302,3e3a63f6b0256a4dbbfd441031ea4c6bff9235ad03cdf6eb5bb1732733f148e9,cae04a73d62505a9a6343eef47ebb8ad937a167b31fe2b622f56edd29f0ccbce,27f19fe6c4677ec3f023ce443107efc6379dda39d8d7aeb1d1a4777e2243f95d,80afb5520439f96736f73e0eba246c44249f38a5063c798c8e096b237da278d3
"3000","0","2991180","1","0","100111"
"10000","0","2991101","1","0","100112"
"10000","0","2991167","1","0","100121"
"10000","0","2991168","1","0","100122"
"5000","0","2991172","1","0","100131"
"10000","0","2991182","1","0","100211"
"2000000","0","2991102","1","0","100221"
"40000","0","2991103","1","0","100231"
"15000","0","2991184","1","0","100311"
"200000","0","2991183","1","0","100321"
"15000","0","2991184","1","0","100322"
"1000000","0","2991185","1","0","100331"
"50000","0","2991186","1","0","100332"
"3000","0","2991104","1","0","100411"
"110","0","2991177","1","0","100412"
"5000","0","2991105","1","0","100421"
"130","0","2991178","1","0","100422"
"7000","0","2991106","1","0","100431"
"160","0","2991179","1","0","100432"
"3300","0","2991190","1","0","100511"
"40000","0","2991107","1","0","100521"
"20000","0","2991112","1","0","100531"
"5","0","14","14","0","110011"
"10000","0","2991117","1","0","110021"
"10000","0","2991120","1","0","110031"
"2","0","16","14","0","110041"
"1000","0","2991101","1","0","110051"
"2000","0","105","14","0","120011"
"3000","0","2991121","1","0","120021"
"3000","0","2991124","1","0","120031"
"1000","0","2991127","1","0","120041"
"1000","0","2991128","1","0","120051"
"1000","0","2991129","1","0","130011"
"1000","0","100","14","0","130021"
"1000","0","101","14","0","130022"
"3000","0","107","14","0","130031"
"1000","0","6","14","0","130041"
"1000","0","7","14","0","130042"
"10","0","9","14","0","130051"
"3000","0","108","14","0","140011"
"5000","0","2991132","1","0","140021"
"5000","0","2991133","1","0","140031"
"2000","0","2","14","0","140041"
"2000","0","4","14","0","140042"
"1000","0","3","14","0","140051"
"1000","0","5","14","0","140052"
"1000","0","110","14","0","150011"
"1000","0","1","14","0","150021"
"50000","0","2991134","1","0","150031"
"50000","0","2991149","1","0","150041"
"5000","0","2991164","1","0","150051"
"10","0","14","14","0","210011"
"20000","0","2991118","1","0","210021"
"20000","0","2991120","1","0","210031"
"4","0","16","14","0","210041"
"2000","0","2991101","1","0","210051"
"4000","0","105","14","0","220011"
"6000","0","2991122","1","0","220021"
"6000","0","2991125","1","0","220031"
"2000","0","2991127","1","0","220041"
"2000","0","2991128","1","0","220051"
"2000","0","2991129","1","0","230011"
"2000","0","100","14","0","230021"
"2000","0","101","14","0","230022"
"6000","0","107","14","0","230031"
"2000","0","6","14","0","230041"
"2000","0","7","14","0","230042"
"20","0","9","14","0","230051"
"6000","0","108","14","0","240011"
"10000","0","2991132","1","0","240021"
"10000","0","2991133","1","0","240031"
"4000","0","2","14","0","240041"
"4000","0","4","14","0","240042"
"2000","0","3","14","0","240051"
"2000","0","5","14","0","240052"
"2000","0","110","14","0","250011"
"2000","0","1","14","0","250021"
"100000","0","2991139","1","0","250031"
"100000","0","2991154","1","0","250041"
"10000","0","2991165","1","0","250051"
"10000","0","104","14","0","300011"
"15","0","14","14","0","310011"
"30000","0","2991119","1","0","310021"
"30000","0","2991120","1","0","310031"
"6","0","16","14","0","310041"
"3000","0","2991101","1","0","310051"
"6000","0","105","14","0","320011"
"9000","0","2991123","1","0","320021"
"9000","0","2991126","1","0","320031"
"3000","0","2991127","1","0","320041"
"3000","0","2991128","1","0","320051"
"3000","0","2991129","1","0","330011"
"3000","0","100","14","0","330021"
"3000","0","101","14","0","330022"
"9000","0","107","14","0","330031"
"3000","0","6","14","0","330041"
"3000","0","7","14","0","330042"
"30","0","9","14","0","330051"
"9000","0","108","14","0","340011"
"15000","0","2991132","1","0","340021"
"15000","0","2991133","1","0","340031"
"6000","0","2","14","0","340041"
"6000","0","4","14","0","340042"
"3000","0","3","14","0","340051"
"3000","0","5","14","0","340052"
"3000","0","110","14","0","350011"
"3000","0","1","14","0","350021"
"150000","0","2991144","1","0","350031"
"150000","0","2991159","1","0","350041"
"15000","0","2991166","1","0","350051"
