09b943bc531301af01a7612e0333970cf1ba08d86080b70dfb3c03839b18b03c,866de5ea8d6a732707bbc1d1a5ec4324fb8a2d2ab0efcef2c65b1a2c0a40a078,008c2ca211bab731f4309710744ffa4568d3d1d193d0783d12bb40dc213b585a,478b6db898bdf781f7d0acbd73587a73a1a6e33dc43ca466bdbf2bf31522cbba,76d3024cb0c6007a5dda2096eef98bb3d334794dba69e3ae118e888fa92827e9,d066f1e8ac26a604f6590a98ed06f2323f95847ac40f9b4f73c9571a318cba04,308ea1e89c63998fcc664c83b1082f99023dc6f2d3ac5b3fc774fa4145a3222c,ae1326afbf035bb068e7ce4f17c9f4515d2d8484b84397dac3b282ee4196e3af,757241e94daf85b74a94678dead36bd4539a3eb836f76fc5dad7d850f88f0ab1,771ac77e4b5066cb25584995a02953838ae625fddb270e87cb6fe517997052fe,ff7189930a0934f6c1b5d6981e53ee324fb718bf3d52b9a760f51189be1c4fab,4862ac5b019b46f0d919729d2c72fa6e122ce744ae558b31f9f0f3520d0e4f3e,7365eeb744bfac432eb6afc6b9aaaabbd20c41fab25f663370b2b4c23f228536,e09afacef79bd9f7b5e5d10bafaf9b41e3f7cffb043fafa233fc87d5f224e98c,c3565051923b690707cac4210cbdf6b082f596758b09dc3761e0e8da5e3c2298
"350","100584","bgm_M220","2","-30","100584","？？？","1001001","800100101","90","1","bgm_M220","100000","-75","0"
"350","100584","bgm_M220","2","-30","100584","？？？","1001002","800100102","90","1","bgm_M220","100000","-75","0"
"350","100584","bgm_M220","2","-30","100584","？？？","1001003","800100103","90","1","bgm_M220","100000","-75","0"
"350","100584","bgm_M221","2","-30","100584","？？？","1001004","800100101","90","1","bgm_M221","100000","-75","0"
"350","100584","bgm_M221","2","-30","100584","？？？","1001005","800100102","90","1","bgm_M221","100000","-75","0"
"350","100584","bgm_M221","2","-30","100584","？？？","1001006","800100103","90","1","bgm_M221","100000","-75","0"
"350","100584","bgm_M220","2","-30","100584","？？？","1002001","800100201","90","1","bgm_M220","100000","-75","0"
"350","100584","bgm_M220","2","-30","100584","？？？","1002002","800100202","90","1","bgm_M220","100000","-75","0"
"350","100584","bgm_M220","2","-30","100584","？？？","1002003","800100203","90","1","bgm_M220","100000","-75","0"
"350","100584","bgm_M221","2","-30","100584","？？？","1002004","800100201","90","1","bgm_M221","100000","-75","0"
"350","100584","bgm_M221","2","-30","100584","？？？","1002005","800100202","90","1","bgm_M221","100000","-75","0"
"350","100584","bgm_M221","2","-30","100584","？？？","1002006","800100203","90","1","bgm_M221","100000","-75","0"
