405465177ea880837e0fc6e033faf60e5d2bc1bde38b3b1d40999f7b6702a314,593e42b8e2c50235e1b4964b0d6b6ec202e22039937270c56d30232858c13d93,eca91e82cb890624cb1577cde5caa1e37ebd6100a8c22854dd3ec156a52e7378,656b9d6febe99c7fd37cd148bd3edf47b4d8f8bb29909f2ec4570d3ade41039a,fc757fefc6492d354c784525fb74cc44f119a9bededa0576008050e9078a15f9,0efbf6123d9779763f4f5d453538c35c854decbc7f4aa6042c4efcf619921a42
"1","1101","20025","1","0","0"
"1","1102","20025","1","0","0"
"0","1103","20025","1","1","5042002"
"1","1104","20025","1","0","0"
"0","1105","20025","1","1","5042003"
"1","1106","20025","1","0","0"
"0","1107","20025","1","2","5042005"
"0","1201","20025","2","1","5042007"
"0","1202","20025","2","2","5042007"
"1","1203","20025","2","0","0"
"1","1204","20025","2","0","0"
"0","1301","20025","1","0","0"
