0a45a374828b7471f75ded7617069c74c6c185bdd3921b86b9160d88f04e2cd5,7bfd07cc9b497359e91c719fc4d0916b086c181d78d6023f6b001ebc27aa98eb,a00ea6dc514aeeb967f0f6673ce7478aa6351618daeed27b0e4dceda454195b4,6c20fac9727425fbacc56ea070b674c29129329824c9c00cbd9e1dd6aadf3ad8,f9be5d74dfccb37aa8a72949b7800073f357b30dd20f3c17c224030b148f118c,250053748cc2b8ea8b37fce13e887a0ceefba08ba5b33095f0802b1c51b24718,6b52b879a2c997c92eca82e6298173ce7402ec19e9cd0955fef0fc4c8e188d39,f2368674e53240b067bd47d0b469250492d891de870c9ad1de53498ff28df7e2,d3e1c8779a4b73c5d98f37dd346d8af770284fab4f0fca26f117da7caf4b1e6f,1840f81189ab7e93e48721c6008ab9c365f802825501d60e4131362dacd8a36d,0c652e65e25e26e3e0a54f45f54d93b7b3f43e48e2456efeccc320e1d8f1bb7f,eee729380b01d474c34a874aec1fb552c5f4b88aadd2c4923244238e4d6f7c36
"0","0","0","0","0","1","1005801","1","100580101","0","0.8","4"
"0","0","vo_ske_0101","vo_ske","0","2","1005801","0","100580102","0","0","2"
"0.705","94","0","0","1","3","1005801","0","100580103","0","0","1"
"0","0","0","0","0","4","1005801","1","100580104","0","1.549","4"
"1.807","362","0","0","1","5","1005801","0","100580105","94","0","1"
"0","0","0","0","0","6","1005801","1","100580106","0","3.027","4"
"1.141","263","0","0","2","7","1005801","0","100580107","0","0","1"
"0","0","0","0","0","8","1005801","1","100580108","0","1.9","4"
"1.78","400","0","0","2","9","1005801","0","100580109","263","0","1"
"0","0","0","0","0","10","1005801","1","100580110","0","4.544","4"
"0","0","vo_ske_0102","vo_ske","0","11","1005801","0","100580111","0","0","2"
"1.322","195","0","0","3","12","1005801","0","100580112","0","0","1"
"0","0","0","0","0","13","1005801","1","100580113","0","2.917","4"
"0","0","vo_ske_0103","vo_ske","0","14","1005801","0","100580114","0","0","2"
"1.932","228","0","0","4","15","1005801","0","100580115","0","0","1"
"0","0","0","0","0","16","1005801","1","100580116","0","2.582","4"
"0.996","367","0","0","4","17","1005801","0","100580117","228","0","1"
"0","0","0","0","0","18","1005801","1","100580118","0","3.856","4"
"0","0","vo_ske_0104","vo_ske","0","19","1005801","0","100580119","0","0","2"
"0.67","90","0","0","5","20","1005801","0","100580120","0","0","1"
"0","0","0","0","0","21","1005801","1","100580121","0","1.785","4"
"2.253","364","0","0","5","22","1005801","0","100580122","90","0","1"
"0","0","0","0","0","23","1005801","1","100580123","0","2.253","4"
"0.962","0","0","0","6","24","1005801","0","100580124","0","0","1"
"0","0","0","0","0","25","1005801","1","100580125","0","2.244","4"
"1.707","334","0","0","6","26","1005801","0","100580126","0","0","1"
"0","0","0","0","0","27","1005801","1","100580127","0","4.225","4"
"0","0","vo_ske_0105","vo_ske","0","28","1005801","0","100580128","0","0","2"
"1.256","227","0","0","7","29","1005801","0","100580129","0","0","1"
"0","0","0","0","0","30","1005801","1","100580130","0","3.119","4"
"0","0","vo_ske_0106","vo_ske","0","31","1005801","0","100580131","0","0","2"
"0.702","73","0","0","8","32","1005801","0","100580132","0","0","1"
"0","0","0","0","0","33","1005801","1","100580133","0","1.386","4"
"1.352","318","0","0","8","34","1005801","0","100580134","73","0","1"
"0","0","0","0","0","35","1005801","1","100580135","0","2.053","4"
"0.733","383","0","0","8","36","1005801","0","100580136","318","0","1"
"0","0","0","0","0","37","1005801","1","100580137","0","1.868","4"
"1.764","340","0","0","9","38","1005801","0","100580138","0","0","1"
"0","0","0","0","0","39","1005801","1","100580139","0","2.905","4"
"0.969","340","0","0","9","40","1005801","0","100580140","340","0","1"
"0","0","0","0","0","41","1005801","1","100580141","0","0.969","4"
"0.808","0","0","0","10","42","1005801","0","100580142","0","0","1"
"0","0","0","0","0","43","1005801","1","100580143","0","2.8","4"
"0","0","vo_ske_0107","vo_ske","0","44","1005801","0","100580144","0","0","2"
"0.25","52","0","0","10","45","1005801","0","100580145","0","0","1"
"0","0","0","0","0","46","1005801","1","100580146","0","0.25","4"
"1.817","328","0","0","10","47","1005801","0","100580147","52","0","1"
"0","0","0","0","0","48","1005801","1","100580148","0","3.312","4"
"0.666","389","0","0","10","49","1005801","0","100580149","328","0","1"
"0","0","0","0","0","50","1005801","1","100580150","0","1.17","4"
"1.616","0","0","0","11","51","1005801","0","100580151","0","0","1"
"0","0","0","0","0","52","1005801","1","100580152","0","4.15","4"
"0","0","vo_ske_0108","vo_ske","0","53","1005801","0","100580153","0","0","2"
"1.198","142","0","0","11","54","1005801","0","100580154","0","0","1"
"0","0","0","0","0","55","1005801","1","100580155","0","2.442","4"
"1.934","267","0","0","11","56","1005801","0","100580156","142","0","1"
"0","0","0","0","0","57","1005801","1","100580157","0","4.434","4"
"0","0","0","0","0","1","1005802","1","100580201","0","0.8","4"
"0","0","vo_ske_0201","vo_ske","0","2","1005802","0","100580202","0","0","2"
"1.122","202","0","0","1","3","1005802","0","100580203","0","0","1"
"0","0","0","0","0","4","1005802","1","100580204","0","1.689","4"
"1.13","370","0","0","1","5","1005802","0","100580205","202","0","1"
"0","0","0","0","0","6","1005802","1","100580206","0","2.883","4"
"0","0","vo_ske_0202","vo_ske","0","7","1005802","0","100580207","0","0","2"
"1.057","249","0","0","2","8","1005802","0","100580208","0","0","1"
"0","0","0","0","0","9","1005802","1","100580209","0","1.962","4"
"1.166","367","0","0","2","10","1005802","0","100580210","249","0","1"
"0","0","0","0","0","11","1005802","1","100580211","0","1.747","4"
"1.216","78","0","0","3","12","1005802","0","100580212","0","0","1"
"0","0","0","0","0","13","1005802","1","100580213","0","1.216","4"
"1.868","389","0","0","3","14","1005802","0","100580214","78","0","1"
"0","0","0","0","0","15","1005802","1","100580215","0","3.78","4"
"0","0","vo_ske_0203","vo_ske","0","16","1005802","0","100580216","0","0","2"
"0.655","252","0","0","4","17","1005802","0","100580217","0","0","1"
"0","0","0","0","0","18","1005802","1","100580218","0","1.632","4"
"1.586","366","0","0","4","19","1005802","0","100580219","252","0","1"
"0","0","0","0","0","20","1005802","1","100580220","0","2.357","4"
"0.386","366","0","0","4","21","1005802","0","100580221","366","0","1"
"0","0","0","0","0","22","1005802","1","100580222","0","0.386","4"
"0.872","0","0","0","5","23","1005802","0","100580223","0","0","1"
"0","0","0","0","0","24","1005802","1","100580224","0","3.189","4"
"0","0","vo_ske_0204","vo_ske","0","25","1005802","0","100580225","0","0","2"
"1.065","137","0","0","5","26","1005802","0","100580226","0","0","1"
"0","0","0","0","0","27","1005802","1","100580227","0","1.882","4"
"0.888","400","0","0","5","28","1005802","0","100580228","137","0","1"
"0","0","0","0","0","29","1005802","1","100580229","0","0.888","4"
"0.607","0","0","0","6","30","1005802","0","100580230","0","0","1"
"0","0","0","0","0","31","1005802","1","100580231","0","1.21","4"
"0.933","53","0","0","6","32","1005802","0","100580232","0","0","1"
"0","0","0","0","0","33","1005802","1","100580233","0","2.332","4"
"1.649","360","0","0","6","34","1005802","0","100580234","53","0","1"
"0","0","0","0","0","35","1005802","1","100580235","0","4.223","4"
"0","0","vo_ske_0205","vo_ske","0","36","1005802","0","100580236","0","0","2"
"0.349","81","0","0","7","37","1005802","0","100580237","0","0","1"
"0","0","0","0","0","38","1005802","1","100580238","0","1.46","4"
"1.532","350","0","0","7","39","1005802","0","100580239","81","0","1"
"0","0","0","0","0","40","1005802","1","100580240","0","2.11","4"
"0.341","350","0","0","7","41","1005802","0","100580241","350","0","1"
"0","0","0","0","0","42","1005802","1","100580242","0","0.341","4"
"1.202","0","0","0","8","43","1005802","0","100580243","0","0","1"
"0","0","0","0","0","44","1005802","1","100580244","0","3.101","4"
"0","0","vo_ske_0206","vo_ske","0","45","1005802","0","100580245","0","0","2"
"0.706","49","0","0","8","46","1005802","0","100580246","0","0","1"
"0","0","0","0","0","47","1005802","1","100580247","0","1.796","4"
"1.854","377","0","0","8","48","1005802","0","100580248","49","0","1"
"0","0","0","0","0","49","1005802","1","100580249","0","2.709","4"
"1.202","55","0","0","9","50","1005802","0","100580250","0","0","1"
"0","0","0","0","0","51","1005802","1","100580251","0","3.52","4"
"0","0","vo_ske_0207","vo_ske","0","52","1005802","0","100580252","0","0","2"
"0.754","100","0","0","9","53","1005802","0","100580253","55","0","1"
"0","0","0","0","0","54","1005802","1","100580254","0","1.291","4"
"0.505","350","0","0","9","55","1005802","0","100580255","100","0","1"
"0","0","0","0","0","56","1005802","1","100580256","0","2.624","4"
"0","0","vo_ske_0208","vo_ske","0","57","1005802","0","100580257","0","0","2"
"1.061","220","0","0","10","58","1005802","0","100580258","0","0","1"
"0","0","0","0","0","59","1005802","1","100580259","0","1.6","4"
"1.645","380","0","0","10","60","1005802","0","100580260","220","0","1"
"0","0","0","0","0","61","1005802","1","100580261","0","2.3","4"
"1.616","240","0","0","11","62","1005802","0","100580262","0","0","1"
"0","0","0","0","0","63","1005802","1","100580263","0","3.913","4"
"0","0","vo_ske_0209","vo_ske","0","64","1005802","0","100580264","0","0","2"
"1.258","128","0","0","12","65","1005802","0","100580265","0","0","1"
"0","0","0","0","0","66","1005802","1","100580266","0","3.579","4"
"0","0","vo_ske_0210","vo_ske","0","67","1005802","0","100580267","0","0","2"
"1.496","280","0","0","13","68","1005802","0","100580268","0","0","1"
"0","0","0","0","0","69","1005802","1","100580269","0","3.996","4"
"0","0","0","0","0","1","1005803","1","100580301","0","0.8","4"
"0","0","vo_ske_0301","vo_ske","0","2","1005803","0","100580302","0","0","2"
"1.797","160","0","0","1","3","1005803","0","100580303","0","0","1"
"0","0","0","0","0","4","1005803","1","100580304","0","2.514","4"
"0.612","339","0","0","1","5","1005803","0","100580305","160","0","1"
"0","0","0","0","0","6","1005803","1","100580306","0","0.612","4"
"0.464","163","0","0","2","7","1005803","0","100580307","0","0","1"
"0","0","0","0","0","8","1005803","1","100580308","0","0.889","4"
"1.164","163","0","0","2","9","1005803","0","100580309","163","0","1"
"0","0","0","0","0","10","1005803","1","100580310","0","2.59","4"
