dabe5b3d5121274ac68b4ee26a492f0378022f9ac05b2ed6dfcc81f7ef5504e1,2c642d18c2afd22ecedf0b165c72b054cbbc9a3996b6396f1f5ce2733d2b9856,3f628855456a248fa33398331e77bbf6afdecdf83e213b78816713e5b2279f80,7e43a9d3ad0fa1e1f7e08b52bf224b2878c5b902ada7278f6fe02b15f055663f,13310357539ad8e97accb05d089eb9119e4223d191c15c642ab75b1f6c19dbfe,da2efefb44e5b7a24a749d59db837132be4795f44332f35d4a4f35a20331c462,37413c05902bf640fed6d54558d3cc5a73b523f3c1f2336263c2936cfc4865de,cacfe9b789c33ac1fb7bf579bf1353b1db4c6302e08f4cf45360f3402799d162,ace3b926161f5934754c794f0adc7d1062d21b4ea2ed83165a5cfb198ac2874e
"1","5","0","1002","20021","1001","1001","達成公主騎士RANK 5","129"
"1","10","0","1002","20021","1002","1002","達成公主騎士RANK 10","129"
"1","30","0","1002","20021","1003","1003","達成公主騎士RANK 30","129"
"1","50","0","1002","20021","1004","1004","達成公主騎士RANK 50","129"
"1","100","0","1002","20021","1005","1005","達成公主騎士RANK 100","129"
"1","150","0","1002","20021","1006","1006","達成公主騎士RANK 150","129"
"1","200","0","1002","20021","1007","1007","達成公主騎士RANK 200","129"
"1","250","0","1002","20021","1008","1007","達成公主騎士RANK250","129"
"1","300","0","1002","20021","1009","1007","達成公主騎士RANK300","129"
"1","450","0","1002","20021","1010","1007","達成公主騎士RANK450","129"
"2","50","1","1003","20022","2001","2001","讓火屬性的屬性等級提升到50","129"
"2","100","1","1003","20022","2002","2002","讓火屬性的屬性等級提升到100","129"
"2","150","1","1003","20022","2003","2003","讓火屬性的屬性等級提升到150","129"
"2","200","1","1003","20022","2004","2004","讓火屬性的屬性等級提升到200","129"
"2","250","1","1003","20022","2005","2005","讓火屬性的屬性等級提升到250","129"
"2","300","1","1003","20022","2006","2006","讓火屬性的屬性等級提升到300","129"
"2","350","1","1003","20022","2007","2007","讓火屬性的屬性等級提升到350","129"
"2","400","1","1003","20022","2008","2008","讓火屬性的屬性等級提升到400","129"
"2","450","1","1003","20022","2009","2009","讓火屬性的屬性等級提升到450","129"
"2","500","1","1003","20022","2010","2010","讓火屬性的屬性等級提升到500","129"
"2","550","1","1003","20022","2011","2011","讓火屬性的屬性等級提升到550","129"
"2","600","1","1003","20022","2012","2012","讓火屬性的屬性等級提升到600","129"
"2","650","1","1003","20022","2013","2013","讓火屬性的屬性等級提升到650","129"
"2","700","1","1003","20022","2014","2014","讓火屬性的屬性等級提升到700","129"
"2","750","1","1003","20022","2015","2015","讓火屬性的屬性等級提升到750","129"
"3","50","2","1003","20022","3001","2001","讓水屬性的屬性等級提升到50","129"
"3","100","2","1003","20022","3002","2002","讓水屬性的屬性等級提升到100","129"
"3","150","2","1003","20022","3003","2003","讓水屬性的屬性等級提升到150","129"
"3","200","2","1003","20022","3004","2004","讓水屬性的屬性等級提升到200","129"
"3","250","2","1003","20022","3005","2005","讓水屬性的屬性等級提升到250","129"
"3","300","2","1003","20022","3006","2006","讓水屬性的屬性等級提升到300","129"
"3","350","2","1003","20022","3007","2007","讓水屬性的屬性等級提升到350","129"
"3","400","2","1003","20022","3008","2008","讓水屬性的屬性等級提升到400","129"
"3","450","2","1003","20022","3009","2009","讓水屬性的屬性等級提升到450","129"
"3","500","2","1003","20022","3010","2010","讓水屬性的屬性等級提升到500","129"
"3","550","2","1003","20022","3011","2006","讓水屬性的屬性等級提升到550","129"
"3","600","2","1003","20022","3012","2007","讓水屬性的屬性等級提升到600","129"
"3","650","2","1003","20022","3013","2008","讓水屬性的屬性等級提升到650","129"
"3","700","2","1003","20022","3014","2009","讓水屬性的屬性等級提升到700","129"
"3","750","2","1003","20022","3015","2010","讓水屬性的屬性等級提升到750","129"
"4","50","3","1003","20022","4001","2001","讓風屬性的屬性等級提升到50","129"
"4","100","3","1003","20022","4002","2002","讓風屬性的屬性等級提升到100","129"
"4","150","3","1003","20022","4003","2003","讓風屬性的屬性等級提升到150","129"
"4","200","3","1003","20022","4004","2004","讓風屬性的屬性等級提升到200","129"
"4","250","3","1003","20022","4005","2005","讓風屬性的屬性等級提升到250","129"
"4","300","3","1003","20022","4006","2006","讓風屬性的屬性等級提升到300","129"
"4","350","3","1003","20022","4007","2007","讓風屬性的屬性等級提升到350","129"
"4","400","3","1003","20022","4008","2008","讓風屬性的屬性等級提升到400","129"
"4","450","3","1003","20022","4009","2009","讓風屬性的屬性等級提升到450","129"
"4","500","3","1003","20022","4010","2010","讓風屬性的屬性等級提升到500","129"
"4","550","3","1003","20022","4011","2006","讓風屬性的屬性等級提升到550","129"
"4","600","3","1003","20022","4012","2007","讓風屬性的屬性等級提升到600","129"
"4","650","3","1003","20022","4013","2008","讓風屬性的屬性等級提升到650","129"
"4","700","3","1003","20022","4014","2009","讓風屬性的屬性等級提升到700","129"
"4","750","3","1003","20022","4015","2010","讓風屬性的屬性等級提升到750","129"
"5","50","4","1003","20022","5001","2001","讓光屬性的屬性等級提升到50","129"
"5","100","4","1003","20022","5002","2002","讓光屬性的屬性等級提升到100","129"
"5","150","4","1003","20022","5003","2003","讓光屬性的屬性等級提升到150","129"
"5","200","4","1003","20022","5004","2004","讓光屬性的屬性等級提升到200","129"
"5","250","4","1003","20022","5005","2005","讓光屬性的屬性等級提升到250","129"
"5","300","4","1003","20022","5006","2006","讓光屬性的屬性等級提升到300","129"
"5","350","4","1003","20022","5007","2007","讓光屬性的屬性等級提升到350","129"
"5","400","4","1003","20022","5008","2008","讓光屬性的屬性等級提升到400","129"
"5","450","4","1003","20022","5009","2009","讓光屬性的屬性等級提升到450","129"
"5","500","4","1003","20022","5010","2010","讓光屬性的屬性等級提升到500","129"
"5","550","4","1003","20022","5011","2006","讓光屬性的屬性等級提升到550","129"
"5","600","4","1003","20022","5012","2007","讓光屬性的屬性等級提升到600","129"
"5","650","4","1003","20022","5013","2008","讓光屬性的屬性等級提升到650","129"
"5","700","4","1003","20022","5014","2009","讓光屬性的屬性等級提升到700","129"
"5","750","4","1003","20022","5015","2010","讓光屬性的屬性等級提升到750","129"
"6","50","5","1003","20022","6001","2001","讓闇屬性的屬性等級提升到50","129"
"6","100","5","1003","20022","6002","2002","讓闇屬性的屬性等級提升到100","129"
"6","150","5","1003","20022","6003","2003","讓闇屬性的屬性等級提升到150","129"
"6","200","5","1003","20022","6004","2004","讓闇屬性的屬性等級提升到200","129"
