973f28e6268f0367c973f8f79308989309882bd5d9b680bf350f95ac607fdf33,52b35f0377d8d368e97df2aa38fb13e65ba0bdb39928a5c51bbe35d8f5a0face,2125a0f6276917740dfbb5d1fb33c8718d247d22923d4bf39e2da01d46cd6039,4c9259dda23fd24cba8351e0b8c38df7b379e48cea958d5201bd790fbb549c7d,aa571b6b8e11165f0aaa0dd0b9b9d2a5046aea3962e853f84853caf13e6c9fa6,b7209262cffc6ff664a5399780fdf07a872ee5711d9d20491624055490534be3,91fc72fb7516c14fd9164cd15588198214a2a9b0e71f141847bbfa344af815bb,dac44974619a1e31febc2acf8404fe588dd297e3b33bff62a8e7437adc168ade
"1","1000100","紅色又酸酸甜甜的水果。","ㄧㄥ","1","ㄨㄛ","蘋果","10001"
"2","1000101","據說會長成智慧之樹的水果。也有人說其實那不是蘋果之類的。","ㄧㄣ","1","ㄕ","禁忌的果實","10001"
"2","1000102","吃了可以增強記憶力，提高智能的水果。","ㄓ","1","ㄨㄛ","智慧之果","10001"
"1","1000200","又強又黑還很強壯。最愛香蕉的生物。","ㄟ","1","ㄧㄥ","黑猩猩","10002"
"2","1000201","動物分類中的一種。","ㄧㄥ","1","ㄟ","靈長類","10002"
"2","1000202","形容大猩猩兇猛叫聲的擬聲語。","ㄨ","1","ㄡ","嗚吼嗚吼","10002"
"3","1000203","坐鎮於「露娜之塔」的強大仙猿。雖然不是猩猩是猴子，但也算是親戚，算你勉強通過。","ㄓ","1","ㄧㄢ","擲岩猴仙","10002"
"1","1000300","統稱特定的銅管樂器的說法。","ㄚ","1","ㄚ","喇叭","10003"
"2","1000301","銅管樂器中的一種。","ㄧㄠ","1","ㄠ","小號","10003"
"2","1000302","以管狀造型為主，多以吹奏等空氣流動方式產生樂音的樂器。","ㄨㄢ","1","ㄧ","管樂器","10003"
"1","1000400","生長在溫暖地區，黃色且味道酸甜的水果。","ㄥ","1","ㄧ","鳳梨","10004"
"1","1000401","在某些地區就是這樣叫這種水果的。","ㄛ","1","ㄨㄛ","菠蘿","10004"
"1","1000402","「鳳梨」的台語讀音。","ㄨㄤ","1","ㄞ","旺來","10004"
"1","1000500","也有人稱其為寶石女王，鮮艷的紅色寶石。","ㄨㄥ","1","ㄕ","紅寶石","10005"
"1","1000501","用在裝飾品中，既美麗又珍貴的礦物。","ㄠ","1","ㄕ","寶石","10005"
"2","1000502","帶有魔法的石頭，可以鑲嵌在武器上，也可以做施法的媒介。","ㄛ","1","ㄕ","魔法石","10005"
"3","1000503","「紫藤家」的大小姐「秋乃」戴在身上的美麗胸針。","ㄧㄡ","1","ㄣ","秋乃的胸針","10005"
"3","1000504","「秋乃」的專用裝備。紫藤家代代相傳的輝石。","ㄗ","1","ㄕ","紫藤紅輝石","10005"
"1","1000600","用穀物釀成的酒類。","ㄧ","1","ㄧㄡ","啤酒","10006"
"1","1000601","用單手拿著，裝飲料用的容器。","ㄧㄡ","1","ㄟ","酒杯","10006"
"2","1000602","「優花梨」會稱呼它「像啤酒的東西」。不能讓她喝太多。","ㄞ","1","ㄧㄡ","麥酒","10006"
"3","1000603","「優花梨」專用裝備的內容物。不管怎麼喝都會不斷地湧出來。","ㄥ","1","ㄨㄟ","生命之水","10006"
"1","1000700","用弓與箭組成的武器。","ㄨㄥ","1","ㄧㄢ","弓箭","10007"
"1","1000701","「箭」的別種說法。","ㄧㄢ","1","ㄕ","箭矢","10007"
"2","1000702","指可以飛得很遠的攻擊型武器。","ㄩㄢ","1","ㄧ","遠距離武器","10007"
"2","1000703","羅馬神話中的小愛神。","ㄧㄡ","1","ㄜ","邱比特","10007"
"2","1000704","獵殺動物的行為。","ㄚ","1","ㄧㄝ","打獵","10007"
"2","1000705","人類獵殺動物以取得資源的行為。","ㄡ","1","ㄧㄝ","狩獵","10007"
"1","1000800","在音樂上用來表示音高的記號。","ㄧㄣ","1","ㄨ","音符","10008"
"1","1000801","音樂中音符的流動。","ㄩㄢ","1","ㄩ","旋律","10008"
"2","1000802","將音階由低到高排列 3個。","ㄡ","1","ㄧ","ㄉㄡㄖㄨㄟㄇㄧ","10008"
"2","1000803","數個音符根據樂理結成的組合。","ㄜ","1","ㄧㄢ","和弦","10008"
"1","1000900","為了在畫上著色的材料。","ㄧㄢ","1","ㄧㄠ","顏料","10009"
"1","1000901","水性的顏料。","ㄨㄟ","1","ㄞ","水彩","10009"
"2","1000902","盛裝膏狀物的容器。","ㄨㄢ","1","ㄨㄢ","軟管","10009"
"2","1000903","藍色。或是憂鬱的顏色。","ㄢ","1","ㄜ","藍色","10009"
"1","1001000","以刀刃進行攻擊的武器總稱。","ㄧㄢ","1","ㄧㄢ","劍","10010"
"2","1001001","用於戰鬥的工具。","ㄨ","1","ㄧ","武器","10010"
"2","1001002","長度較短的劍。","ㄨㄢ","1","ㄧㄢ","短劍","10010"
"2","1001003","近身格鬥用的武器。","ㄧㄣ","1","ㄧ","近戰武器","10010"
"3","1001004","「貪吃佩可」的專用裝備。能帶給貪吃佩可更加強大的力量，「皇家裝備」真正的模樣。","ㄨㄥ","1","ㄧㄢ","公主之劍","10010"
"1","1001100","為了補正視力，在眼睛周邊戴在身上的道具。","ㄧㄢ","1","ㄧㄥ","眼鏡","10011"
"2","1001101","用在眼鏡或各式東西上，折射光線用的透明物體。","ㄧㄥ","1","ㄧㄢ","鏡片","10011"
"2","1001102","只知道念書並對其餘事情一竅不通的人。","ㄨ","1","ㄗ","書呆子","10011"
"2","1001103","用來變裝，拿下後原來是美女的眼鏡。","ㄢ","1","ㄩ","扮裝道具","10011"
"3","1001104","公會小屋的管理員「花凜」戴著的眼鏡。","ㄨㄚ","1","ㄧㄥ","花凜的眼鏡","10011"
"1","1001200","為了把小東西放大觀看用的道具。","ㄤ","1","ㄧㄥ","放大鏡","10012"
"1","1001201","用在放大鏡或各式物品上，讓光線曲折用的透明物體。","ㄧㄥ","1","ㄧㄢ","鏡片","10012"
"2","1001202","具有放大效果的透鏡。","ㄨ","1","ㄧㄥ","凸透鏡","10012"
"3","1001203","名偵探「霞」愛用的偵探道具之一。","ㄣ","1","ㄧㄣ","偵探必備的物品","10012"
"1","1001300","拿去烤就會噗滋地流出肉汁，是很棒的食材。","ㄡ","1","ㄡ","肉","10013"
"2","1001301","食材經過巧手烹飪後的完美傑作，讓人忍不住要品嚐美味。","ㄧㄠ","1","ㄧ","料理","10013"
"2","1001302","帶骨的肉。或是以該狀態料理的食物。光是帶骨就看起來莫名的美味。","ㄞ","1","ㄡ","帶骨肉","10013"
"3","1001303","這麼棒的帶骨肉，該不會是傳說中存在於艾爾皮斯島上的「龍」吧。","ㄨㄥ","1","ㄡ","龍肉","10013"
"1","1001400","在夜空中閃耀著金黃色的美麗星球。","ㄩㄝ","1","ㄧㄤ","月亮","10014"
"1","1001401","渾圓的閃耀著的月亮。","ㄢ","1","ㄩㄝ","滿月","10014"
"2","1001402","「月亮」的拉丁文讀音。","ㄨ","1","ㄚ","露娜","10014"
"2","1001403","農曆八月十五號。","ㄨㄥ","1","ㄧㄝ","中秋節","10014"
"2","1001404","繞著行星公轉的天體。","ㄨㄟ","1","ㄧㄥ","衛星","10014"
"1","1001500","少數會飛行的哺乳類。雖然給人會吸血的印象，但是會吸血的品種非常少。","ㄧㄢ","1","ㄨ","蝙蝠","10015"
"2","1001501","著名的吸血鬼。","ㄜ","1","ㄚ","德古拉","10015"
"3","1001502","一份簡單的工作，只要摸摸女孩的頭，或抱抱她就好。","ㄧ","1","ㄨ","伊莉亞的眷屬","10015"
"1","1001600","全身覆滿著羽毛，用翅膀飛翔的物種的統稱。","ㄧㄠ","1","ㄟ","鳥類","10016"
"2","1001601","在蘭德索爾全境裡出現的怪物總稱。","ㄛ","1","ㄨ","魔物","10016"
"2","1001602","現代鳥類的始祖。","ㄕ","1","ㄧㄠ","始祖鳥","10016"
"2","1001603","具有攻擊性的鳥類。","ㄥ","1","ㄧㄣ","猛禽","10016"
"3","1001604","被封印在書中的鳥型魔物。是初音、栞所擊退的。","ㄧ","1","ㄗ","席茲","10016"
"1","1001700","穿在腳上之物。能保護腳底免於碰到小石頭或口香糖之類的文明頂端之物。","ㄧㄝ","1","ㄗ","鞋子","10017"
"1","1001701","能夠保護到腳踝的鞋子。","ㄨㄢ","1","ㄩㄝ","短靴","10017"
"2","1001702","從大叔到女高中生的廣泛客層都愛用的流行物品。不過很可惜，煮了也不能吃。","ㄧ","1","ㄧㄝ","皮鞋","10017"
"2","1001703","包住腳的長靴。尤其編織款的時尚度無人可及。","ㄩㄝ","1","ㄗ","靴子","10017"
"2","1001704","提供防護效果的衣物。","ㄤ","1","ㄩ","防具","10017"
"1","1001800","貓科的哺乳類。因為是人類很熟悉的動物，在可愛的牠面前，人類實在無法抵抗。","ㄠ","1","ㄧ","貓咪","10018"
"1","1001801","帶有花紋的貓。","ㄨㄚ","1","ㄠ","花貓","10018"
"3","1001802","是指貓咪們。珠希會餵牠們吃飯，不過花費可不能小覷。","ㄨ","1","ㄧㄡ","珠希的朋友","10018"
"1","1001900","觀賞用的紅色小型魚類。在廟會時讓人不能不去撈的邪惡東西。","ㄧㄣ","1","ㄩ","金魚","10019"
"1","1001901","魚類一般的稱呼方式。傳說吃了會變聰明。","ㄧㄠ","1","ㄩ","小魚","10019"
"1","1001902","魚類一般的稱呼方式。據說年紀大後，比起肉會更想吃牠。","ㄩ","1","ㄩ","魚","10019"
"2","1001903","用於觀賞而非食用所飼養的魚。","ㄨㄢ","1","ㄩ","觀賞魚","10019"
"1","1002000","囓齒類的一種。","ㄠ","1","ㄨ","老鼠","10020"
"1","1002001","老鼠的叫聲，或是暱稱。","ㄓ","1","ㄓ","吱吱","10020"
"2","1002002","咬食性哺乳動物的總稱。","ㄧㄝ","1","ㄨ","齧齒生物","10020"
"1","1002100","由鳥類或爬蟲類等的雌性所產下，以殼包覆著的球狀物體。","ㄢ","1","ㄢ","蛋","10021"
"2","1002101","雌性生物的生殖細胞。","ㄨㄢ","1","ㄨㄢ","卵","10021"
"2","1002102","鳥類用樹枝築成的家，會在這裡産卵。","ㄧㄠ","1","ㄠ","鳥巢","10021"
"2","1002103","燕子所築的巢，中醫認為其有高度營養價值。","ㄧㄢ","1","ㄨㄛ","燕窩","10021"
"1","1002200","載著人或物在水上前進的交通工具。","ㄨㄢ","1","ㄨㄢ","船","10022"
"1","1002201","海軍使用的軍用船隻。","ㄩㄣ","1","ㄧㄢ","軍艦","10022"
"2","1002202","張帆後以風力前進的船。","ㄢ","1","ㄨㄢ","帆船","10022"
"2","1002203","以大型船隻航海。","ㄤ","1","ㄞ","航海","10022"
"2","1002204","十五世紀歐洲人開始開發遠程海上航線的時代。","ㄚ","1","ㄞ","大航海時代","10022"
"2","1002205","互通有無的大規模商業行為。","ㄠ","1","ㄧ","貿易","10022"
"1","1002300","牛所流出的乳汁。除了可以直接飲用，還能加工成起司或奶油，是很棒的東西。","ㄧㄡ","1","ㄞ","牛奶","10023"
"2","1002301","「牛奶」的別種說法。要說出口有點丟臉。","ㄟ","1","ㄟ","ㄋㄟㄋㄟ","10023"
"2","1002302","某些地區是這麼稱呼優酪乳的。","ㄨㄢ","1","ㄞ","酸奶","10023"
"3","1002303","伊麗莎白牧場裡的牛的名字，是真陽的夥伴。","ㄧ","1","ㄞ","伊麗莎白","10023"
"1","1002400","將可可豆加工後的點心。在2月14日會被人大量消耗。","ㄧㄠ","1","ㄧ","巧克力","10024"
"2","1002401","賭神愛吃的甜食。","ㄨ","1","ㄧ","朱古力","10024"
"2","1002402","味道是甜的，疲倦時會想吃。","ㄧㄢ","1","ㄕ","甜食","10024"
"3","1002403","一旦試過就再也無法放手。","ㄨㄛ","1","ㄧ","哆啦喜歡的東西","10024"
"1","1002500","堅硬樹木的果實。不適合人類食用，但會刺激小孩子的收集慾望，充滿魅力的樹木的果實。","ㄧㄤ","1","ㄨㄛ","橡果","10025"
"2","1002501","會長成樹木的果實。","ㄨㄛ","1","ㄕ","果實","10025"
"2","1002502","被硬殼包覆著食用的果實。可放入點心或是當成下酒菜，在各處受到重用。","ㄧㄢ","1","ㄨㄛ","堅果","10025"
"3","1002503","雖然不及紅豆麵包，但鈴好像也喜歡的樣子。對戰時丟向敵人能讓其暈眩。","ㄧㄥ","1","ㄧㄣ","鈴的點心","10025"
"1","1002600","小小的又酸酸甜甜的水果。一顆顆的會被以為是種子，其實是果實。","ㄠ","1","ㄟ","草莓","10026"
"2","1002601","在野外自由生長的莓果。","ㄧㄝ","1","ㄟ","野莓","10026"
"2","1002602","一種小的、果肉狀的且可經常食用的水果。","ㄟ","1","ㄨㄛ","莓果","10026"
"1","1002700","大型貓科猛獸，肉食動物。","ㄠ","1","ㄨ","老虎","10027"
"2","1002701","高攻擊性動物的俗稱，通常是肉食動物。","ㄥ","1","ㄡ","猛獸","10027"
"3","1002702","虎虎！","ㄛ","1","ㄧㄥ","茉莉的憧憬","10027"
"3","1002703","茉莉仰慕的正義英雄。不能吐嘈那名字。","ㄨ","1","ㄨ","無敵英雄虎虎","10027"
"1","1002800","有著長長耳朵和短短尾巴的可愛哺乳類。作為寵物也很受歡迎。","ㄨ","1","ㄗ","兔子","10028"
"1","1002801","將布縫合後裝入棉花，做成像人或動物的形狀的東西。","ㄨㄢ","1","ㄡ","玩偶","10028"
"2","1002802","仿造人或生物製作的東西。有各種材質，可當玩具或作觀賞用、祭祀用等有各種用途。","ㄨㄚ","1","ㄨㄚ","娃娃","10028"
"3","1002803","真步的一隻玩偶。名稱的意象來自亞瑟王和圓桌騎士。","ㄧㄚ","1","ㄜ","亞瑟","10028"
"1","1002900","爆發後會產生熱與衝擊，並破壞、殺傷對方的一種兵器。超危險。","ㄚ","1","ㄢ","炸彈","10029"
"2","1002901","可能會危及生物或環境的物質。操作時可能需要有證照。","ㄨㄟ","1","ㄧㄣ","危險物品","10029"
"2","1002902","指可以飛得很遠的攻擊型武器，會爆炸的東西還是丟的遠遠的比較好吧？","ㄩㄢ","1","ㄧ","遠距離武器","10029"
