8a2a78365fdd09bc22e25e42fa8b6be052ccaa02b534f003b9ac98931f86b144,fb13f4a0d94fa20994e403a09c8d067b733d0f663c53557d3f13c11c21dd2392,095f1a04ee90ef46e780d737eaf6a6b0a81817194d136bcb6d96b9cdffd5a501,10d82356f71031cfc0d0f987bd7a44f393f755aaf7c63703bd858b0a6659c210,409c84f49dc66aef9b1a88da41a0226e47512977241562b1265357d8fab932ff,4ffc02be8061a59a4e2a089b6dfe8d8d503025f0babd9cebc6bbe47d1453e525,8175a56f3e46fbe86f8031b11d47c6c16dffd29e14096d9aa552ec0f01c65b58,4ff652190b2ebab187e17f4dde4ab70ee8708541c8ed9ea96e68e8fb8509f86f,dd6c2e898f9e19d936bb350bb4ba7b10b21592c9d3655d242a0826ac9d51b5c2,0379743861c061aa388e12e7b77e4342334fc55b6803f485ff82fd1a39a25405,4c96ba0a0d25ebe0f3e3d2b209d82501ab9922327fc8cfebc209442a5615901c,cb596487b9ac20ccf5f89d3606ac35047ca727e8a32049bcc3116a4235f5ef66,a891e18c34ce23243bf1983a13bd5935a15530d0ec6385c98dd08ec0c1423c37,65e368de49a2f8fac344d5edd2b4c3d5c39127ce8b451ef1cd33fea6a735fe32,9334272b38f28c2b9d5e9f0a7fc652866e7cfaee824f52b22512e71e6abf2f59
"99001001","99001001","2019/09/03 16:00:00","1004110","打倒 1 隻惡代官（NORMAL限定）","0","1","0","20014","660014101","9001","8006","601","1","2030/04/01 14:59:59"
"99001002","99001002","2019/09/03 16:00:00","1004111","打倒 1 隻惡代官（HARD限定）","0","1","0","20014","660014201","9001","8007","601","1","2030/04/01 14:59:59"
"99001003","99001003","2019/09/03 16:00:00","1004112","打倒 1 隻惡代官（VERY HARD限定）","0","1","0","20014","660014301","9001","8010","601","1","2030/04/01 14:59:59"
"99001004","99001004","2019/09/03 16:00:00","1004113","打倒 1 隻惡代官（SPECIAL限定）","0","1","0","10041","610041401","9001","6011","601","1","2030/04/01 14:59:59"
"99001005","99001005","2019/10/01 16:00:00","1005310","打倒 1 隻貝特魯吉烏斯（NORMAL限定）","0","1","0","10153","610153101","9001","6006","601","1","2030/04/01 14:59:59"
"99001006","99001006","2019/10/01 16:00:00","1005311","打倒 1 隻貝特魯吉烏斯（HARD限定）","0","1","0","10153","610153201","9001","6007","601","1","2030/04/01 14:59:59"
"99001007","99001007","2019/10/01 16:00:00","1005312","打倒 1 隻貝特魯吉烏斯（VERY HARD限定）","0","1","0","10153","610153301","9001","6010","601","1","2030/04/01 14:59:59"
"99001008","99001008","2019/10/01 16:00:00","1005313","打倒 1 隻貝特魯吉烏斯（SPECIAL限定）","0","1","0","10153","610153401","9001","6011","601","1","2030/04/01 14:59:59"
"99001009","99001009","2019/11/01 16:00:00","1004310","打倒 1 隻雨神大人（NORMAL限定）","0","1","0","20015","660015101","9001","8006","601","1","2030/04/01 14:59:59"
"99001010","99001010","2019/11/01 16:00:00","1004311","打倒 1 隻雨神大人（HARD限定）","0","1","0","20015","660015201","9001","8007","601","1","2030/04/01 14:59:59"
"99001011","99001011","2019/11/01 16:00:00","1004312","打倒 1 隻雨神大人（VERY HARD限定）","0","1","0","20015","660015301","9001","8010","601","1","2030/04/01 14:59:59"
"99001012","99001012","2019/11/01 16:00:00","1004313","打倒 1 隻雨神大人（SPECIAL限定）","0","1","0","10043","610043401","9001","6011","601","1","2030/04/01 14:59:59"
"99001017","99001017","2019/12/02 16:00:00","1004510","打倒 1 隻奄美魔物（NORMAL限定）","0","1","0","20016","660016101","9001","8006","601","1","2030/04/01 14:59:59"
"99001018","99001018","2019/12/02 16:00:00","1004511","打倒 1 隻奄美魔物（HARD限定）","0","1","0","20016","660016201","9001","8007","601","1","2030/04/01 14:59:59"
"99001019","99001019","2019/12/02 16:00:00","1004512","打倒 1 隻奄美魔物（VERY HARD限定）","0","1","0","20016","660016301","9001","8010","601","1","2030/04/01 14:59:59"
"99001020","99001020","2019/12/02 16:00:00","1004513","打倒 1 隻奄美魔物（SPECIAL限定）","0","1","0","10045","610045401","9001","6011","601","1","2030/04/01 14:59:59"
"99001021","99001021","2029/12/02 16:00:00","14","在香織的靈魂式空手道場累計獲得 300000 分","0","1","0","10021","0","0","6001","601","1","2030/04/01 14:59:59"
"99001022","99001022","2029/12/02 16:00:00","15","在香織的靈魂式空手道場EXTRA一次獲得 70000 分","0","1","0","10021","0","0","6001","601","1","2030/04/01 14:59:59"
"99001023","99001023","2020/01/02 16:00:00","1004710","打倒 1 隻劇毒曼德拉草（NORMAL限定）","0","1","0","20017","660017101","9001","6006","601","1","2030/04/01 14:59:59"
"99001024","99001024","2020/01/02 16:00:00","1004711","打倒 1 隻劇毒曼德拉草（HARD限定）","0","1","0","20017","660017201","9001","6007","601","1","2030/04/01 14:59:59"
"99001025","99001025","2020/01/02 16:00:00","1004712","打倒 1 隻劇毒曼德拉草（VERY HARD限定）","0","1","0","20017","660017301","9001","6010","601","1","2030/04/01 14:59:59"
"99001026","99001026","2020/01/02 16:00:00","1004713","打倒 1 隻劇毒曼德拉草（SPECIAL限定）","0","1","0","10047","610047401","9001","6011","601","1","2030/04/01 14:59:59"
"99001027","99001027","2020/02/04 16:00:00","1004910","打倒 1 隻幻影男爵（NORMAL限定）","0","1","0","20018","660018101","9001","6006","601","1","2030/04/01 14:59:59"
"99001028","99001028","2020/02/04 16:00:00","1004911","打倒 1 隻幻影男爵（HARD限定）","0","1","0","20018","660018201","9001","6007","601","1","2030/04/01 14:59:59"
"99001029","99001029","2020/02/04 16:00:00","1004912","打倒 1 隻幻影男爵（VERY HARD限定）","0","1","0","20018","660018301","9001","6010","601","1","2030/04/01 14:59:59"
"99001030","99001030","2020/02/04 16:00:00","1004913","打倒 1 隻幻影男爵（SPECIAL限定）","0","1","0","10049","610049401","9001","6011","601","1","2030/04/01 14:59:59"
"99001031","99001031","2020/03/02 16:00:00","1005110","打倒 1 隻似龍生物（NORMAL限定）","0","1","0","20019","660019101","9001","6006","601","1","2030/04/01 14:59:59"
"99001032","99001032","2020/03/02 16:00:00","1005111","打倒 1 隻似龍生物（HARD限定）","0","1","0","20019","660019201","9001","6007","601","1","2030/04/01 14:59:59"
"99001033","99001033","2020/03/02 16:00:00","1005112","打倒 1 隻似龍生物（VERY HARD限定）","0","1","0","20019","660019301","9001","6010","601","1","2030/04/01 14:59:59"
"99001034","99001034","2020/03/02 16:00:00","1005113","打倒 1 隻似龍生物（SPECIAL限定）","0","1","0","10051","610051401","9001","6011","601","1","2030/04/01 14:59:59"
"99001039","99001039","2029/04/01 15:00:00","14","龍人們的接龍競賽累計分數超過300000分","0","1","0","10021","0","0","6001","601","1","2030/04/01 14:59:59"
"99001040","99001040","2029/04/01 15:00:00","15","龍人們的接龍競賽的字彙圖鑑收集240個字彙","0","1","0","10021","0","0","6001","601","1","2030/04/01 14:59:59"
"99001041","99001041","2029/04/01 15:00:00","15","龍人們的接龍競賽的字彙圖鑑收集480個字彙","0","1","0","10021","0","0","6001","601","1","2030/04/01 14:59:59"
"99001042","99001042","2020/04/01 16:00:00","1005510","打倒 1 隻復仇者馴鹿（NORMAL限定）","0","1","0","20020","660020101","9001","6006","601","1","2030/04/01 14:59:59"
"99001043","99001043","2020/04/01 16:00:00","1005511","打倒 1 隻復仇者馴鹿（HARD限定）","0","1","0","20020","660020201","9001","6007","601","1","2030/04/01 14:59:59"
"99001044","99001044","2020/04/01 16:00:00","1005512","打倒 1 隻復仇者馴鹿（VERY HARD限定）","0","1","0","20020","660020301","9001","6010","601","1","2030/04/01 14:59:59"
"99001045","99001045","2020/04/01 16:00:00","1005513","打倒 1 隻復仇者馴鹿（SPECIAL限定）","0","1","0","10055","610055401","9001","6011","601","1","2030/04/01 14:59:59"
"99001046","99001046","2020/05/05 16:00:00","1005710","打倒 1 隻山神大人（NORMAL限定）","0","1","0","20021","660021101","9001","6006","601","1","2030/04/01 14:59:59"
"99001047","99001047","2020/05/05 16:00:00","1005711","打倒 1 隻山神大人（HARD限定）","0","1","0","20021","660021201","9001","6007","601","1","2030/04/01 14:59:59"
"99001048","99001048","2020/05/05 16:00:00","1005712","打倒 1 隻山神大人（VERY HARD限定）","0","1","0","20021","660021301","9001","6010","601","1","2030/04/01 14:59:59"
"99001049","99001049","2020/05/05 16:00:00","1005713","打倒 1 隻山神大人（SPECIAL限定）","0","1","0","10057","610057401","9001","6011","601","1","2030/04/01 14:59:59"
"99001051","99001051","2020/06/03 16:00:00","1006010","打倒 1 隻反逆獸（NORMAL限定）","0","1","0","20022","660022101","9001","6006","601","1","2030/04/01 14:59:59"
"99001052","99001052","2020/06/03 16:00:00","1006011","打倒 1 隻反逆獸（HARD限定）","0","1","0","20022","660022201","9001","6007","601","1","2030/04/01 14:59:59"
"99001053","99001053","2020/06/03 16:00:00","1006012","打倒 1 隻反逆獸（VERY HARD限定）","0","1","0","20022","660022301","9001","6010","601","1","2030/04/01 14:59:59"
"99001054","99001054","2020/06/03 16:00:00","1006013","打倒 1 隻反逆獸（SPECIAL限定）","0","1","0","10060","610060401","9001","6011","601","1","2030/04/01 14:59:59"
"99001055","99001055","2020/09/30 16:00:00","1017410","打倒 1 隻喧囂獨角兔（NORMAL限定）","0","1","0","10174","610062101","9001","6006","601","1","2030/04/01 14:59:59"
"99001056","99001056","2020/09/30 16:00:00","1017411","打倒 1 隻喧囂獨角兔（HARD限定）","0","1","0","10174","610062201","9001","6007","601","1","2030/04/01 14:59:59"
"99001057","99001057","2020/09/30 16:00:00","1017412","打倒 1 隻喧囂獨角兔（VERY HARD限定）","0","1","0","10174","610062301","9001","6010","601","1","2030/04/01 14:59:59"
