68abca5400cc136377d57ce84632e84ae4f029de449d7b8f2c7e5966db355ac0,f8c2a2aa7fe37d60b7383b65d79fb6a9c44fb078f7bcae39b4c41f787d98dc95,a2f63b24c1ce9e7ffe34815d2a571d3e38a892a51aeef1c60c9b1bab8fe7f41e,40ccd9302aa0b24f155880eab166af364004b6ffe9f59b4195172ed4229099b6,bf9e14a66799511025ba1029badaddcd7da01b2f896585acf580fc2c799c2196
"100","1","91002","8","30109001"
"10","2","20002","2","30109001"
"100","3","91002","8","30109002"
"40000","4","94002","12","30109002"
"300","5","91002","8","30109003"
"500","6","91002","8","30109004"
"500","7","91002","8","30109005"
"1000000","8","94002","12","30109005"
"500","9","91002","8","30109006"
"500000","10","94002","12","30109006"
"600","11","91002","8","30110001"
"200000","12","94002","12","30110006"
