7f996a91643f22d845da5dc0f4906400cf23293b46e5c03d11ed38ccf8a7eba8,4484ca7c12eff6b1d0dee0360af2032ca4362f7d838b469b3c7577a5b46223f2,c402e2530b4257de4004f7b0069538cdf9870127cbf89e544af705a16aa3ae4b
"10010001","-8","-22"
"10010099","-9","-4"
"10010100","-10","-4"
"10010101","-11","-4"
"10010102","-12","-4"
"10010103","-13","-4"
"10010104","-14","-4"
"10010105","-15","-4"
"10010106","-16","-4"
"10010107","-16","-3"
"10010110","-18","-2"
"10010111","-19","-2"
"10010113","-19","0"
"10010114","-19","1"
"10010116","-19","3"
"10010117","-18","3"
"10010118","-17","3"
"10010119","-15","-2"
"10010120","-14","-2"
"10010121","-13","-2"
"10010123","-13","0"
"10010125","-13","2"
"10010126","-13","3"
"10010127","-14","3"
"10010128","-15","3"
"10010130","-16","4"
"10010131","-16","5"
"10010132","-16","6"
"10010153","-14","6"
"10010158","-9","6"
"10010161","-9","5"
"10010162","-9","4"
"10010163","-10","4"
"10010164","-11","4"
"10010165","-11","3"
"10010166","-11","2"
"10010167","-10","2"
"10010169","-8","2"
"10010173","-8","0"
"10010174","-9","0"
"10010175","-10","0"
"10010176","-11","0"
"10010177","-11","-1"
"10010178","-11","-2"
"10010179","-10","-2"
"10010180","-9","-2"
"10010181","-8","-2"
"10010182","-7","-2"
"10010183","-6","-2"
"10010184","-5","-2"
"10010186","-5","0"
"10010187","-5","1"
"10010188","-5","2"
"10010189","-5","3"
"10010190","-5","4"
"10010191","-5","5"
"10010192","-5","6"
"10010193","-4","6"
"10010194","-3","6"
"10010195","-2","6"
"10010196","-1","6"
"10010197","0","6"
"10010198","1","6"
"10010199","1","5"
"10010200","1","4"
"10010201","1","3"
"10010214","2","3"
"10010215","3","3"
"10010218","5","2"
"10010219","6","2"
"10010220","7","2"
"10010221","8","2"
"10010222","9","2"
"10010223","10","2"
"10010224","10","3"
"10010225","10","4"
"10010226","11","4"
"10010227","12","4"
"10010228","12","3"
"10010229","12","2"
"10010230","12","1"
"10010231","12","0"
"10010232","12","-1"
"10010233","12","-2"
"10010234","13","-2"
"10010236","11","-2"
"10010237","10","-2"
"10010239","10","-4"
"10010240","10","-5"
"10010241","11","-5"
"10010244","14","-5"
"10010245","14","-4"
"10010246","14","-3"
"10010247","12","-6"
"10010248","12","-7"
"10010249","11","-7"
"10010250","13","-7"
"10010251","13","-8"
"10010253","11","-8"
"10010255","12","-9"
"10010256","12","-10"
"10010257","12","-11"
"10010258","13","-11"
"10010259","14","-11"
"10010260","14","-12"
"10010261","14","-13"
"10010262","13","-13"
"10010263","12","-13"
"10010264","12","-14"
"10010272","12","-16"
"10010273","12","-17"
"10010274","12","-18"
"10010275","12","-19"
"10010276","12","-20"
"10010277","12","-21"
"10010278","11","-21"
"10010279","10","-21"
"10010280","9","-21"
"10010281","8","-21"
"10010282","7","-21"
"10010283","7","-20"
"10010285","6","-21"
"10010287","3","-21"
"10010290","3","-19"
"10010291","3","-18"
"10010292","3","-17"
"10010295","5","-16"
"10010296","7","-19"
"10010299","7","-16"
"10010300","6","-16"
"10010301","6","-15"
"10010304","6","-12"
"10010305","7","-12"
"10010306","8","-12"
"10010307","5","-12"
"10010308","4","-12"
"10010310","3","-11"
"10010312","3","-9"
"10010314","4","-8"
"10010315","5","-8"
"10010316","8","-11"
"10010317","8","-10"
"10010318","8","-9"
"10010319","8","-8"
"10010320","7","-8"
"10010322","6","-7"
"10010323","6","-6"
"10010324","6","-5"
"10010325","6","-4"
"10010326","5","-4"
"10010327","4","-4"
"10010328","4","-3"
"10010329","3","-3"
"10010330","2","-3"
"10010332","1","-4"
"10010333","1","-5"
"10010334","1","-6"
"10010335","1","-7"
"10010337","0","-8"
"10010338","-1","-8"
"10010339","-2","-8"
"10010340","-2","-9"
"10010341","-2","-10"
"10010342","-2","-11"
"10010343","-3","-11"
"10010344","-4","-11"
"10010346","-4","-13"
"10010347","-4","-14"
"10010348","-3","-14"
"10010349","-2","-14"
"10010350","-1","-14"
"10010351","0","-14"
"10010352","0","-13"
"10010353","0","-12"
"10010354","0","-11"
"10010355","-1","-11"
"10010357","-2","-16"
"10010361","-2","-18"
"10010365","-2","-19"
"10010430","-3","-21"
"10010431","-4","-21"
"10010432","-5","-21"
"10010434","-6","-21"
"10010439","-7","-21"
"10010484","-8","-21"
"10010485","-9","-21"
"10010486","-10","-21"
"10010487","-11","-21"
"10010488","-11","-20"
"10010489","-11","-19"
"10010490","-11","-18"
"10010491","-11","-17"
"10010555","-4","-2"
"10010556","-4","-1"
"10010558","-4","0"
"10010559","-16","-2"
"10010560","-17","-2"
"10010561","-19","-1"
"10010562","-19","2"
"10010563","-16","3"
"10010564","13","-5"
"10010565","-13","-1"
"10010566","-13","1"
"10010568","-9","2"
"10010570","-8","1"
"10010573","14","-2"
