46c4c161c5acdf55cffc170a51a39a08e2930bd12e5f5317c54e5344996b3025,c8759f608bdbb8f7e707c5cb2f6f7352f1435901b937345b5d7abb5a5b2faf20,61b44c387e618226f48e8ad3c52a777c2151953742972e144a9a9d04abba1c34,11d6a7222e83acddeb74282e86d1620e358df52ede7f76184e52d87935c6dfb4,a278fc1e1c6edcd6564434707b806daf6af54673a86e6e9e289ea73a44d997f6,cff93c62c1c23a54ee9d52d849ec2338bc7108feda33e539436c8df680ffefdb,acb5af20fc00d58059933d37e78bb328f685dd3a638abf0e8fe5967123af2023,58b68aa77a4750c0ac74e6e4497d1df2ade2f21f9eb632fbe54b069a49dfefd7,1e76835e93066ed4b5037720e1c0d12b41aa891fe1eb299feac03c6d69a64371,0d6851b7d0b527f061e12ce5c027d6539a25fcb3c8b763f7811de6930f42625b,711ddce914b91d131f8ab734bb3dcc0a3ab9d11a014461e88c7286c16890c165
"101","-68","1","1200110001","1","travel_topdrama_r_2000_idle_smile","1","20011","42","0.8","105811"
"102","-68","1","1200110002","0","travel_topdrama_r_2000_idle_sad_shy","1","20011","-42","0.8","106011"
"110","-75","5","1200110003","0","mana","0","20011","0","1","0"
"","","91","1200110004","","","0","20011","","",""
"","","93","1200110005","","","10","20011","","","0"
"","","101","1200110006","","","1200110005","20011","","",""
"0","","3","1200110007","","","0","20011","","0","none"
"","","91","1200110008","","","0","20011","","",""
"","","13","1200120001","","","105811","20012","","","103"
"","","13","1200120002","","","106011","20012","","","104"
"0","1","3","1200120003","","","105811","20012","travel_topdrama_r_2000_talk_smile_loop","0.2","travel_topdrama_r_2000_talk_smile_in"
"0","","21","1200120004","","","vo_travel_talk","20012","0","","vo_travel_talk_20001_00"
"10","1","11","1200120005","0","0","105811","20012","1","0","小凱留也有好好享受冒險嗎？\n調味料還有非常多，\n發現新種魔物的話要告訴我唷♪"
"","","91","1200120006","","","0","20012","","",""
"1","","3","1200120007","","","105811","20012","","0.2","travel_topdrama_r_2000_idle_smile"
