cfb0fa5781618ce3e9ac48fe6a24529b8e4514402b0a22c7d559a961eab2048a,161f8ba4be492a273adbe3d1a72ce22df76ad06f46fccce25ce8bfead43ce27a,4a70f011ba46f80a61df1d1ac15620ac33c5fadc6abac333d447cbc5f5ee8f81,f25df19f950e149509f59a5d738fc08f84525d85919065db8c84a1bcd3a46e60,9a4455b1af8f5a58540ec859196fb62a463920dba43e8f6aafc6cf4355e89f25
"28","加油！","2099/08/01 14:59:59","2015/04/01 14:00:00","100101"
"29","謝謝","2099/08/01 14:59:59","2015/04/01 14:00:00","100201"
"30","參戰","2099/08/01 14:59:59","2015/04/01 14:00:00","100301"
"31","早安~！！","2099/08/01 14:59:59","2015/04/01 14:00:00","100401"
"58","有點難為情呢","2099/08/01 14:59:59","2021/12/09 12:00:00","100501"
"59","好厲害喔～♪","2099/08/01 14:59:59","2021/12/09 12:00:00","100601"
"60","布丁～布丁～","2099/08/01 14:59:59","2021/12/09 12:00:00","100701"
"61","叫我嗎？","2099/08/01 14:59:59","2021/12/09 12:00:00","100801"
"32","就是現在！","2099/08/01 14:59:59","2015/04/01 14:00:00","100901"
"33","真是辛苦呀","2099/08/01 14:59:59","2015/04/01 14:00:00","101001"
"34","收到！","2099/08/01 14:59:59","2015/04/01 14:00:00","101101"
"35","開始囉─","2099/08/01 14:59:59","2015/04/01 14:00:00","101201"
"62","出現了！","2099/08/01 14:59:59","2021/12/09 12:00:00","101301"
"63","線索湊齊了呢","2099/08/01 14:59:59","2021/12/09 12:00:00","101401"
"64","好乖好乖♪","2099/08/01 14:59:59","2021/12/09 12:00:00","101501"
"36","OK！","2099/08/01 14:59:59","2015/04/01 14:00:00","101601"
"37","船到橋頭自然直","2099/08/01 14:59:59","2015/04/01 14:00:00","101701"
"65","我來教‧教‧你","2099/08/01 14:59:59","2021/12/09 12:00:00","101801"
"38","晚安","2099/08/01 14:59:59","2015/04/01 14:00:00","102001"
"39","哇！哇！","2099/08/01 14:59:59","2015/04/01 14:00:00","102101"
"40","抖~抖~","2099/08/01 14:59:59","2015/04/01 14:00:00","102201"
"41","怒怒","2099/08/01 14:59:59","2015/04/01 14:00:00","102301"
"42","辛苦啦…哇哇！？","2099/08/01 14:59:59","2015/04/01 14:00:00","102501"
"66","好累喔～","2099/08/01 14:59:59","2021/12/09 12:00:00","102601"
"43","呵呵呵…","2099/08/01 14:59:59","2015/04/01 14:00:00","102701"
"44","要上了！","2099/08/01 14:59:59","2015/04/01 14:00:00","102801"
"45","交給我！","2099/08/01 14:59:59","2015/04/01 14:00:00","102901"
"67","統一天下是也！","2099/08/01 14:59:59","2021/12/09 12:00:00","103001"
"46","晚晚安！","2099/08/01 14:59:59","2015/04/01 14:00:00","103101"
"68","真不好意思","2099/08/01 14:59:59","2021/12/09 12:00:00","103201"
"69","騙你的！","2099/08/01 14:59:59","2021/12/09 12:00:00","103301"
"47","乾杯！！","2099/08/01 14:59:59","2015/04/01 14:00:00","103401"
"48","已通報!!","2099/08/01 14:59:59","2015/04/01 14:00:00","103601"
"70","每日鍛鍊","2099/08/01 14:59:59","2021/12/09 12:00:00","103701"
"71","要不要……休息一下？","2099/08/01 14:59:59","2021/12/09 12:00:00","103801"
"49","剩下就拜託了…","2099/08/01 14:59:59","2015/04/01 14:00:00","104001"
"72","賜你守護……","2099/08/01 14:59:59","2021/12/09 12:00:00","104201"
"73","熱血沸騰啦！","2099/08/01 14:59:59","2021/12/09 12:00:00","104301"
"50","隨我而來吧！","2099/08/01 14:59:59","2015/04/01 14:00:00","104401"
"51","想吃…","2099/08/01 14:59:59","2015/04/01 14:00:00","104501"
"52","喵！","2099/08/01 14:59:59","2015/04/01 14:00:00","104601"
"74","以這雙手來守護！","2099/08/01 14:59:59","2021/12/09 12:00:00","104701"
"53","ＮＯ！","2099/08/01 14:59:59","2015/04/01 14:00:00","104801"
"54","抱歉呦♡","2099/08/01 14:59:59","2015/04/01 14:00:00","104901"
"55","快振作！！","2099/08/01 14:59:59","2015/04/01 14:00:00","105001"
"75","做實驗做實驗……♪","2099/08/01 14:59:59","2021/12/09 12:00:00","105101"
"76","呸呸！","2099/08/01 14:59:59","2021/12/09 12:00:00","105201"
"56","給我等一下！！","2099/08/01 14:59:59","2015/04/01 14:00:00","105301"
"77","真是沒辦法呀","2099/08/01 14:59:59","2021/12/09 12:00:00","105401"
"57","辛苦了！","2099/08/01 14:59:59","2021/12/09 12:00:00","105501"
"78","不用顧慮啦","2099/08/01 14:59:59","2021/12/09 12:00:00","105601"
"25","嗨！！","2099/08/01 14:59:59","2015/04/01 14:00:00","105801"
"26","幹的好","2099/08/01 14:59:59","2015/04/01 14:00:00","105901"
"27","給我記住","2099/08/01 14:59:59","2015/04/01 14:00:00","106001"
"79","哈～哈哈哈！","2099/08/01 14:59:59","2021/12/09 12:00:00","106101"
"80","請多指教囉。","2099/08/01 14:59:59","2021/12/09 12:00:00","106401"
"81","打架時間到了！","2099/08/01 14:59:59","2021/12/09 12:00:00","106501"
"82","不管那麼多了！","2099/08/01 14:59:59","2021/12/09 12:00:00","106601"
"83","答對了～♪","2099/08/01 14:59:59","2021/12/09 12:00:00","106701"
"84","歡迎你！","2099/08/01 14:59:59","2021/12/09 12:00:00","106801"
"85","我模仿看看","2099/08/01 14:59:59","2021/12/09 12:00:00","107001"
"86","來盡情享受吧","2099/08/01 14:59:59","2021/12/09 12:00:00","107101"
"87","真令人沮喪──","2099/08/01 14:59:59","2021/12/09 12:00:00","110801"
"88","好喜歡！","2099/08/01 14:59:59","2021/12/09 12:00:00","110901"
"89","非常有趣","2099/08/01 14:59:59","2021/12/09 12:00:00","111001"
"1","OK唷！","2099/08/01 14:59:59","2023/01/20 16:00:00","111101"
"2","嗨呵～！","2099/08/01 14:59:59","2023/01/20 16:00:00","111201"
"3","謝謝♪","2099/08/01 14:59:59","2023/01/20 16:00:00","111301"
"4","最～喜歡了！","2099/08/01 14:59:59","2023/01/20 16:00:00","111401"
"5","好興奮喔","2099/08/01 14:59:59","2023/01/20 16:00:00","111501"
"6","你也一起來★","2099/08/01 14:59:59","2023/01/20 16:00:00","111601"
"7","不賴嘛","2099/08/01 14:59:59","2023/01/20 16:00:00","111701"
"8","呼嚕呼嚕……","2099/08/01 14:59:59","2023/01/20 16:00:00","111801"
"9","加油！加油！","2099/08/01 14:59:59","2023/01/20 16:00:00","111901"
"10","嗨起來～♪","2099/08/01 14:59:59","2023/01/20 16:00:00","112001"
"11","呀～！","2099/08/01 14:59:59","2023/01/20 16:00:00","112101"
"12","討厭喵～！","2099/08/01 14:59:59","2023/01/20 16:00:00","112201"
"13","咦咦！？","2099/08/01 14:59:59","2023/01/20 16:00:00","112301"
