51abf33c26e6ecdfff1128ef8fda44ea4b4afc14f1b9065c67d35dc596448619,ce49531f796b5c104b8dfb83759c87b478790140986ff51d95fa6bf8413231fd,05d539feabf577af299b6a4e560b1d6d220d4ad6b8e184ccdf93a73c3eec7a8e,3853be48b0f3cc840cb97eb282ce25ef7d009450436ba54ee92d12b869329115,acf22e39180b4b94deb0edd75ef5639f2ef8fb854ffde3eefed6387c64650528,3b37cdc30b23c37d4c10bf03f0bc7eee7d638626b8f6efd0bff48fe349f3b4be,016550f6b28168041414e8cec32f117e5e9bffed43c6999bca2ae8e3cb7e8d24,d526f32891422c869426fd25b3d646d0f90d23030dc4c134de745b4d508621a5,6be1601b5d8f92c089d9a78481f82531d6f8654d7b6f9317e77ce94708830181,7b55e05250364469f86cfef07c3cd5465c5267a0457a8a019160fb95176ef9db,6149c3668722dc47cbfc5e5a1db3869f4ed930c1bef79916660a500aaf0c9f55,9fde52d83a167a7c05df3de573e4aafc5388168b1eec2b4710490564c8b1721d,ce7feeea187cbe2164ca53686ca1b874e50839f3b3755c8c479a933cc4bb52a3,7987c062a961907682c21e39e6d3a0083450d9d8797b5228076c2f9638607d84,cfbee5a4954d84d7b63df77ac5443979a61235a7f0a46888899fd46a1684e18c,105720f926ac424e64b005022291b05c6dff82b1d1df4a905e912a20f4be39a6
"2","40","8","0","91002","0","0","90006","1001101","1","0","22002","0","40","0","2"
"2","60","8","0","91002","0","0","90006","1001102","2","0","22002","0","50","0","2"
"2","80","8","0","91002","0","0","90006","1001103","3","0","22002","0","60","0","2"
"2","100","8","0","91002","0","0","90006","1001104","4","0","22002","0","80","0","2"
"2","200","8","0","91002","0","0","90006","1001105","2","0","22003","0","150","0","2"
"0","20","2","0","90006","0","0","22002","1001106","0","0","0","0","1","0","2"
"0","20","2","0","90006","0","0","22002","1001107","0","0","0","0","1","0","2"
"0","20","2","0","90006","0","0","22002","1001108","0","0","0","0","1","0","2"
"0","20","2","0","90006","0","0","22002","1001109","0","0","0","0","1","0","2"
"0","20","2","0","90006","0","0","22003","1001110","0","0","0","0","1","0","2"
"2","40","8","0","91002","0","0","90006","1002101","1","0","22002","0","40","0","2"
"2","60","8","0","91002","0","0","90006","1002102","2","0","22002","0","50","0","2"
"2","80","8","0","91002","0","0","90006","1002103","3","0","22002","0","60","0","2"
"2","100","8","0","91002","0","0","90006","1002104","4","0","22002","0","80","0","2"
"2","200","8","0","91002","0","0","90006","1002105","2","0","22003","0","150","0","2"
"0","40","2","0","90006","0","0","22002","1002106","0","0","0","0","1","0","2"
"0","40","2","0","90006","0","0","22002","1002107","0","0","0","0","1","0","2"
"0","40","2","0","90006","0","0","22002","1002108","0","0","0","0","1","0","2"
"0","40","2","0","90006","0","0","22002","1002109","0","0","0","0","1","0","2"
"0","40","2","0","90006","0","0","22003","1002110","0","0","0","0","1","0","2"
"2","40","8","0","91002","0","0","90006","1003101","1","0","22002","0","40","0","2"
"2","60","8","0","91002","0","0","90006","1003102","2","0","22002","0","50","0","2"
"2","80","8","0","91002","0","0","90006","1003103","3","0","22002","0","60","0","2"
"2","100","8","0","91002","0","0","90006","1003104","4","0","22002","0","80","0","2"
"2","200","8","0","91002","0","0","90006","1003105","2","0","22003","0","150","0","2"
"0","40","2","0","90006","0","0","22002","1003106","0","0","0","0","1","0","2"
"0","40","2","0","90006","0","0","22002","1003107","0","0","0","0","1","0","2"
"0","40","2","0","90006","0","0","22002","1003108","0","0","0","0","1","0","2"
"0","40","2","0","90006","0","0","22002","1003109","0","0","0","0","1","0","2"
"0","40","2","0","90006","0","0","22003","1003110","0","0","0","0","1","0","2"
"2","40","8","0","91002","0","0","90006","1004101","1","0","22002","0","40","0","2"
"2","60","8","0","91002","0","0","90006","1004102","2","0","22002","0","50","0","2"
"2","80","8","0","91002","0","0","90006","1004103","3","0","22002","0","60","0","2"
"2","100","8","0","91002","0","0","90006","1004104","4","0","22002","0","80","0","2"
"2","200","8","0","91002","0","0","90006","1004105","2","0","22003","0","150","0","2"
"0","40","2","0","90006","0","0","22002","1004106","0","0","0","0","1","0","2"
"0","40","2","0","90006","0","0","22002","1004107","0","0","0","0","1","0","2"
"0","40","2","0","90006","0","0","22002","1004108","0","0","0","0","1","0","2"
"0","40","2","0","90006","0","0","22002","1004109","0","0","0","0","1","0","2"
"0","40","2","0","90006","0","0","22003","1004110","0","0","0","0","1","0","2"
