d63e87121224f00e528cbce9d2de3d583acc292401b20bfe74e116e01b3a275d,6670f2c115ad121d0ebbb4cc76e4b40eb1b1ceb3a5101dceffc7da1f7fcf1749,9fe9bcb1be4d3706e7b948ea6ec87c0d17591439e131f556f3c446e705b4ca9e,ef0878347de4c58b966fa1b89345a0eb2131b42e60b33eaff1aef5f00d6c0495,77afeafa82baa4e0fdf19678fef937c2d9e678a3c5251f8bd768f20b95d8bc95,e00bbed077e96357ca1e6385248e6c7681bd338e0cf30027b60a27c553791cba,2c64f067980991c8e6705de8da3dd2b2270811a1e175eb971865467ef260e41e,0280e284600210cec35ee9f5ba7b22cb5351ccef30ba3fc26d316c807d8c9111,335675c6808660d09aedbe056b7f1e3829e47403c7dbb92cd0293b1ca0441f40,178b43c7d5c2b75a38fae1b565788b102133ddcb133ead7261642fc4dab46c74,99a5e29bb6206f96b753fe46dadb256226de911fd7333864ba049cedcc86af1a,f77bf19f386d5c8d4f71e3b38563dfe122673cfb3a1868e3d93937433360fdb3,d703c6f798683d87e5306d48cd8717effa600eadfb7b426eee81c5caf2cc781e,d99d794497681b33134991ec10d0d356e93744b17529d8f6c2c395973dd44676,90467e9b98458738aa77a98ef1e180e2ebe4754a22a1edaa685664d9e8c84a4a,c8e65d805166818d2bd921c2a8a2d3429e69dbcff03b77b82c9d999e610d5a96,e61a38beba4aab8b0025327785757ebfafdfecbaf79d467d81391580c5d61557,bb86f1497f802aad6ee619447df2c00db0e6cc49beaa87e68a5e093fbeb6d2d9,91bcbc46fca16c5227b56b47814ec2041d43369ec4c08a7bbee4f9a2d44dae9c,85eb502bc8df2770b3032dd436f49fedda6692c737227a7f9a7d4ffffc7402ba,fc9437387737e4444ffcf9da35739445c067a1e52101a0801f322d1ea9a1f6e3,4372e8cb3c80bf1647e4efe45845e2ead304481a5c99c5e55aaf0a3c271688ae,9362c3400c9d03c96360b39ceef208c36231dbcf35f3082c56e139064a540b18,170daff6a700a0747e61015568e1b1b917321763df3073481be220ba67218d62,b9d4265de3421bc71067829acfc83c432287e446c89f2993f407e2016fc9ea72,129e58f050ce9fe9e8fd4bb53013b9bc92be8afeadf74bc4d2c5e49eaa619431,1bdb7ac6541f3a149b6d3d459997abdf239ceaf676cf0f2a7796cfdc48580a10,5a05a5333f334715a95c63aa460622cc3401146e5e1fc572396fc36176e3067f,a9b7ceb98a6d70e63e8597d702c71c5718a3e6085ca080fd7a6aad11b6583585
"0.4","0","90","0","0","99002","0","0","bgm_M06","31001001","1","1","100091","0","100091","bgm_M06","0","0","0","0","0","1.2","0","3100101","94002","40001","31001","0","0"
"0.4","0","90","0","0","99002","0","0","bgm_M06","31001002","1","2","100092","0","100092","bgm_M06","0","0","0","0","0","1.2","0","3100101","94002","40001","31001","0","0"
"0.6","0","90","0","0","90002","0","0","bgm_M06","31001003","1","3","100101","100","100101","bgm_M06","0","0","99002","0","0","1.2","0","3100102","94002","40004","31001","0","0"
"0.65","0","90","0","0","99002","0","0","bgm_M06","31001004","1","4","100102","0","100102","bgm_M06","0","0","0","0","0","1.2","0","3100103","94002","40001","31001","0","0"
"0.7","0","90","0","0","99002","0","0","bgm_M06","31001005","1","5","100102","0","100102","bgm_M06","0","0","0","0","0","1.2","0","3100103","94002","40001","31001","0","0"
"0.75","0","90","0","0","90002","0","0","bgm_M06","31001006","1","6","100102","100","100102","bgm_M06","0","0","99002","90005","0","1.2","0","3100104","94002","40004","31001","0","0"
"1","0","90","0","0","90002","0","501010011","bgm_M63","31001007","3","7","100722","100","100722","bgm_M63","0","0","99002","0","0","1.2","0","3100105","94002","40004","31001","0","0"
"0.4","0","90","0","0","99002","0","0","bgm_M06","31002001","1","1","100251","0","100251","bgm_M06","0","0","0","0","0","1.2","0","3100201","94002","40001","31002","0","0"
"0.4","0","90","0","0","99002","0","0","bgm_M06","31002002","1","2","100252","0","100252","bgm_M06","0","0","0","0","0","1.2","0","3100201","94002","40001","31002","0","0"
"0.6","0","90","0","0","90002","0","0","bgm_M06","31002003","1","3","100253","200","100253","bgm_M06","0","0","99002","0","0","1.2","0","3100202","94002","40004","31002","0","0"
"0.65","0","90","0","0","99002","0","0","bgm_M06","31002004","1","4","100254","0","100254","bgm_M06","0","0","0","0","0","1.2","0","3100203","94002","40001","31002","0","0"
"0.7","0","90","0","0","99002","0","0","bgm_M06","31002005","1","5","100255","0","100255","bgm_M06","0","0","0","0","0","1.2","0","3100203","94002","40001","31002","0","0"
"0.75","0","90","0","0","90002","0","0","bgm_M06","31002006","1","6","100256","200","100256","bgm_M06","0","0","99002","0","0","1.2","0","3100204","94002","40004","31002","0","0"
"0.8","0","90","0","0","99002","0","0","bgm_M06","31002007","1","7","100257","0","100257","bgm_M06","0","0","0","0","0","1.2","0","3100205","94002","40001","31002","0","0"
