5e3ca22e86d8f3b5e5d281db4119d80103e42e7ea0a2cdc95e67386e4531cb5d,2adbb528c0061eb1fecde1530c2f112884f8e11a39d5a578827957a5797e812f,af8c875012ce0b0f6b7f248116046f4487c2aa30d5b6d50c0019b1eb73a7e6f9,6b09f8b8706e0f599ef5f49a28585636d2f030415751c124769c56fda0f882dc,b579e208c43f20f5246a07a0322ba0f417145b6e1f78c03c136ab72406d4015d,6316710c8485a26c9f75d423c196c5947cbeea0b42e8dbf27783e7ad59f847b5,eb387a015ed137e469f9cef3416217444938b565d55e59224debc1410918790b,b20dd84db73d3e2588a1c253ddd0123188d41473054add2fbf88a352eb0e7e20,135c4a7c902de5045be0badfd474868d9b3e304c10623f86799b614c6f591057,b1396983d7ceafdbed4c3e4d7ef99832b9571a8ffa6b5892238e38f099e54474,eba059e18d4abf3ad84f08a4e5f4f4e163e1ea365a7cfad7aa3fbe9a5e231000,21f1abe36ecb93c7d3983c7d964f18577c06802d969c845ac95fdb8f2fe2f719,7e2dbba9e3a9698350f12fc96a7b1ed226e965164953035017cf4ad35785be12,e6c25e82b684de68d6aec5e5af198de543c88de21b0eb82b3844565e5bde0e3e,7b845fd9d66c821b5ca579906cfd120ddd2a74ae2dcf56350634face9a90fa5f,dc59068a4d952fdb4f696b575ab71efd0293f167f03dd99adaac8a87675a2e66,5105ce13d99d14036f1f57a7a6fc05a792f9dfe7af175e4626ed8ccf509cd7a5
"2018/08/28 16:00:00","2018/09/12 15:59:59","1768","0","bgm_M32","0","500213","0","2018/09/17 15:59:59","50","10001","2018/08/24 16:00:00","1060","60","0","2018/09/19 15:59:59","bgm_M32"
"2018/10/03 16:00:00","2018/10/19 15:59:59","1768","0","bgm_M98","0","500193","0","2018/10/24 15:59:59","50","10002","2018/10/01 16:00:00","1060","60","103601","2018/10/28 15:59:59","bgm_M98"
"2018/11/01 15:59:59","2018/11/15 15:59:59","1768","0","bgm_M106","0","500263","0","2018/11/20 15:59:59","50","10003","2018/10/30 16:00:00","1060","60","104401","2018/11/25 15:59:59","bgm_M106"
"2018/12/01 16:00:00","2018/12/15 15:59:59","1768","0","bgm_M112","0","500164","0","2018/12/20 15:59:59","50","10004","2018/11/29 16:00:00","1060","60","107601","2018/12/24 15:59:59","bgm_M112"
"2019/01/03 16:00:00","2019/01/17 15:59:59","1768","0","bgm_M121","0","500284","0","2019/01/22 15:59:59","50","10005","2019/01/01 16:00:00","1060","60","907901","2019/01/25 15:59:59","bgm_M121"
"2019/02/01 12:00:00","2019/02/16 15:59:59","1768","0","bgm_M128","0","500096","0","2019/02/19 15:59:59","50","10006","2019/01/30 16:00:00","1060","60","104701","2019/02/22 15:59:59","bgm_M128"
"2019/03/06 16:00:00","2019/03/22 15:59:59","1768","0","bgm_M135","0","500264","0","2019/03/25 15:59:59","50","10007","2019/03/04 16:00:00","1060","60","108201","2019/03/28 15:59:59","bgm_M135"
"2019/04/03 16:00:00","2019/04/14 15:59:59","1768","0","bgm_M162","0","500143","0","2019/04/17 15:59:59","50","10008","2019/04/01 16:00:00","1060","60","100901","2019/04/21 15:59:59","bgm_M162"
"2019/05/02 16:00:00","2019/05/13 15:59:59","1768","0","bgm_M171","0","500114","0","2019/05/16 15:59:59","50","10009","2019/04/30 16:00:00","1060","60","108501","2019/05/19 15:59:59","bgm_M171"
"2019/06/03 16:00:00","2019/06/14 15:59:59","1768","0","bgm_M182","0","500553","0","2019/06/17 15:59:59","50","10010","2019/05/31 16:00:00","1060","60","108901","2019/06/21 15:59:59","bgm_M182"
"2019/07/01 16:00:00","2019/07/12 15:59:59","1768","0","bgm_M189","0","500600","0","2019/07/15 15:59:59","50","10011","2019/06/28 16:00:00","1060","60","109001","2019/07/18 15:59:59","bgm_M189"
