57777b6f93f12e3b485c160aec6a10d003e86c793e29b3be2b2344ceed51d137,d6daae810d36f717ce84a55dec4d5d13cee965f94772ea27e280e63fa82606a8,4445244554d1d1e0c0d8dcb10f5a7cb240ff8ba59121fe172b59410071d8fc2c,411927d759b2c8e058632c8d2bc8e3efae3b2e232a934fcea7ed8cd978c81648,8028948f2532aeb856a24e44ff0c411c1e24a9254879b591f77b4799e96b517a,3be1da392232eac162d0a8ea0a2e0e20cb5ef0ef8a4dc9b66e27649b2e4abcae,afc9bcb137d5a3fcc1fd4e0798479048905a292989004e2a6b4076c5b88a76e2,d707a7908b820f6cafa78b4fd90c9c88320d3227b9ca4fe2ccb9913e590b4bb9,c2adeaabfe5f85762923d68bf9c5a8c37eb76d7c7e2cff07878a716dfa384d68,57ac076362a7eb7110174fc9c50066adc07a0928c505752b14c2a4e93252fe00,f4d59f294a28a2919651d69cbb46f2e823083e690202e01ca8f1f02fe8683f63
"1.65","129811","167","1","100","1","-224","drama_idle","1","1001","1"
"1.65","129911","-49","1","100","1","-224","drama_idle","1","1002","0"
"0.2","drama_idle","","129811","1","1","","","3","1003",""
"0.2","drama_talk_arm_crossed_in","drama_talk_arm_crossed_loop","129911","0","1","1","","3","1004","0"
"","vo_minigame_1013_top_talk_1_000","0","vo_minigame_1013","0","1","","","21","1005",""
"0","既然魔物會\n源源不絕地湧出，\n戰鬥就不缺對手。\n不如說正好當作訓練。","1","129911","5","1","0","0","11","1006","0"
"","","","0","","1","","","91","1007",""
"0.2","drama_idle_arm_crossed","","129911","1","1","","","3","1008",""
"0.2","drama_talk_doya_in_smile","drama_talk_doya_loop_smile","129811","0","1","1","","3","1009","0"
"","vo_minigame_1013_top_talk_1_001","0","vo_minigame_1013","0","1","","","21","1010",""
"0","哈哈……\n被這樣對待，\n就算是魔物我也覺得\n有點同情它們了啊～","1","129811","5","1","0","0.3","11","1011","0"
"","","","0","","1","","","91","1012",""
"0.2","drama_idle_arm_crossed","","129811","1","1","","","3","1013",""
"0.2","drama_talk_smile_in","drama_talk_smile_loop","129911","0","1","1","","3","1014","0"
"","vo_minigame_1013_top_talk_1_002","0","vo_minigame_1013","0","1","","","21","1015",""
"0","如果能有助於訓練，\n它們也會感到光榮吧。\n嘻嘻……我好像聽見\n喜悅的叫聲了。","1","129911","4","1","0","0.5","11","1016","0"
"","","","0","","1","","","91","1017",""
"0.2","drama_idle","","129911","1","1","","","3","1018",""
"0.2","drama_idle","","129811","1","1","","","3","1019",""
"1.65","129811","167","1","100","2","-224","drama_idle","1","2001","1"
"1.65","129911","-49","1","100","2","-224","drama_idle","1","2002","0"
"0.2","drama_idle","","129911","1","2","","","3","2003",""
"0.2","drama_talk_admire_in","drama_talk_admire_loop","129811","0","2","1","","3","2004",""
"","vo_minigame_1013_top_talk_2_000","0","vo_minigame_1013","0","2","","","21","2005",""
"0","像這樣將眾多士兵\n聚集起來真是壯觀呢。\n場面魄力十足，\n完全不像是訓練兵喔。","1","129811","6","2","0","0.5","11","2006","0"
"","","","0","","2","","","91","2007",""
"0.2","drama_idle_admire","","129811","1","2","","","3","2008",""
"0.2","drama_talk_arm_crossed_in","drama_talk_arm_crossed_loop","129911","0","2","1","","3","2009",""
"","vo_minigame_1013_top_talk_2_001","0","vo_minigame_1013","0","2","","","21","2010",""
"0","讓他們服從，\n教育他們的是我們……\n我們要回應期待，\n全力栽培他們吧。","1","129911","4","2","0","0.3","11","2011","0"
"","","","0","","2","","","91","2012",""
"0.2","drama_idle_arm_crossed","","129911","1","2","","","3","2013",""
"0.2","drama_talk_guts2_in","drama_talk_guts2_loop","129811","0","2","1","","3","2014",""
"","vo_minigame_1013_top_talk_2_002","0","vo_minigame_1013","0","2","","","21","2015",""
"0","惠理子確實也\n很有教官的架式了。\n好～\n我也不能輸啊！","1","129811","5","2","0","0.3","11","2016","0"
"","","","0","","2","","","91","2017",""
"0.2","drama_idle","","129811","1","2","","","3","2018",""
"0.2","drama_idle","","129911","1","2","","","3","2019",""
"1.65","129811","167","1","100","3","-224","drama_idle","1","3001","1"
"1.65","129911","-49","1","100","3","-224","drama_idle","1","3002","0"
"0.2","drama_idle","","129811","1","3","","","3","3003",""
"0.2","drama_talk_thinking","","129911","1","3","","","3","3004",""
"","vo_minigame_1013_top_talk_3_000","0","vo_minigame_1013","0","3","","","21","3005",""
"0","實際與魔物展開對峙，\n揮刀砍進對方的身體。\n正因為有這手感，\n才能算是訓練呢。","1","129911","5","3","0","0.8","11","3006","0"
"","","","0","","3","","","91","3007",""
"0.2","drama_idle_thinking","","129911","1","3","","","3","3008",""
"0.2","drama_talk_sad_in","drama_talk_sad_loop","129811","0","3","1","","3","3009",""
"","vo_minigame_1013_top_talk_3_001","0","vo_minigame_1013","0","3","","","21","3010",""
"0","妳的發言還是\n一樣危險……不過，\n比起理論更重視實踐\n也是一種指導方式吧。","1","129811","6","3","0","0.5","11","3011","0"
"","","","0","","3","","","91","3012",""
"0.2","drama_idle_sad","","129811","1","3","","","3","3013",""
"0.2","drama_talk_arm_crossed_in","drama_talk_arm_crossed_loop","129911","0","3","1","","3","3014",""
"","vo_minigame_1013_top_talk_3_002","0","vo_minigame_1013","0","3","","","21","3015",""
"0","那麼\n實踐教育的優點\n就讓新兵們\n親身體驗吧。","1","129911","4","3","0","0.3","11","3016","0"
"","","","0","","3","","","91","3017",""
"0.2","drama_idle","","129811","1","3","","","3","3018",""
"0.2","drama_idle","","129911","1","3","","","3","3019",""
"1.65","129811","167","1","100","4","-224","drama_idle","1","4001","1"
"1.65","129911","-49","1","100","4","-224","drama_idle","1","4002","0"
"0.2","drama_idle","","129911","1","4","","","3","4003",""
"0.2","drama_talk_doya_in_shy","drama_talk_doya_loop_shy","129811","0","4","1","","3","4004",""
"","vo_minigame_1013_top_talk_4_000","0","vo_minigame_1013","0","4","","","21","4005",""
"0","真要說的話，\n因為我也是個感覺派，\n所以有點不擅長\n教別人東西呢。","1","129811","5","4","0","0.3","11","4006","0"
"","","","0","","4","","","91","4007",""
"0.2","drama_idle_doya_shy","","129811","1","4","","","3","4008",""
"0.2","drama_talk_wish_in","drama_talk_wish_loop","129911","0","4","1","","3","4009",""
"","vo_minigame_1013_top_talk_4_001","0","vo_minigame_1013","0","4","","","21","4010",""
"0","只要彼此互相信賴，\n不用言語也能傳達。\n就像我\n與那位大人一樣……","1","129911","4","4","0","0.5","11","4011","0"
"","","","0","","4","","","91","4012",""
"0.2","drama_idle_wish","","129911","1","4","","","3","4013",""
"0.2","drama_idle_thinking_shy","","129811","1","4","0","","3","4014",""
"","vo_minigame_1013_top_talk_4_002","0","vo_minigame_1013","0","4","","","21","4015",""
"0","（原來如此，那樣的話\n我也能好好傳達\n給他……呃，我在\n胡思亂想什麼啊～！）","1","129811","7","4","0","0","11","4016","0"
"","","","0","","4","","","91","4017",""
"0.2","drama_idle","","129911","1","4","","","3","4018",""
"0.2","drama_idle","","129811","1","4","","","3","4019",""
"1.65","129811","167","1","100","5","-224","drama_idle","1","5001","1"
"1.65","129911","-49","1","100","5","-224","drama_idle","1","5002","0"
"0.2","drama_idle","","129811","1","5","","","3","5003",""
"0.2","drama_talk_thinking","","129911","1","5","","","3","5004",""
"","vo_minigame_1013_top_talk_5_000","0","vo_minigame_1013","0","5","","","21","5005",""
